timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.9203882
2,0,6,2,4,76,1,3,0,0.9203991
3,0,8,2,6,74,2,4,0,0.9204383
4,0,10,2,8,72,4,4,0,0.9204513
5,0,12,2,10,70,5,5,0,0.9203767
6,0,14,2,12,68,7,5,0,0.9204089
7,0,16,2,14,66,9,5,0,0.9204315
8,0,18,2,16,64,9,7,0,0.9204118
9,0,20,2,18,62,9,9,0,0.9204228
10,0,22,2,20,60,10,10,0,0.9204558
11,0,24,2,22,58,10,12,1,0.9204256
12,1,25,2,23,57,12,11,1,0.9204512
13,1,27,2,25,55,9,16,1,0.9204519
14,2,28,2,26,54,9,17,2,0.9205552
15,2,30,2,28,52,10,18,2,0.920444
16,2,32,2,30,50,11,19,4,0.920467
17,3,33,2,31,49,11,20,5,0.9204783
18,3,35,2,33,47,12,21,5,0.9204367
19,3,37,2,35,45,12,23,7,0.9204687
20,3,39,2,37,43,10,27,8,0.9204451
21,3,41,2,39,41,10,29,8,0.9204812
22,3,43,2,41,39,8,33,8,0.9204358
23,3,45,2,43,37,9,34,9,0.9204422
24,5,45,2,43,37,11,32,11,0.9204844
25,7,45,2,43,37,13,30,12,0.920481
26,11,43,2,41,39,14,27,13,0.920478
27,12,44,2,42,38,13,29,15,0.9204705
28,12,46,2,44,36,12,32,15,0.9204595
29,14,46,2,44,36,10,34,15,0.9204942
30,15,47,2,45,35,6,39,15,0.9204893
31,15,49,2,47,33,7,40,15,0.9205274
32,17,49,2,47,33,6,41,16,0.9206284
33,19,49,2,47,33,7,40,16,0.920491
34,21,49,2,47,33,6,41,16,0.9204639
35,22,50,2,48,32,6,42,17,0.9205052
36,25,49,2,47,33,7,40,17,0.9204795
37,26,50,2,48,32,8,40,17,0.9206164
38,28,50,2,48,32,8,40,18,0.9205003
39,28,52,2,50,30,9,41,20,0.9205014
40,28,54,2,52,28,8,44,20,0.9204727
41,29,55,2,53,27,9,44,22,0.9205411
42,35,51,2,49,31,10,39,22,0.9204825
43,37,51,2,49,31,10,39,24,0.9205133
44,38,52,2,50,30,9,41,24,0.9204789
45,40,52,2,50,30,10,40,26,0.920471
46,42,52,2,50,30,11,39,27,0.9205043
47,46,50,2,48,32,10,38,27,0.9204514
48,48,50,2,48,32,7,41,29,0.9204896
49,49,51,2,49,31,7,42,29,0.9204824
50,50,52,2,50,30,7,43,31,0.9204831
51,51,53,2,51,29,9,42,31,0.9204838
52,54,52,2,50,30,10,40,32,0.9204532
53,59,49,2,47,33,10,37,32,0.92043
54,59,51,2,49,31,9,40,33,0.9204778
55,60,52,2,50,30,9,41,35,0.9205069
56,61,53,2,51,29,8,43,38,0.9204755
57,64,52,2,50,30,10,40,38,0.9204833
58,66,52,2,50,30,9,41,38,0.9204829
59,66,54,2,52,28,10,42,40,0.9205054
60,70,52,2,50,30,11,39,40,0.9204726
61,72,52,2,50,30,10,40,41,0.9204723
62,74,52,2,50,30,12,38,42,0.9205877
63,76,52,2,50,30,13,37,43,0.9205326
64,78,52,2,50,30,12,38,43,0.9205303
65,79,53,2,51,29,12,39,44,0.9204989
66,80,54,2,52,28,11,41,45,0.9204997
67,81,55,2,53,27,12,41,45,0.9204652
68,83,55,2,53,27,12,41,47,0.9204854
69,87,53,2,51,29,12,39,48,0.9204809
70,88,54,2,52,28,10,42,49,0.920465
71,90,54,2,52,28,10,42,49,0.9204283
72,91,55,2,53,27,9,44,52,0.9204623
73,93,55,2,53,27,9,44,53,0.9204801
74,97,53,2,51,29,10,41,55,0.9204887
