timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,250,500,0,463,37,0,0.9160828
2,0,750,250,500,0,428,72,43,0.9163828
3,0,750,250,500,0,394,106,89,0.9164911
4,0,750,250,500,0,359,141,144,0.9163289
5,0,750,250,500,0,326,174,217,0.9161463
6,0,750,250,500,0,295,205,326,0.9163885
7,0,750,250,500,0,268,232,421,0.9160932
8,1,750,251,499,1,243,256,516,0.9165554
9,1,750,250,500,0,216,284,606,0.9164565
10,2,750,251,499,1,185,314,698,0.9169347
11,2,750,250,500,0,161,339,786,0.9163719
12,2,750,250,500,0,141,359,875,0.9166978
13,2,750,250,500,0,119,381,935,0.9169212
14,3,750,251,499,1,102,397,1006,0.9166877
15,7,750,254,496,4,81,415,1080,0.9169867
16,14,750,257,493,7,71,422,1135,0.9171774
17,16,750,252,498,2,69,429,1196,0.9171501
18,19,750,253,497,3,60,437,1266,0.9168737
19,23,750,254,496,4,56,440,1324,0.9173455
20,30,750,257,493,7,53,440,1368,0.9174614
21,35,750,255,495,5,49,446,1415,0.9164892
22,42,750,257,493,7,51,442,1466,0.9177308
23,48,750,256,494,6,54,440,1517,0.9167895
24,57,750,259,491,9,56,435,1560,0.9178526
25,68,750,261,489,11,62,427,1617,0.9170489
26,80,750,262,488,12,70,418,1675,0.9170669
27,95,750,265,485,15,76,409,1714,0.9175717
28,102,750,257,493,7,86,407,1769,0.9163354
29,111,750,259,491,9,87,404,1826,0.9168558
30,121,750,260,490,10,90,400,1885,0.9164874
31,128,750,257,493,7,98,395,1938,0.916541
32,138,750,260,490,10,102,388,2009,0.9165622
33,151,750,263,487,13,106,381,2096,0.9163553
34,164,750,263,487,13,116,371,2166,0.9168603
35,173,750,259,491,9,127,364,2244,0.9165418
36,181,750,258,492,8,131,361,2317,0.9170332
37,198,750,267,483,17,133,350,2410,0.9185109
38,206,750,258,492,8,146,346,2492,0.9172776
39,215,750,259,491,9,148,343,2601,0.9164064
40,223,750,258,492,8,156,336,2700,0.9166046
41,232,750,259,491,9,161,330,2803,0.9163748
42,242,750,260,490,10,167,323,2914,0.9167091
43,248,750,256,494,6,172,322,3021,0.9169484
44,258,750,260,490,10,168,322,3132,0.9167024
45,265,750,257,493,7,176,317,3240,0.9164155
46,272,750,257,493,7,179,314,3361,0.9169913
47,278,750,256,494,6,180,314,3482,0.9176349
48,283,750,255,495,5,179,316,3606,0.9166197
49,289,750,256,494,6,180,314,3729,0.9172776
50,292,750,253,497,3,181,316,3856,0.916344
51,298,750,256,494,6,178,316,3976,0.9167627
52,307,750,259,491,9,181,310,4096,0.9164853
53,314,750,257,493,7,185,308,4210,0.9166811
54,319,750,255,495,5,189,306,4320,0.9172683
55,324,750,255,495,5,192,303,4436,0.9168901
56,333,750,259,491,9,191,300,4558,0.9166976
57,341,750,258,492,8,194,298,4672,0.9167318
58,348,750,257,493,7,194,299,4801,0.9171731
59,350,750,252,498,2,197,301,4920,0.9165906
60,357,750,257,493,7,195,298,5024,0.9170554
61,364,750,257,493,7,200,293,5133,0.9163451
62,372,750,258,492,8,198,294,5232,0.9170979
