agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,4,67,179,38,62,146
1,2,3,122,125,86,66,95
2,4,5,91,154,44,74,127
3,3,4,94,152,41,71,134
4,4,5,72,173,28,56,161
5,4,5,74,171,43,61,141
6,3,4,99,147,52,72,122
7,4,5,75,170,39,65,141
8,4,5,73,172,45,63,137
9,3,4,88,158,43,59,144
10,4,5,68,177,29,51,165
11,3,4,102,144,40,79,127
12,3,4,108,138,52,71,123
13,4,5,104,141,52,82,111
14,3,4,130,116,41,103,102
15,3,4,98,148,42,82,122
16,2,3,103,144,65,84,98
17,3,4,82,164,52,63,131
18,4,5,42,203,24,38,183
19,2,3,103,144,60,69,118
20,4,5,50,195,17,45,183
21,3,4,81,165,44,72,130
22,3,4,61,185,51,48,147
23,4,5,127,118,50,90,105
24,2,3,174,73,89,99,59
25,3,4,99,147,46,85,115
26,4,5,123,122,53,91,101
27,2,3,148,99,61,99,87
28,3,4,51,195,32,42,172
29,4,5,43,202,32,40,173
30,2,3,131,116,63,80,104
31,4,5,126,119,49,89,107
32,4,5,93,152,42,79,124
33,3,4,124,122,43,90,113
34,3,4,122,124,45,94,107
35,4,5,70,175,42,56,147
36,4,5,65,180,32,58,155
37,3,3,92,155,37,60,150
38,3,4,92,154,40,73,133
39,3,4,87,159,32,73,141
40,1,2,123,125,78,77,93
41,3,4,134,112,84,75,87
42,3,4,64,182,47,42,157
43,2,3,113,134,59,81,107
44,3,4,92,154,53,62,131
45,5,6,114,130,43,93,108
46,3,4,89,157,57,63,126
47,5,6,62,182,29,54,161
48,3,4,95,151,45,71,130
49,3,4,89,157,42,61,143
50,2,3,135,112,49,89,109
51,4,5,93,152,33,74,138
52,4,5,135,110,60,96,89
53,6,7,65,178,17,60,166
54,3,4,86,160,56,65,125
55,4,5,83,162,45,61,139
56,3,4,77,169,64,65,117
57,3,4,109,137,33,87,126
58,4,5,104,141,60,77,108
59,3,4,101,145,61,65,120
60,2,3,188,59,55,134,58
61,3,4,82,164,32,64,150
62,3,4,105,141,65,67,114
63,4,5,96,149,37,78,130
64,3,4,65,181,52,54,140
65,1,2,161,87,95,99,54
66,1,2,117,131,59,79,110
67,4,4,107,139,44,78,124
68,3,4,140,106,52,100,94
69,3,4,106,140,45,89,112
70,4,5,60,185,37,49,159
71,4,5,38,207,20,35,190
72,2,3,183,64,74,119,54
73,3,3,100,147,50,73,124
74,2,3,101,146,54,84,109
75,3,4,83,163,23,68,155
76,3,4,141,105,77,98,71
77,3,4,128,118,71,75,100
78,3,4,106,140,56,72,118
79,3,4,69,177,22,60,164
80,3,4,167,79,70,103,73
81,3,4,101,145,38,80,128
82,5,6,69,175,30,55,159
83,4,5,62,183,33,56,156
84,5,6,103,141,61,71,112
85,2,3,78,169,38,68,141
86,2,3,117,130,47,82,118
87,3,4,75,171,40,61,145
88,2,3,131,116,72,85,90
89,2,3,93,154,46,70,131
90,3,4,122,124,51,96,99
91,4,5,61,184,36,48,161
92,3,4,110,136,51,68,127
93,4,5,121,124,47,92,106
94,3,4,80,166,32,61,153
95,4,5,101,144,39,72,134
96,4,5,71,174,39,54,152
97,3,4,107,139,42,86,118
98,3,3,65,182,42,45,160
99,2,3,88,159,73,65,109
100,4,5,66,179,41,58,146
101,3,4,106,140,66,76,104
102,2,3,126,121,63,87,97
103,4,5,106,139,45,90,110
104,2,3,153,94,77,92,78
105,2,3,106,141,65,75,107
106,3,4,119,127,46,89,111
107,3,4,123,123,39,97,110
108,4,5,95,150,23,79,143
109,3,4,91,155,41,75,130
110,3,4,95,151,38,71,137
111,3,4,65,181,21,59,166
112,4,5,57,188,29,49,167
113,3,4,143,103,64,105,77
114,2,3,92,155,44,72,131
115,3,4,76,170,28,67,151
116,4,5,87,158,32,72,141
117,3,4,92,154,58,66,122
118,3,4,116,130,38,91,117
119,4,5,68,177,44,54,147
120,4,5,68,177,45,54,146
121,3,4,166,80,51,127,68
122,3,3,62,185,21,55,171
123,2,3,78,169,36,55,156
124,3,4,129,117,57,100,89
125,4,5,106,139,24,90,131
126,4,5,104,141,53,84,108
127,3,4,131,115,66,77,103
128,3,4,108,138,48,77,121
129,4,5,119,126,39,96,110
130,3,4,118,128,51,85,110
131,3,4,90,156,53,83,110
132,4,5,61,184,45,51,149
133,4,5,83,162,49,57,139
134,4,5,77,168,28,63,154
135,2,3,65,182,39,57,151
136,3,4,96,150,35,79,132
137,3,4,92,154,35,69,142
138,2,3,66,181,63,47,137
139,2,3,87,160,40,56,151
140,6,7,84,159,33,76,134
141,3,4,98,148,46,72,128
142,2,3,156,91,66,94,87
143,3,4,97,149,35,74,137
144,4,5,78,167,35,62,148
145,3,4,115,131,42,85,119
146,2,3,120,127,52,91,104
147,4,5,77,168,36,69,140
148,2,3,62,185,37,49,161
149,3,4,117,129,38,95,113
150,3,4,108,138,58,76,112
151,3,4,103,143,36,77,133
152,2,3,90,157,57,64,126
153,3,4,68,178,41,57,148
154,4,5,69,176,41,56,148
155,2,3,124,123,58,91,98
156,4,5,75,170,36,62,147
157,3,4,103,143,45,76,125
158,4,5,57,188,26,55,164
159,3,4,100,146,60,67,119
160,3,4,100,146,49,78,119
161,4,5,93,152,57,71,117
162,3,4,119,127,58,79,109
163,5,6,74,170,41,62,141
164,3,4,86,160,59,62,125
165,3,4,107,139,37,83,126
166,4,5,83,162,51,56,138
167,3,4,153,93,96,85,65
168,4,5,109,136,52,81,112
169,2,3,63,184,74,49,124
170,4,5,94,151,35,68,142
171,3,4,151,95,73,90,83
172,3,4,92,154,31,66,149
173,2,3,112,135,37,89,121
174,3,4,61,185,32,52,162
175,2,3,135,112,57,98,92
176,2,3,80,167,51,58,138
177,3,4,67,179,61,48,137
178,3,4,92,154,32,76,138
179,3,4,92,154,44,65,137
180,4,5,92,153,35,71,139
181,2,3,84,163,49,63,135
182,3,4,134,112,48,96,102
183,4,5,113,132,55,74,116
184,2,3,151,96,90,91,66
185,4,5,61,184,45,51,149
186,4,5,110,135,57,74,114
187,3,4,85,161,43,61,142
188,3,4,95,151,57,63,126
189,3,4,46,200,17,43,186
190,4,5,53,192,47,42,156
191,2,3,139,108,70,95,82
192,3,4,139,107,60,93,93
193,3,4,86,160,38,69,139
194,2,3,60,187,38,51,158
195,4,5,80,165,55,54,136
196,4,5,70,175,31,51,163
197,3,4,69,177,32,57,157
198,3,4,61,185,33,45,168
199,2,3,150,97,72,100,75
200,3,4,121,125,45,80,121
201,4,5,64,181,33,58,154
202,3,4,66,180,61,50,135
203,4,5,79,166,50,68,127
204,1,2,217,31,90,129,29
205,2,3,113,134,52,89,106
206,5,6,98,146,26,85,133
207,4,5,79,166,40,64,141
208,2,3,114,133,38,91,118
209,3,4,121,125,70,76,100
210,3,4,98,148,39,78,129
211,2,3,91,156,52,70,125
212,3,4,112,134,46,89,111
213,3,4,84,162,52,63,131
214,2,3,83,164,28,58,161
215,3,4,101,145,55,73,118
216,4,5,72,173,25,58,162
217,4,5,75,170,44,56,145
218,3,4,114,132,40,89,117
219,3,4,132,114,53,91,102
220,3,4,111,135,45,92,109
221,3,4,115,131,24,97,125
222,2,3,162,85,88,90,69
223,4,4,94,152,29,77,140
224,1,2,155,93,67,100,81
225,4,5,91,154,47,67,131
226,3,4,98,148,35,74,137
227,5,6,94,150,38,75,131
228,2,3,122,125,53,88,106
229,2,3,83,164,21,65,161
230,4,5,40,205,20,33,192
231,4,5,47,198,9,43,193
232,4,5,85,160,44,65,136
233,3,4,118,128,58,81,107
234,5,6,60,184,26,50,168
235,4,5,94,151,27,81,137
236,2,3,101,146,46,74,127
237,3,4,126,120,68,80,98
238,3,4,59,187,23,52,171
239,4,5,52,193,21,50,174
240,3,4,104,142,53,71,122
241,2,3,103,144,48,78,121
242,3,4,121,125,76,67,103
243,5,6,116,128,56,85,103
244,4,5,62,183,46,45,154
245,3,4,70,176,21,62,163
246,3,4,112,134,63,73,110
247,2,3,98,149,40,74,133
248,3,4,110,136,47,89,110
