task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,7,38,446,6,16,27,5,31,1,1,7,38,1.148148
1,0,83,-1,-1,135,2,13,43,3,0,1,83,-1,-1,0.000000
2,0,194,-1,-1,315,3,15,54,5,0,0,194,-1,-1,0.000000
3,0,27,41,109,68,7,18,33,9,51,18,27,41,109,1.545455
4,0,1,3,52,373,2,13,30,2,46,3,1,3,52,1.533333
5,0,1,15,45,274,6,12,19,13,23,7,1,15,45,1.210526
6,0,1,7,59,15,4,3,29,4,49,4,1,7,59,1.689655
7,0,1,7,25,209,5,2,15,4,17,3,1,7,25,1.133333
8,0,1,4,58,492,3,1,24,2,50,5,1,4,58,2.083333
9,0,2,78,137,446,38,15,35,34,59,10,2,78,137,1.685714
10,0,52,69,138,342,13,12,40,11,68,6,52,69,138,1.700000
11,0,40,42,105,376,2,15,47,1,61,3,40,42,105,1.297872
12,0,1,50,116,38,27,13,28,31,66,7,1,50,116,2.357143
13,0,1,6,60,364,4,5,29,4,45,10,1,6,60,1.551724
14,0,1,28,76,425,0,4,45,7,47,1,1,28,76,1.044444
15,0,1,9,22,9,6,3,10,7,12,2,1,9,22,1.200000
16,0,10,-1,-1,461,0,4,43,6,0,0,10,-1,-1,0.000000
17,0,1,16,67,365,14,4,27,13,51,2,1,16,67,1.888889
18,0,1,1,27,237,0,0,22,0,22,4,1,1,27,1.000000
19,0,1,62,105,402,37,1,24,32,38,24,1,62,105,1.583333
20,0,6,13,81,282,3,12,46,6,64,4,6,13,81,1.391304
21,0,1,14,58,250,10,11,25,13,39,5,1,14,58,1.560000
22,0,1,15,30,48,9,2,10,13,10,6,1,15,30,1.000000
23,0,1,6,31,278,5,3,17,4,21,5,1,6,31,1.235294
24,0,1,1,27,377,0,0,26,0,26,0,1,1,27,1.000000
25,0,1,2,31,122,1,14,14,1,18,11,1,2,31,1.285714
26,0,1,12,90,458,9,5,42,10,72,7,1,12,90,1.714286
27,0,21,107,152,45,50,3,35,38,37,30,21,107,152,1.057143
28,0,1,16,70,418,1,3,26,2,50,4,1,16,70,1.923077
29,0,1,7,55,324,3,3,29,4,41,9,1,7,55,1.413793
30,0,4,12,77,471,5,12,49,8,65,0,4,12,77,1.326531
31,0,1,16,39,366,13,4,10,10,14,14,1,16,39,1.400000
32,0,-1,-1,-1,-1,0,-1,51,0,0,0,-1,-1,-1,0.000000
33,0,29,36,105,63,5,9,48,6,68,2,29,36,105,1.416667
34,0,1,9,24,142,7,3,15,6,15,2,1,9,24,1.000000
35,0,1,91,135,257,11,1,30,19,42,6,1,91,135,1.400000
36,0,40,48,116,366,5,18,42,6,56,14,40,48,116,1.333333
37,0,1,18,42,112,10,2,15,14,19,8,1,18,42,1.266667
38,0,1,14,60,183,11,3,21,11,35,13,1,14,60,1.666667
39,0,1,10,45,375,9,2,24,6,34,4,1,10,45,1.416667
40,0,1,21,83,437,15,1,20,17,40,25,1,21,83,2.000000
41,0,1,9,39,242,4,1,25,6,27,5,1,9,39,1.080000
42,0,1,9,30,395,5,3,15,4,17,8,1,9,30,1.133333
43,0,35,93,139,325,41,13,38,36,46,12,35,93,139,1.210526
44,0,26,42,115,10,6,1,53,13,71,3,26,42,115,1.339623
45,0,1,3,50,461,1,8,32,2,40,7,1,3,50,1.250000
46,0,1,9,26,50,6,2,10,5,12,8,1,9,26,1.200000
47,0,33,78,135,338,36,13,36,30,56,11,33,78,135,1.555556
48,0,185,209,246,359,18,15,27,16,31,13,185,209,246,1.148148
49,0,1,5,64,485,1,6,36,3,56,3,1,5,64,1.555556
50,0,1,12,43,387,10,4,24,11,28,3,1,12,43,1.166667
51,0,1,171,243,408,64,3,44,60,64,22,1,171,243,1.454545
52,0,1,11,43,117,6,7,20,9,26,7,1,11,43,1.300000
53,0,218,-1,-1,341,0,8,51,0,0,1,218,-1,-1,0.000000
54,0,1,7,36,176,5,17,21,6,27,2,1,7,36,1.285714
55,0,35,90,168,498,45,3,29,36,75,19,35,90,168,2.586207
56,0,24,137,201,471,11,5,45,14,63,4,24,137,201,1.400000
57,0,1,14,104,295,9,2,24,11,66,26,1,14,104,2.750000
58,0,162,-1,-1,492,4,10,52,13,0,1,162,-1,-1,0.000000
59,0,1,14,79,236,12,14,20,13,36,29,1,14,79,1.800000
60,0,40,49,109,493,0,15,35,1,45,17,40,49,109,1.285714
61,0,1,12,70,2,8,10,28,8,52,9,1,12,70,1.857143
62,0,1,3,37,179,2,4,17,2,23,11,1,3,37,1.352941
63,0,1,142,212,49,83,6,47,70,67,46,1,142,212,1.425532
64,0,1,12,38,101,7,5,15,11,21,5,1,12,38,1.400000
65,0,31,74,119,222,33,12,38,29,42,13,31,74,119,1.105263
66,0,50,117,177,275,59,6,35,49,51,26,50,117,177,1.457143
67,0,83,-1,-1,267,1,5,43,2,0,0,83,-1,-1,0.000000
68,0,1,4,39,457,2,2,28,3,32,3,1,4,39,1.142857
69,0,1,1,40,423,0,0,30,0,36,3,1,1,40,1.200000
70,0,2,2,34,492,0,0,26,0,30,2,2,2,34,1.153846
71,0,1,10,68,495,3,9,46,7,52,6,1,10,68,1.130435
72,0,149,-1,-1,103,13,12,49,19,0,3,149,-1,-1,0.000000
73,0,1,15,56,309,12,6,22,13,34,8,1,15,56,1.545455
74,0,193,-1,-1,496,0,12,45,1,0,0,193,-1,-1,0.000000
75,0,-1,-1,-1,-1,0,-1,48,0,0,0,-1,-1,-1,0.000000
76,0,-1,-1,-1,-1,0,-1,55,0,0,0,-1,-1,-1,0.000000
77,0,4,6,52,1,2,2,30,1,40,7,4,6,52,1.333333
78,0,21,21,71,176,0,0,30,0,42,8,21,21,71,1.400000
79,0,6,79,131,144,4,1,39,9,49,4,6,79,131,1.256410
80,0,1,6,23,96,5,1,14,4,16,2,1,6,23,1.142857
81,0,1,7,37,345,5,4,19,5,27,4,1,7,37,1.421053
82,0,1,29,73,332,20,10,21,20,37,14,1,29,73,1.761905
83,0,1,15,26,120,12,8,8,12,10,3,1,15,26,1.250000
84,0,1,11,28,159,4,3,14,9,14,4,1,11,28,1.000000
85,0,47,68,136,51,10,9,36,6,62,13,47,68,136,1.722222
86,0,1,8,39,133,6,3,19,4,27,7,1,8,39,1.421053
87,0,1,17,75,462,13,11,24,16,40,18,1,17,75,1.666667
88,0,1,6,38,323,4,6,20,5,24,8,1,6,38,1.200000
89,0,1,21,66,441,10,12,36,14,40,7,1,21,66,1.111111
90,0,28,133,201,193,97,13,37,74,57,41,28,133,201,1.540541
91,0,1,2,31,311,1,6,24,0,26,4,1,2,31,1.083333
92,0,3,18,67,341,15,4,26,13,40,11,3,18,67,1.538462
93,0,1,13,55,496,0,5,28,2,36,6,1,13,55,1.285714
94,0,1,4,46,154,3,1,18,3,34,8,1,4,46,1.888889
95,0,1,7,33,276,4,2,25,6,25,1,1,7,33,1.000000
96,0,22,-1,-1,244,60,6,40,61,0,20,22,-1,-1,0.000000
97,0,1,8,76,160,6,13,18,5,56,14,1,8,76,3.111111
98,0,1,11,59,208,9,3,22,6,42,10,1,11,59,1.909091
99,0,1,5,35,197,4,6,26,4,28,2,1,5,35,1.076923
100,0,4,7,71,444,3,3,39,3,55,9,4,7,71,1.410256
101,0,1,6,48,166,5,6,17,4,35,8,1,6,48,2.058824
102,0,1,4,43,327,2,4,26,2,34,6,1,4,43,1.307692
103,0,5,-1,-1,117,1,4,30,4,0,1,5,-1,-1,0.000000
104,0,3,9,89,94,5,6,37,6,63,17,3,9,89,1.702703
105,0,1,5,38,43,3,10,13,4,29,4,1,5,38,2.230769
106,0,1,11,91,397,9,12,36,8,50,32,1,11,91,1.388889
107,0,1,8,72,376,2,5,23,4,53,12,1,8,72,2.304348
108,0,18,19,90,375,1,2,50,1,68,3,18,19,90,1.360000
109,0,1,4,28,216,3,5,17,2,23,2,1,4,28,1.352941
110,0,13,13,76,119,0,0,42,0,50,13,13,13,76,1.190476
111,0,3,3,47,203,0,0,30,0,38,6,3,3,47,1.266667
112,0,1,5,68,431,1,2,30,4,40,23,1,5,68,1.333333
113,0,108,-1,-1,353,34,6,36,39,0,5,108,-1,-1,0.000000
114,0,1,12,37,13,9,13,11,11,19,6,1,12,37,1.727273
115,0,1,6,25,326,5,14,19,5,19,0,1,6,25,1.000000
116,0,1,17,47,360,11,12,21,11,25,9,1,17,47,1.190476
117,0,151,213,-1,350,13,12,47,17,33,5,151,213,-1,0.702128
118,0,142,-1,-1,32,43,15,58,42,0,11,142,-1,-1,0.000000
119,0,53,88,155,97,31,12,52,19,58,25,53,88,155,1.115385
120,0,1,29,91,499,5,1,29,5,51,15,1,29,91,1.758621
121,0,1,9,30,105,8,6,16,5,18,6,1,9,30,1.125000
122,0,1,15,37,206,12,5,19,10,21,5,1,15,37,1.105263
123,0,196,-1,-1,496,1,9,53,4,0,0,196,-1,-1,0.000000
124,0,1,1,15,131,0,0,14,0,14,0,1,1,15,1.000000
125,0,1,6,19,23,3,9,11,5,11,2,1,6,19,1.000000
126,0,1,3,33,198,2,1,28,1,30,1,1,3,33,1.071429
