timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,160,80,80,0,60,20,0,0.9205882
2,0,160,80,80,0,46,34,2,0.9214063
3,0,160,80,80,0,33,47,4,0.9202874
4,0,160,80,80,0,25,55,8,0.9206873
5,0,160,80,80,0,17,63,12,0.9206066
6,1,160,81,79,1,12,67,14,0.9206377
7,1,160,80,80,0,9,71,14,0.9205293
8,4,160,83,77,3,5,72,17,0.9205702
9,4,160,80,80,0,4,76,18,0.9206803
10,6,160,82,78,2,3,75,19,0.9205322
11,8,160,82,78,2,3,75,19,0.9208467
12,9,160,81,79,1,2,77,22,0.920803
13,14,160,85,75,5,1,74,23,0.9205489
14,17,160,83,77,3,4,73,24,0.920911
15,19,160,82,78,2,3,75,24,0.9205226
16,20,160,81,79,1,1,78,25,0.92053
17,23,160,83,77,3,2,75,28,0.9204678
18,24,160,81,79,1,3,76,32,0.9205795
19,25,160,81,79,1,2,77,35,0.9205627
20,27,160,82,78,2,2,76,36,0.9205783
21,27,160,80,80,0,2,78,39,0.9205213
22,31,160,84,76,4,1,75,42,0.9204875
23,32,160,81,79,1,2,77,42,0.9205006
24,38,160,86,74,6,3,71,43,0.9205203
25,40,160,82,78,2,4,74,48,0.9205593
26,45,160,85,75,5,6,69,54,0.9204966
27,49,160,84,76,4,7,69,60,0.9205106
28,58,160,89,71,9,5,66,65,0.9208382
29,61,160,83,77,3,13,64,67,0.9204964
30,63,160,82,78,2,10,68,68,0.9205726
31,65,160,82,78,2,8,70,73,0.9205115
32,69,160,84,76,4,7,69,75,0.9206836
33,73,160,84,76,4,11,65,78,0.9207363
34,75,160,82,78,2,8,70,79,0.920694
35,80,160,85,75,5,8,67,81,0.9205635
36,82,160,82,78,2,12,66,83,0.9205438
37,85,160,83,77,3,10,67,87,0.920533
38,91,160,86,74,6,8,66,90,0.9205308
39,93,160,82,78,2,14,64,94,0.9205854
40,94,160,81,79,1,11,68,97,0.9205459
41,99,160,85,75,5,8,67,98,0.9205415
42,102,160,83,77,3,7,70,100,0.9206292
43,105,160,83,77,3,7,70,107,0.9207406
44,110,160,85,75,5,2,73,110,0.9205463
45,115,160,85,75,5,7,68,113,0.9205485
46,116,160,81,79,1,8,71,119,0.921109
47,119,160,83,77,3,4,73,123,0.9210306
48,120,160,81,79,1,4,75,126,0.9205917
49,124,160,84,76,4,4,72,129,0.9205783
50,126,160,82,78,2,4,74,134,0.9205654
51,127,160,81,79,1,4,75,137,0.9204844
52,127,160,80,80,0,4,76,143,0.9205914
53,131,160,84,76,4,2,74,148,0.9205054
54,134,160,83,77,3,2,75,152,0.9205394
55,138,160,84,76,4,2,74,158,0.9205307
56,147,160,89,71,9,5,66,161,0.9205315
57,148,160,81,79,1,4,75,165,0.9205906
58,152,160,84,76,4,4,72,168,0.9205085
59,154,160,82,78,2,5,73,168,0.920543
60,156,160,82,78,2,2,76,168,0.9205474
61,159,160,83,77,3,1,76,170,0.9205034
62,161,160,82,78,2,2,76,170,0.9204927
63,165,160,84,76,4,1,75,172,0.920473
64,173,160,88,72,8,3,69,175,0.9205206
65,176,160,83,77,3,8,69,177,0.9205784
66,179,160,83,77,3,6,71,181,0.9206015
67,183,160,84,76,4,8,68,184,0.9206446
68,184,160,81,79,1,5,74,185,0.9205603
69,184,160,80,80,0,4,76,188,0.9205028
70,190,160,86,74,6,4,70,190,0.9205426
71,191,160,81,79,1,6,73,194,0.9205692
72,198,160,87,73,7,6,67,197,0.9205255
73,203,160,85,75,5,12,63,198,0.9205764
74,205,160,82,78,2,11,67,199,0.9205506
75,212,160,87,73,7,5,68,200,0.9207442
76,218,160,86,74,6,8,66,201,0.9207912
77,220,160,82,78,2,8,70,202,0.9204922
78,221,160,81,79,1,7,72,204,0.9205431
79,224,160,83,77,3,6,71,205,0.9206674
80,230,160,86,74,6,5,69,206,0.9205169
