task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,3,30,446,2,16,27,1,27,1,1,3,30,1.000000
1,0,305,368,424,472,35,3,43,38,49,20,305,368,424,1.139535
2,0,-1,-1,-1,-1,0,-1,54,0,0,0,-1,-1,-1,0.000000
3,0,15,18,100,494,0,2,33,1,63,20,15,18,100,1.909091
4,0,1,234,284,373,165,13,30,151,48,72,1,234,284,1.600000
5,0,1,12,55,274,3,12,19,11,35,8,1,12,55,1.842105
6,0,1,27,80,15,8,3,29,11,51,4,1,27,80,1.758621
7,0,1,11,36,209,3,2,15,10,25,0,1,11,36,1.666667
8,0,1,17,81,492,8,1,24,10,52,17,1,17,81,2.166667
9,0,2,58,136,286,3,4,35,6,69,9,2,58,136,1.971429
10,0,65,155,232,45,63,11,40,45,74,26,65,155,232,1.850000
11,0,49,115,176,192,51,15,47,42,61,19,49,115,176,1.297872
12,0,1,10,62,38,8,13,28,8,46,7,1,10,62,1.642857
13,0,1,19,66,364,11,5,29,13,37,15,1,19,66,1.275862
14,0,1,29,89,425,2,4,45,12,55,7,1,29,89,1.222222
15,0,1,5,17,9,2,3,10,4,12,0,1,5,17,1.200000
16,0,368,654,708,236,32,17,43,54,51,7,368,654,708,1.186047
17,0,1,10,65,365,5,4,27,9,53,2,1,10,65,1.962963
18,0,1,1,23,237,0,0,22,0,22,0,1,1,23,1.000000
19,0,1,20,62,402,5,1,24,17,36,8,1,20,62,1.500000
20,0,27,178,243,167,115,7,46,83,60,71,27,178,243,1.304348
21,0,1,12,57,250,2,11,25,11,41,4,1,12,57,1.640000
22,0,1,5,16,48,0,2,10,4,10,1,1,5,16,1.000000
23,0,1,5,25,278,2,3,17,3,19,2,1,5,25,1.117647
24,0,1,50,116,377,24,1,26,27,50,32,1,50,116,1.923077
25,0,1,15,49,122,0,14,14,14,30,4,1,15,49,2.142857
26,0,1,4,63,458,1,5,42,3,50,9,1,4,63,1.190476
27,0,27,39,89,97,6,11,35,10,43,9,27,39,89,1.228571
28,0,1,47,97,418,15,3,26,13,44,13,1,47,97,1.692308
29,0,1,6,50,324,0,3,29,3,37,9,1,6,50,1.275862
30,0,25,59,123,430,19,10,49,22,59,10,25,59,123,1.204082
31,0,1,11,36,366,4,4,10,8,20,7,1,11,36,2.000000
32,0,415,605,663,28,60,17,51,87,51,16,415,605,663,1.000000
33,0,27,46,116,290,4,3,48,6,68,3,27,46,116,1.416667
