timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,900,300,600,0,564,36,0,0.9158425
2,0,900,300,600,0,530,70,69,0.9154744
3,0,900,300,600,0,493,107,164,0.915427
4,0,900,300,600,0,456,144,255,0.9152029
5,0,900,300,600,0,424,176,350,0.9162343
6,0,900,300,600,0,397,203,475,0.9162094
7,0,900,300,600,0,373,227,608,0.9164513
8,0,900,300,600,0,344,256,734,0.9153937
9,0,900,300,600,0,317,283,862,0.9164445
10,0,900,300,600,0,291,309,989,0.916442
11,0,900,300,600,0,269,331,1128,0.9164345
12,0,900,300,600,0,249,351,1273,0.9162568
13,4,900,304,596,4,226,370,1395,0.9163449
14,6,900,302,598,2,209,389,1526,0.9165053
15,7,900,301,599,1,195,404,1649,0.916454
16,9,900,302,598,2,180,418,1770,0.9163117
17,10,900,301,599,1,166,433,1877,0.9163449
18,13,900,303,597,3,149,448,1974,0.9171884
19,18,900,305,595,5,138,457,2067,0.9164603
20,18,900,300,600,0,137,463,2155,0.9167044
21,22,900,304,596,4,130,466,2262,0.9163694
22,27,900,305,595,5,121,474,2364,0.9164502
23,31,900,304,596,4,115,481,2457,0.916468
24,40,900,309,591,9,107,484,2549,0.9163888
25,44,900,304,596,4,104,492,2631,0.9164632
26,49,900,305,595,5,102,493,2704,0.9164004
27,53,900,304,596,4,100,496,2783,0.9165243
28,61,900,308,592,8,96,496,2851,0.9164016
29,65,900,304,596,4,99,497,2933,0.9164809
30,69,900,304,596,4,92,504,3020,0.916365
31,76,900,307,593,7,93,500,3088,0.9165445
32,82,900,306,594,6,96,498,3168,0.9162837
33,90,900,308,592,8,98,494,3245,0.9164274
34,96,900,306,594,6,102,492,3355,0.9163533
35,105,900,309,591,9,101,490,3434,0.9163684
36,114,900,309,591,9,102,489,3531,0.9163063
37,121,900,307,593,7,106,487,3636,0.9163766
38,127,900,306,594,6,109,485,3726,0.9164381
39,135,900,308,592,8,112,480,3821,0.918832
40,143,900,308,592,8,116,476,3921,0.91638
41,150,900,307,593,7,119,474,4029,0.9163589
42,156,900,306,594,6,119,475,4121,0.9164137
43,166,900,310,590,10,121,469,4230,0.9164066
44,174,900,308,592,8,129,463,4344,0.9164793
