agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,17,18,347,635,231,268,483
1,11,12,368,620,207,293,488
2,16,17,383,600,231,278,474
3,13,14,397,589,298,245,443
4,14,15,261,724,185,211,589
5,14,15,419,566,198,328,459
6,12,13,420,567,234,300,453
7,18,19,352,629,258,253,470
8,12,13,328,659,234,230,523
9,16,17,321,662,260,242,481
10,12,13,367,620,250,266,471
11,13,14,471,515,247,352,387
12,17,18,366,616,219,290,473
13,11,12,404,584,249,278,461
14,9,10,395,595,300,254,436
15,13,14,358,628,252,262,472
16,10,11,481,508,271,326,392
17,14,15,389,596,240,289,456
18,10,11,375,614,284,267,438
19,13,14,417,569,303,281,402
20,13,14,332,654,252,253,481
21,13,14,409,577,271,285,430
22,10,11,470,519,301,313,375
23,12,13,460,527,281,298,408
24,12,13,393,594,268,279,440
25,17,18,462,520,240,327,415
26,12,13,468,519,254,332,401
27,12,13,295,692,239,224,524
28,13,14,439,547,257,289,440
29,7,8,521,471,373,297,322
30,12,13,402,585,210,308,469
31,12,13,387,600,275,272,440
32,12,13,446,541,261,319,407
33,12,13,343,644,259,250,478
34,9,10,421,569,314,254,422
35,12,13,375,612,243,256,488
36,10,11,450,539,308,299,382
37,13,14,377,609,222,272,492
38,13,14,436,550,263,307,416
39,11,12,452,536,227,320,441
40,11,12,384,604,258,265,465
41,11,12,421,567,228,296,464
42,12,13,520,467,265,337,385
43,12,13,390,597,260,277,450
44,10,11,466,523,286,297,406
45,12,13,358,629,209,273,505
46,11,12,317,671,274,226,488
47,9,10,499,491,301,321,368
48,14,15,282,703,224,223,538
49,11,12,419,569,313,267,408
50,11,12,392,596,236,282,470
51,15,16,423,561,218,315,451
52,14,15,271,714,228,209,548
53,11,11,367,622,208,279,502
54,11,12,406,582,277,267,444
55,13,14,373,613,251,275,460
56,9,10,436,554,276,314,400
57,12,13,341,646,243,250,494
58,12,13,423,564,240,283,464
59,13,14,315,671,231,233,522
60,11,12,418,570,277,289,422
61,11,12,454,534,225,314,449
62,11,12,472,516,270,300,418
63,11,12,436,552,274,289,425
64,12,13,318,669,267,233,487
65,12,13,300,687,215,230,542
66,10,11,422,567,328,272,389
67,16,17,376,607,231,266,486
68,11,12,424,564,270,276,442
69,12,13,412,575,247,293,447
