agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,9,10,401,589,259,293,438
1,11,12,334,654,198,272,518
2,11,12,379,609,221,267,500
3,10,11,446,543,287,303,399
4,13,14,281,705,220,202,564
5,10,11,415,574,218,287,484
6,11,12,343,645,207,265,516
7,13,14,367,619,233,252,501
8,11,12,395,593,253,287,448
9,10,11,410,579,224,292,473
10,11,12,329,659,252,247,489
11,10,11,347,642,238,240,511
12,11,12,295,693,194,223,571
13,12,13,358,629,230,257,500
14,11,12,366,622,229,244,515
15,10,11,440,549,215,311,463
16,9,10,443,547,273,298,419
17,12,13,388,599,205,274,508
18,12,13,420,567,249,295,443
19,10,11,406,583,226,286,477
20,14,15,296,689,213,237,535
21,11,12,218,770,182,155,651
22,10,11,374,615,224,257,508
23,11,12,320,668,199,249,540
24,10,11,390,599,265,261,463
25,11,12,306,682,240,206,542
26,11,12,383,605,241,270,477
27,11,12,329,659,238,229,521
28,10,11,347,642,171,262,556
29,12,13,296,691,249,227,511
30,12,13,469,518,211,345,431
31,9,10,337,653,222,242,526
32,10,11,335,654,258,212,519
33,12,13,308,679,192,236,559
34,13,14,408,578,265,270,451
35,12,13,401,586,254,279,454
36,11,12,280,708,209,212,567
37,10,11,379,610,246,278,465
38,10,11,418,571,232,286,471
39,10,11,469,520,256,313,420
40,11,12,361,627,171,266,551
41,9,10,352,638,245,235,510
42,9,10,409,581,219,275,496
43,8,9,462,529,322,278,391
44,10,11,381,608,236,264,489
45,12,13,326,661,196,245,546
46,10,11,399,590,247,272,470
47,11,12,376,612,209,257,522
48,10,11,295,694,229,235,525
49,11,12,327,661,225,238,525
50,10,11,395,594,263,261,465
51,9,10,323,667,278,216,496
52,8,9,438,553,241,277,473
53,11,12,318,670,206,243,539
54,9,10,411,579,260,260,470
55,12,13,393,594,244,275,468
56,11,12,411,577,233,276,479
57,12,13,362,625,245,256,486
58,9,10,440,550,238,319,433
59,9,10,471,519,242,311,437
60,9,10,391,599,273,227,490
61,8,9,367,624,202,282,507
62,11,12,295,693,213,213,562
63,10,11,321,668,179,239,571
64,13,14,338,648,172,259,555
65,10,11,324,665,220,259,510
66,13,14,340,646,191,247,548
67,9,10,321,669,230,235,525
68,9,10,301,689,159,232,599
69,9,10,395,595,234,290,466
70,11,12,447,541,217,310,461
71,12,13,322,665,200,267,520
72,9,10,470,520,260,321,409
73,12,13,302,685,162,234,591
74,11,12,365,623,250,243,495
75,9,10,534,456,259,348,383
76,9,10,415,575,237,280,473
77,11,12,329,659,189,256,543
78,11,12,387,601,243,274,471
79,9,10,321,669,239,229,522
80,11,12,430,558,277,257,454
81,9,10,456,534,225,304,461
82,9,10,439,551,272,300,418
83,11,12,368,620,257,256,475
84,10,11,374,615,184,263,542
85,12,13,383,604,250,261,476
86,12,13,334,653,202,247,538
87,8,9,483,508,258,336,397
88,9,10,352,638,227,253,510
89,10,11,305,684,221,235,533
90,13,14,266,720,242,201,543
91,12,13,274,713,160,232,595
92,11,12,432,556,223,308,457
93,11,12,363,625,236,257,495
94,10,11,465,524,290,304,395
95,10,11,298,691,205,225,559
96,11,12,360,628,254,242,492
97,8,9,427,564,225,270,496
98,10,11,435,554,249,300,440
99,13,14,294,692,175,236,575
100,9,10,495,495,255,318,417
101,9,10,375,615,266,236,488
102,9,10,455,535,250,298,442
103,9,10,376,614,201,262,527
104,13,14,377,609,221,283,482
105,11,12,369,619,225,253,510
106,12,13,340,647,227,245,515
107,9,10,336,654,207,246,537
108,11,12,346,642,203,271,514
109,12,13,242,745,208,181,598
110,11,12,289,699,214,200,574
111,14,15,342,643,153,273,559
112,9,10,452,538,254,289,447
113,8,9,392,599,229,262,500
114,8,9,396,595,234,272,485
115,11,12,373,615,235,275,478
116,11,12,345,643,235,239,514
117,9,10,475,515,215,336,439
118,9,10,455,535,254,309,427
119,10,11,420,569,287,269,433
120,11,12,304,684,244,225,519
121,11,12,404,584,217,281,490
122,9,10,403,587,249,269,472
123,11,12,274,714,162,218,608
124,12,13,352,635,232,256,499
125,10,11,368,621,247,278,464
126,10,11,389,600,291,259,439
127,10,11,401,588,190,293,506
128,10,11,302,687,216,230,543
129,9,10,379,611,230,265,495
130,16,17,288,695,169,220,594
131,10,11,345,644,225,243,521
132,9,10,434,556,319,277,394
133,12,13,319,668,238,228,521
134,13,14,354,632,227,261,498
135,9,10,396,594,293,245,452
136,11,12,332,656,194,248,546
137,10,11,367,622,248,253,488
138,12,13,359,628,205,257,525
139,7,8,486,506,297,314,381
140,9,10,469,521,240,346,404
141,12,13,300,687,244,211,532
142,10,11,408,581,240,272,477
143,10,11,407,582,289,265,435
144,8,9,515,476,267,332,392
145,10,11,340,649,277,237,475
146,10,11,400,589,219,289,481
147,10,11,408,581,243,276,470
148,11,12,402,586,215,287,486
149,10,11,393,596,259,272,458
150,6,7,537,456,306,325,362
151,12,13,262,725,170,203,614
152,10,11,368,621,209,270,510
153,9,10,377,613,250,245,495
154,13,14,405,581,252,274,460
155,8,9,451,540,198,315,478
156,10,11,317,672,227,220,542
157,10,11,430,559,240,298,451
158,7,8,500,492,265,326,401
159,8,9,403,588,236,278,477
160,8,9,443,548,278,300,413
161,9,10,382,608,230,264,496
162,11,12,328,660,194,217,577
163,9,10,329,661,257,226,507
164,11,12,337,651,225,242,521
