timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,900,300,600,0,564,36,0,0.9151769
2,0,900,300,600,0,531,69,82,0.9158846
3,0,900,300,600,0,493,107,168,0.9154419
4,0,900,300,600,0,460,140,283,0.915993
5,0,900,300,600,0,425,175,394,0.9159465
6,0,900,300,600,0,396,204,529,0.9163307
7,0,900,300,600,0,365,235,654,0.9160028
8,0,900,300,600,0,334,266,785,0.9157886
9,1,900,301,599,1,306,293,909,0.9155145
10,1,900,300,600,0,279,321,1042,0.9161191
11,1,900,300,600,0,255,345,1163,0.9162022
12,2,900,301,599,1,230,369,1286,0.9168995
13,4,900,302,598,2,212,386,1424,0.9165717
14,4,900,300,600,0,196,404,1551,0.9157905
15,8,900,304,596,4,176,420,1689,0.917289
16,13,900,305,595,5,159,436,1807,0.9161258
17,16,900,303,597,3,148,449,1907,0.9171803
18,20,900,304,596,4,139,457,2011,0.9163154
19,24,900,304,596,4,130,466,2111,0.9157205
20,30,900,306,594,6,123,471,2211,0.9157114
21,32,900,302,598,2,116,482,2306,0.9170126
22,34,900,302,598,2,112,486,2386,0.916371
23,44,900,310,590,10,105,485,2458,0.9156387
24,49,900,305,595,5,102,493,2534,0.9163195
25,59,900,310,590,10,95,495,2618,0.9164866
26,67,900,308,592,8,101,491,2693,0.9166752
27,74,900,307,593,7,101,492,2774,0.9156159
28,82,900,308,592,8,97,495,2850,0.9157508
29,88,900,306,594,6,97,497,2919,0.9159739
30,100,900,312,588,12,99,489,3002,0.9164278
31,105,900,305,595,5,107,488,3085,0.9160844
32,118,900,313,587,13,107,480,3183,0.9170671
33,127,900,309,591,9,116,475,3277,0.9155915
34,143,900,316,584,16,118,466,3388,0.9155196
35,150,900,307,593,7,129,464,3505,0.9160189
36,157,900,307,593,7,130,463,3623,0.9155479
37,174,900,317,583,17,134,449,3743,0.9163913
38,190,900,316,584,16,148,436,3876,0.9165453
39,203,900,313,587,13,157,430,3984,0.9168682
40,212,900,309,591,9,162,429,4117,0.9160672
41,222,900,310,590,10,167,423,4243,0.9183795
42,234,900,312,588,12,176,412,4375,0.9169806
43,239,900,305,595,5,184,411,4502,0.9168183
44,251,900,312,588,12,184,404,4637,0.9162429
45,265,900,314,586,14,191,395,4760,0.9161039
46,273,900,308,592,8,198,394,4887,0.9167275
47,283,900,310,590,10,199,391,5021,0.9161116
48,289,900,306,594,6,201,393,5171,0.9164565
49,295,900,306,594,6,197,397,5300,0.9163598
50,306,900,311,589,11,198,391,5438,0.9164565
51,315,900,309,591,9,208,383,5578,0.9165922
52,322,900,307,593,7,212,381,5711,0.9159477
53,328,900,306,594,6,213,381,5849,0.915864
54,331,900,303,597,3,216,381,5990,0.9161915
55,336,900,305,595,5,211,384,6145,0.9155895
56,339,900,303,597,3,209,388,6300,0.9159441
57,346,900,307,593,7,201,392,6457,0.9161078
58,353,900,307,593,7,201,392,6616,0.9161948
59,355,900,302,598,2,201,397,6766,0.9160708
60,360,900,305,595,5,199,396,6914,0.9159028
61,368,900,308,592,8,199,393,7065,0.915858
62,376,900,308,592,8,202,390,7191,0.9168588
63,382,900,306,594,6,202,392,7370,0.9155991
64,392,900,310,590,10,203,387,7509,0.9157415
65,394,900,302,598,2,209,389,7636,0.9163034
66,402,900,308,592,8,207,385,7764,0.916152
67,411,900,309,591,9,208,383,7902,0.9160912
68,420,900,309,591,9,209,382,8053,0.9159405
69,428,900,308,592,8,209,383,8184,0.9160974
70,436,900,308,592,8,212,380,8322,0.9161274
71,442,900,306,594,6,214,380,8446,0.9159342
72,450,900,308,592,8,213,379,8592,0.9173792
73,461,900,311,589,11,212,377,8716,0.9164493
74,465,900,304,596,4,219,377,8865,0.9163442
75,469,900,304,596,4,214,382,9009,0.9162071
76,473,900,304,596,4,214,382,9149,0.916731
77,484,900,311,589,11,211,378,9292,0.9167256
78,489,900,305,595,5,218,377,9421,0.9172645
79,498,900,309,591,9,217,374,9557,0.91654
80,500,900,302,598,2,221,377,9699,0.9160837
81,504,900,304,596,4,214,382,9835,0.9164582
82,508,900,304,596,4,212,384,9968,0.9163738
83,521,900,313,587,13,213,374,10099,0.9166307
84,527,900,306,594,6,220,374,10225,0.9165769
85,534,900,307,593,7,219,374,10375,0.9172272
86,545,900,311,589,11,221,368,10498,0.9163364
87,548,900,303,597,3,227,370,10636,0.9163704
88,558,900,310,590,10,222,368,10769,0.9167743
89,565,900,307,593,7,225,368,10906,0.9169002
90,572,900,307,593,7,225,368,11040,0.9157814
91,576,900,304,596,4,223,373,11170,0.9156427
92,578,900,302,598,2,220,378,11318,0.9164732
93,587,900,309,591,9,218,373,11460,0.9160947
94,591,900,304,596,4,221,375,11599,0.9161962
95,598,900,307,593,7,217,376,11727,0.9163856
96,607,900,309,591,9,222,369,11876,0.9157947
97,614,900,307,593,7,224,369,12009,0.9173412
98,617,900,303,597,3,224,373,12146,0.9164693
99,623,900,306,594,6,217,377,12283,0.9156631
100,630,900,307,593,7,220,373,12426,0.916874
101,633,900,303,597,3,221,376,12575,0.9164432
102,637,900,304,596,4,213,383,12720,0.9157965
103,645,900,308,592,8,212,380,12858,0.9164825
104,648,900,303,597,3,215,382,12999,0.9158779
105,652,900,304,596,4,210,386,13121,0.9161969
106,655,900,303,597,3,210,387,13273,0.9162915
107,661,900,306,594,6,206,388,13435,0.9156066
108,667,900,306,594,6,207,387,13574,0.9164116
109,670,900,303,597,3,209,388,13722,0.9165671
110,675,900,305,595,5,209,386,13857,0.9174344
111,680,900,305,595,5,212,383,14002,0.9169319
112,683,900,303,597,3,214,383,14151,0.9165429
113,688,900,305,595,5,206,389,14292,0.9169734
114,694,900,306,594,6,208,386,14452,0.9156289
115,700,900,306,594,6,207,387,14610,0.9164082
116,705,900,305,595,5,206,389,14782,0.9164644
117,710,900,305,595,5,206,389,14937,0.9156379
118,718,900,308,592,8,203,389,15101,0.9155876
119,725,900,307,593,7,206,387,15257,0.9164286
120,730,900,305,595,5,210,385,15410,0.9172844
121,734,900,304,596,4,208,388,15555,0.916131
122,739,900,305,595,5,207,388,15692,0.9156419
123,744,900,305,595,5,205,390,15827,0.916601
124,756,900,312,588,12,208,380,15976,0.9160157
125,762,900,306,594,6,217,377,16090,0.9162399
126,767,900,305,595,5,217,378,16231,0.9165763
127,770,900,303,597,3,218,379,16362,0.9167523
128,773,900,303,597,3,218,379,16503,0.9162728
129,776,900,303,597,3,216,381,16650,0.9162722
130,783,900,307,593,7,212,381,16806,0.9171089
131,788,900,305,595,5,211,384,16958,0.9167283
132,794,900,306,594,6,209,385,17108,0.9173841
133,797,900,303,597,3,204,393,17240,0.9170137
134,802,900,305,595,5,205,390,17382,0.9158077
135,812,900,310,590,10,205,385,17512,0.9169577
136,816,900,304,596,4,211,385,17661,0.9163552
137,822,900,306,594,6,209,385,17796,0.9162304
138,828,900,306,594,6,211,383,17935,0.9168926
139,836,900,308,592,8,215,377,18063,0.9158962
140,845,900,309,591,9,218,373,18198,0.9163732
141,852,900,307,593,7,218,375,18343,0.9167207
142,859,900,307,593,7,221,372,18486,0.9169961
143,862,900,303,597,3,224,373,18624,0.9159555
144,865,900,303,597,3,220,377,18764,0.9159469
145,868,900,303,597,3,219,378,18931,0.9155461
146,872,900,304,596,4,219,377,19061,0.916416
147,877,900,305,595,5,213,382,19179,0.9176071
148,882,900,305,595,5,210,385,19296,0.9170413
149,884,900,302,598,2,211,387,19437,0.916359
150,889,900,305,595,5,209,386,19564,0.9166596
151,895,900,306,594,6,209,385,19696,0.9159997
152,899,900,304,596,4,210,386,19841,0.9160355
153,903,900,304,596,4,210,386,19996,0.9164441
154,909,900,306,594,6,211,383,20155,0.9162144
155,918,900,309,591,9,213,378,20322,0.9163046
