agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,4,109,137,43,80,123
1,3,4,95,151,53,82,111
2,2,3,100,147,56,71,120
3,4,5,74,171,63,51,131
4,3,4,152,94,49,117,80
5,4,5,46,199,18,44,183
6,4,5,75,170,25,62,158
7,3,4,74,172,37,59,150
8,4,5,83,162,50,71,124
9,3,4,112,134,46,83,117
10,4,5,92,153,62,52,131
11,2,3,156,91,73,100,74
12,4,5,66,179,37,54,154
13,3,4,96,150,24,85,137
14,4,5,70,175,37,54,154
15,3,4,90,156,64,62,120
16,4,5,105,140,45,81,119
17,3,4,95,151,57,71,118
18,4,5,110,135,31,92,122
19,3,4,67,179,53,49,144
20,3,4,97,149,44,74,128
21,4,5,77,168,69,52,124
22,3,4,70,176,32,55,159
23,4,5,66,179,34,60,151
24,3,4,68,178,28,61,157
25,3,4,75,171,49,60,137
26,4,4,134,112,52,94,100
27,4,5,50,195,38,40,167
28,3,4,95,151,28,75,143
29,4,5,52,193,20,46,179
30,3,4,73,173,36,66,144
31,5,6,86,158,42,67,135
32,4,5,79,166,27,60,158
33,5,5,90,155,42,72,131
34,3,4,118,128,43,86,117
35,3,4,98,148,48,73,125
36,4,5,76,169,35,70,140
37,3,4,122,124,49,90,107
38,3,4,90,156,50,61,135
39,3,4,79,167,52,57,137
40,5,6,84,160,35,68,141
41,4,5,49,196,22,39,184
42,3,4,118,128,53,89,104
43,3,4,75,171,54,59,133
44,2,3,81,166,33,64,150
45,4,5,83,162,33,69,143
46,3,4,66,180,69,47,130
47,3,4,105,141,49,86,111
48,5,6,61,183,30,51,163
49,5,6,84,160,20,77,147
50,3,4,103,143,49,63,134
51,2,3,202,45,73,131,43
52,3,4,96,150,44,80,122
53,3,4,100,146,68,62,116
54,2,3,108,139,43,80,124
55,3,4,89,157,30,77,139
56,3,4,76,170,45,57,144
57,4,5,105,140,40,81,124
58,4,5,63,182,23,57,165
59,3,4,68,178,57,51,138
60,3,4,62,184,28,47,171
61,2,3,134,113,67,92,88
62,4,5,100,145,59,75,111
63,5,6,65,179,40,58,146
64,3,4,103,143,61,64,121
65,3,4,86,160,44,66,136
66,3,4,51,195,28,39,179
67,4,5,79,166,37,65,143
68,5,6,91,153,32,78,134
69,3,4,80,166,46,66,134
70,5,6,59,185,23,49,172
71,3,4,81,165,53,67,126
72,1,2,183,65,79,114,55
73,3,4,123,123,40,100,106
74,3,4,55,191,33,43,170
75,2,3,175,72,58,123,66
76,3,4,50,196,18,42,186
77,3,4,40,206,19,35,192
78,3,4,105,141,54,75,117
79,3,4,96,150,57,85,104
80,3,4,92,154,43,71,132
81,5,6,72,172,21,65,158
82,4,5,59,186,42,50,153
83,4,5,98,147,47,69,129
84,3,4,60,186,37,45,164
85,3,4,74,172,22,61,163
86,3,4,138,108,62,93,91
87,2,3,92,155,39,73,135
88,4,5,69,176,26,57,162
89,3,4,86,160,54,65,127
90,3,4,50,196,16,47,183
91,2,3,91,156,43,63,141
92,3,4,112,134,58,74,114
93,3,4,56,190,46,40,160
94,4,5,78,167,41,51,153
95,4,5,107,138,39,82,124
96,3,4,38,208,30,35,181
97,4,5,128,117,60,81,104
98,4,5,64,181,27,49,169
99,2,3,65,182,20,57,170
100,4,5,53,192,24,48,173
101,2,3,87,160,51,67,129
102,4,5,77,168,25,71,149
103,3,4,107,139,40,79,127
104,3,4,76,170,50,42,154
105,3,4,129,117,52,97,97
106,3,4,79,167,44,51,151
107,3,4,88,158,43,65,138
108,2,3,86,161,33,72,142
109,3,4,107,139,39,85,122
110,4,5,121,124,57,89,99
111,4,5,92,153,24,78,143
112,2,3,109,138,58,79,110
113,4,5,106,139,71,68,106
114,2,3,101,146,51,80,116
115,4,5,77,168,46,68,131
116,3,4,97,149,50,67,129
117,4,5,74,171,37,57,151
118,4,5,81,164,44,72,129
119,2,3,83,164,48,56,143
120,3,4,125,121,77,75,94
121,4,5,63,182,25,58,162
122,3,4,129,117,55,87,104
123,2,3,51,196,31,38,178
124,3,4,108,138,43,85,118
125,4,5,48,197,32,41,172
126,4,5,100,145,51,78,116
127,4,5,75,170,60,50,135
128,3,4,93,153,39,66,141
129,2,3,95,152,56,65,126
130,4,5,76,169,34,66,145
131,2,3,163,84,63,103,81
132,4,5,88,157,31,67,147
133,5,6,99,145,32,79,133
134,3,4,101,145,72,65,109
135,3,4,99,147,49,75,122
136,5,6,93,151,38,77,129
137,3,4,68,178,27,54,165
138,3,4,92,154,45,74,127
139,4,5,101,144,23,87,135
140,2,3,111,136,51,76,120
141,3,4,65,181,25,55,166
142,3,4,71,175,33,53,160
143,2,3,152,95,57,106,84
144,4,5,82,163,37,70,138
145,3,4,69,177,29,56,161
146,2,3,102,145,35,84,128
147,4,5,75,170,35,63,147
