timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,250,500,0,463,37,0,0.9165472
2,0,750,250,500,0,428,72,40,0.9161226
3,0,750,250,500,0,395,105,99,0.9167149
4,0,750,250,500,0,361,139,163,0.9165277
5,0,750,250,500,0,329,171,229,0.9162686
6,0,750,250,500,0,296,204,324,0.9169156
7,0,750,250,500,0,265,235,422,0.9162898
8,2,750,252,498,2,239,259,525,0.9169665
9,2,750,250,500,0,212,288,605,0.9165903
10,2,750,250,500,0,188,312,708,0.916183
11,2,750,250,500,0,170,330,804,0.9165889
12,4,750,252,498,2,147,351,891,0.9167382
13,6,750,252,498,2,129,369,990,0.9166848
14,6,750,250,500,0,109,391,1064,0.9172318
15,8,750,252,498,2,93,405,1129,0.9168558
16,10,750,252,498,2,82,416,1200,0.917628
17,14,750,254,496,4,70,426,1268,0.9163712
18,19,750,255,495,5,62,433,1314,0.9171509
19,29,750,260,490,10,57,433,1372,0.9167217
20,36,750,257,493,7,58,435,1420,0.9168062
21,45,750,259,491,9,58,433,1474,0.916484
22,51,750,256,494,6,62,432,1528,0.9164647
23,59,750,258,492,8,63,429,1580,0.9168153
24,67,750,258,492,8,67,425,1630,0.9167652
25,71,750,254,496,4,72,424,1686,0.9168631
26,81,750,260,490,10,70,420,1747,0.9176613
27,88,750,257,493,7,78,415,1801,0.9170588
28,96,750,258,492,8,81,411,1878,0.9162506
29,105,750,259,491,9,85,406,1960,0.9164225
30,116,750,261,489,11,88,401,2038,0.9167844
31,125,750,259,491,9,96,395,2100,0.9167298
32,131,750,256,494,6,101,393,2176,0.9164521
33,138,750,257,493,7,102,391,2260,0.9169351
34,150,750,262,488,12,107,381,2353,0.9172376
35,157,750,257,493,7,118,375,2441,0.9166672
36,171,750,264,486,14,119,367,2526,0.9166489
37,180,750,259,491,9,127,364,2605,0.9166435
38,187,750,257,493,7,132,361,2708,0.9169128
39,198,750,261,489,11,136,353,2803,0.9164489
40,207,750,259,491,9,143,348,2877,0.9167092
41,223,750,266,484,16,147,337,2952,0.916249
42,230,750,257,493,7,158,335,3052,0.9169712
43,238,750,258,492,8,162,330,3131,0.9170312
44,255,750,267,483,17,164,319,3211,0.9171108
45,260,750,255,495,5,175,320,3310,0.9171063
46,265,750,255,495,5,172,323,3414,0.9170574
