task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,9,140,190,124,118,4,3,4,0,3,27,85,41,41,9,50,9,140,190,1.518519
1,0,23,-1,-1,2,1,7,3,4,3.000000,8.000000,43,3,0,0,0,0,23,-1,-1,0.000000
2,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,54,0,0,0,0,0,-1,-1,-1,0.000000
3,0,1,1,47,465,0,0,3,-1,-1.000000,-1.000000,33,0,39,0,7,7,1,1,47,1.181818
4,0,23,32,86,520,4,15,3,2,5.000000,6.000000,30,6,52,2,2,4,23,32,86,1.733333
5,0,1,1,36,149,0,0,3,-1,-1.000000,-1.000000,19,0,23,0,12,12,1,1,36,1.210526
6,0,1,15,80,590,3,8,3,4,0.000000,0.000000,29,5,59,0,6,6,1,15,80,2.034483
7,0,1,6,34,125,3,5,3,4,0.000000,0.000000,15,5,23,0,5,5,1,6,34,1.533333
8,0,1,40,106,579,13,2,3,2,0.000000,0.000000,24,11,56,5,10,15,1,40,106,2.333333
9,0,39,63,147,95,14,10,3,4,6.000000,10.000000,35,13,71,5,13,18,39,63,147,2.028571
10,0,100,109,191,455,9,14,3,2,11.000000,11.000000,40,3,76,6,6,12,100,109,191,1.900000
11,0,35,141,212,561,89,14,3,2,0.000000,0.000000,47,74,65,28,6,34,35,141,212,1.382979
12,0,1,5,64,416,2,4,3,4,0.000000,0.000000,28,3,52,0,7,7,1,5,64,1.857143
13,0,1,19,133,225,16,3,3,4,0.000000,0.000000,29,14,75,4,39,43,1,19,133,2.586207
14,0,21,32,91,86,2,6,3,4,0.000000,9.000000,45,8,51,3,8,11,21,32,91,1.133333
15,0,1,4,16,16,2,16,3,4,0.000000,0.000000,10,3,12,0,0,0,1,4,16,1.200000
16,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,43,0,0,0,0,0,-1,-1,-1,0.000000
17,0,1,2,44,423,0,1,3,3,0.000000,0.000000,27,1,39,0,3,3,1,2,44,1.444444
18,0,1,12,48,196,10,2,3,3,0.000000,0.000000,22,10,32,1,4,5,1,12,48,1.454545
19,0,1,10,61,396,8,6,3,4,0.000000,0.000000,24,8,44,1,7,8,1,10,61,1.833333
20,0,27,52,123,117,6,18,3,2,4.000000,5.000000,46,6,68,2,3,5,27,52,123,1.478261
21,0,1,1,26,363,0,0,3,-1,-1.000000,-1.000000,25,0,25,0,0,0,1,1,26,1.000000
22,0,1,26,43,0,18,8,3,2,0.000000,0.000000,10,21,10,4,7,11,1,26,43,1.000000
23,0,1,7,40,342,6,4,3,4,0.000000,0.000000,17,6,27,0,6,6,1,7,40,1.588235
24,0,1,43,95,580,15,3,3,4,0.000000,0.000000,26,15,52,7,0,7,1,43,95,2.000000
25,0,1,19,54,111,17,14,3,4,0.000000,0.000000,14,11,24,7,11,18,1,19,54,1.714286
26,0,1,47,139,519,19,4,3,4,0.000000,0.000000,42,20,72,7,20,27,1,47,139,1.714286
27,0,1,10,78,497,4,9,3,2,0.000000,0.000000,35,5,63,2,5,7,1,10,78,1.800000
28,0,1,43,90,424,35,17,3,2,0.000000,0.000000,26,31,36,11,11,22,1,43,90,1.384615
29,0,1,7,74,406,5,2,3,3,0.000000,0.000000,29,6,61,0,6,6,1,7,74,2.103448
30,0,20,101,190,197,51,4,3,4,0.000000,4.000000,49,43,75,19,14,33,20,101,190,1.530612
31,0,1,1,13,27,0,0,3,-1,-1.000000,-1.000000,10,0,10,0,2,2,1,1,13,1.000000
32,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,51,0,0,0,0,0,-1,-1,-1,0.000000
33,0,21,-1,-1,519,0,4,3,4,0.000000,5.000000,48,4,0,0,0,0,21,-1,-1,0.000000
34,0,1,14,32,105,13,12,3,2,0.000000,0.000000,15,10,15,3,3,6,1,14,32,1.000000
35,0,1,12,83,393,5,2,3,4,0.000000,0.000000,30,10,52,1,19,20,1,12,83,1.733333
36,0,25,94,185,407,5,5,3,4,0.000000,6.000000,42,6,86,2,5,7,25,94,185,2.047619
37,0,1,6,23,356,3,3,3,4,0.000000,0.000000,15,5,17,0,0,0,1,6,23,1.133333
38,0,1,17,120,234,16,6,3,4,0.000000,0.000000,21,11,73,5,30,35,1,17,120,3.476190
39,0,1,4,48,421,3,11,3,4,0.000000,0.000000,24,3,32,0,12,12,1,4,48,1.333333
40,0,1,19,62,232,14,4,3,4,0.000000,0.000000,20,16,38,2,5,7,1,19,62,1.900000
41,0,1,8,48,403,7,13,3,2,0.000000,0.000000,25,5,27,2,13,15,1,8,48,1.080000
42,0,1,12,41,155,10,2,3,3,0.000000,0.000000,15,9,21,2,8,10,1,12,41,1.400000
43,0,7,38,99,430,13,2,3,3,0.000000,1.000000,38,12,50,5,11,16,7,38,99,1.315789
44,0,65,174,-1,510,11,14,3,2,0.000000,0.000000,53,13,76,4,0,4,65,174,-1,1.433962
45,0,9,14,110,384,3,4,3,3,0.000000,1.000000,32,3,64,2,32,34,9,14,110,2.000000
46,0,1,9,33,79,5,6,3,4,0.000000,0.000000,10,5,18,3,6,9,1,9,33,1.800000
47,0,26,71,139,93,5,5,3,4,1.000000,14.000000,36,5,64,2,4,6,26,71,139,1.777778
48,0,1,4,40,586,2,5,3,4,0.000000,0.000000,27,3,31,0,5,5,1,4,40,1.148148
49,0,1,14,104,565,3,4,3,4,0.000000,0.000000,36,4,70,1,20,21,1,14,104,1.944444
50,0,1,13,49,217,12,15,3,2,0.000000,0.000000,24,7,32,5,4,9,1,13,49,1.333333
51,0,5,190,-1,189,114,5,3,4,0.000000,1.000000,44,85,55,43,5,48,5,190,-1,1.250000
52,0,1,9,36,73,6,3,3,3,0.000000,0.000000,20,5,24,3,3,6,1,9,36,1.200000
53,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,51,0,0,0,0,0,-1,-1,-1,0.000000
54,0,1,3,39,246,1,2,3,2,0.000000,0.000000,21,1,31,1,5,6,1,3,39,1.476190
55,0,1,99,172,107,37,13,3,2,0.000000,0.000000,29,29,71,16,2,18,1,99,172,2.448276
56,0,69,89,154,580,8,18,3,4,2.000000,10.000000,45,11,61,1,4,5,69,89,154,1.355556
57,0,1,72,174,520,47,1,3,3,0.000000,0.000000,24,37,78,22,24,46,1,72,174,3.250000
58,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,52,0,0,0,0,0,-1,-1,-1,0.000000
59,0,1,6,59,213,4,1,3,3,0.000000,0.000000,20,5,36,0,17,17,1,6,59,1.800000
60,0,99,177,-1,590,75,17,3,2,9.000000,9.000000,35,46,59,32,14,46,99,177,-1,1.685714
61,0,1,8,50,469,6,5,3,4,0.000000,0.000000,28,3,36,4,6,10,1,8,50,1.285714
62,0,1,8,46,494,7,2,3,3,0.000000,0.000000,17,6,27,1,11,12,1,8,46,1.588235
63,0,1,7,75,320,4,5,3,4,0.000000,0.000000,47,3,67,2,1,3,1,7,75,1.425532
64,0,1,6,28,221,4,3,3,4,0.000000,0.000000,15,5,19,0,3,3,1,6,28,1.266667
65,0,28,29,99,544,0,1,3,3,1.000000,2.000000,38,1,52,0,18,18,28,29,99,1.368421
66,0,78,130,205,589,33,2,3,3,0.000000,0.000000,35,20,69,18,6,24,78,130,205,1.971429
67,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,43,0,0,0,0,0,-1,-1,-1,0.000000
68,0,1,1,31,490,0,0,3,-1,-1.000000,-1.000000,28,0,30,0,0,0,1,1,31,1.071429
69,0,1,7,66,68,3,15,3,2,0.000000,0.000000,30,5,46,0,13,13,1,7,66,1.533333
70,0,21,42,132,448,6,9,3,2,8.000000,8.000000,26,8,70,2,20,22,21,42,132,2.692308
71,0,1,16,79,147,8,5,3,3,0.000000,0.000000,46,9,58,4,5,9,1,16,79,1.260870
72,0,206,-1,-1,126,7,16,3,2,1.000000,1.000000,49,8,0,0,0,0,206,-1,-1,0.000000
73,0,1,4,44,471,2,16,3,4,0.000000,0.000000,22,2,34,1,6,7,1,4,44,1.545455
74,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,45,0,0,0,0,0,-1,-1,-1,0.000000
75,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,48,0,0,0,0,0,-1,-1,-1,0.000000
76,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,55,0,0,0,0,0,-1,-1,-1,0.000000
77,0,1,3,40,529,0,1,3,3,0.000000,0.000000,30,1,34,1,3,4,1,3,40,1.133333
78,0,1,33,92,458,28,16,3,2,0.000000,0.000000,30,24,50,7,9,16,1,33,92,1.666667
79,0,45,48,132,360,1,13,3,2,1.000000,1.000000,39,2,71,0,13,13,45,48,132,1.820513
80,0,1,24,53,115,19,2,3,3,0.000000,0.000000,14,19,18,4,11,15,1,24,53,1.285714
81,0,1,8,40,508,5,6,3,4,0.000000,0.000000,19,5,31,2,1,3,1,8,40,1.631579
82,0,1,10,76,323,6,5,3,4,0.000000,0.000000,21,8,47,1,19,20,1,10,76,2.238095
83,0,1,13,33,50,10,3,3,4,0.000000,0.000000,8,8,14,4,6,10,1,13,33,1.750000
84,0,1,10,24,308,6,2,3,4,0.000000,0.000000,14,7,14,2,0,2,1,10,24,1.000000
85,0,68,115,197,387,32,13,3,2,3.000000,4.000000,36,23,68,13,14,27,68,115,197,1.888889
86,0,1,20,59,87,17,5,3,4,0.000000,0.000000,19,15,31,4,8,12,1,20,59,1.631579
87,0,1,5,47,443,4,1,3,3,0.000000,0.000000,24,2,38,2,4,6,1,5,47,1.583333
88,0,1,9,77,435,6,3,3,4,0.000000,0.000000,20,8,58,0,10,10,1,9,77,2.900000
89,0,1,17,74,551,12,3,3,4,0.000000,0.000000,36,12,42,2,15,17,1,17,74,1.166667
