agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,4,112,134,63,82,101
1,2,3,61,186,43,40,164
2,3,4,106,140,45,75,126
3,3,4,62,184,40,49,157
4,3,4,105,141,41,74,131
5,2,3,114,133,63,77,107
6,3,4,81,165,47,68,131
7,3,4,103,143,54,76,116
8,3,4,79,167,42,43,161
9,2,3,99,148,83,55,109
10,4,5,56,189,24,45,176
11,3,4,62,184,21,55,170
12,3,4,107,139,44,86,116
13,2,3,100,147,55,71,121
14,3,4,145,101,50,98,98
15,3,4,105,141,48,73,125
16,2,3,123,124,53,88,106
17,4,5,72,173,39,51,155
18,4,5,74,171,29,62,154
19,3,4,107,139,61,79,106
20,3,4,64,182,41,51,154
21,3,4,132,114,54,87,105
22,2,3,83,164,51,65,131
23,2,3,92,155,36,69,142
24,4,5,70,175,32,57,156
25,3,4,92,154,44,81,121
26,3,4,85,161,76,44,126
27,3,4,56,190,43,40,163
28,3,4,81,165,55,62,129
29,2,3,102,145,58,79,110
30,2,3,101,146,57,67,123
31,3,4,77,169,63,57,126
32,3,4,127,119,48,93,105
33,2,3,73,174,71,54,122
34,3,4,71,175,52,49,145
35,2,3,97,150,46,76,125
36,3,4,92,154,57,61,128
37,3,4,49,197,45,39,162
38,2,3,76,171,46,46,155
39,2,3,98,149,76,55,116
40,2,3,86,161,59,67,121
41,4,5,76,169,29,57,159
42,3,4,109,137,60,69,117
43,3,4,94,152,34,77,135
44,3,4,91,155,46,74,126
45,3,4,145,101,53,106,87
46,3,4,79,167,42,65,139
47,3,4,162,84,69,109,68
48,3,4,76,170,43,52,151
49,4,5,84,161,44,78,123
50,2,3,65,182,53,48,146
51,2,3,106,141,47,80,120
52,2,3,125,122,79,70,98
53,3,4,60,186,45,46,155
54,4,5,67,178,44,55,146
55,4,5,84,161,40,66,139
56,2,3,133,114,58,94,95
57,2,3,92,155,48,72,127
58,3,4,31,215,36,29,181
59,2,3,118,129,67,86,94
60,4,5,44,201,46,35,164
61,2,3,102,145,74,65,108
62,3,4,109,137,68,79,99
63,2,3,102,145,85,64,98
64,4,5,48,197,20,42,183
65,3,4,102,144,50,85,111
66,4,5,82,163,37,69,139
67,2,3,122,125,85,74,88
68,2,3,84,163,57,59,131
69,4,5,65,180,39,58,148
70,2,3,117,130,65,74,108
71,2,3,68,179,60,50,137
72,1,2,137,111,84,87,77
73,3,4,75,171,61,52,133
74,3,4,135,111,79,78,89
75,3,4,49,197,60,38,148
76,2,3,188,59,68,129,50
77,4,5,77,168,45,60,140
78,2,3,87,160,79,56,112
79,2,3,73,174,66,54,127
80,4,5,55,190,40,48,157
81,3,4,70,176,41,53,152
82,3,4,129,117,63,86,97
83,4,5,45,200,48,36,161
84,4,5,97,148,41,80,124
85,2,3,141,106,79,82,86
86,3,4,48,198,27,41,178
87,2,3,142,105,79,90,78
88,2,3,118,129,85,71,91
89,2,3,67,180,51,57,139
90,3,4,69,177,49,52,145
91,4,5,75,170,39,64,142
92,3,4,80,166,52,53,141
93,3,4,66,180,27,53,166
94,4,5,55,190,49,46,150
95,3,4,111,135,61,74,111
96,2,3,80,167,48,62,137
