task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,2,46,82,540,17,3,3,4,0,0,27,17,33,5,3,8,2,46,82,1.222222
1,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,43,0,0,0,0,0,-1,-1,-1,0.000000
2,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,54,0,0,0,0,0,-1,-1,-1,0.000000
3,0,1,1,52,465,0,0,3,-1,-1.000000,-1.000000,33,0,39,0,12,12,1,1,52,1.181818
4,0,2,12,68,581,4,9,3,2,0.000000,0.000000,30,5,54,1,2,3,2,12,68,1.800000
5,0,1,1,25,149,0,0,3,-1,-1.000000,-1.000000,19,0,23,0,1,1,1,1,25,1.210526
6,0,1,25,96,590,15,8,3,4,0.000000,0.000000,29,17,55,4,16,20,1,25,96,1.896552
7,0,1,8,27,125,4,5,3,4,0.000000,0.000000,15,6,17,1,2,3,1,8,27,1.133333
8,0,1,53,124,579,24,2,3,2,0.000000,0.000000,24,17,56,15,15,30,1,53,124,2.333333
9,0,5,50,142,126,14,1,3,3,0.000000,1.000000,35,8,75,8,17,25,5,50,142,2.142857
10,0,37,160,230,121,68,16,3,4,4.000000,12.000000,40,42,70,33,0,33,37,160,230,1.750000
11,0,42,144,211,561,98,20,3,2,2.000000,3.000000,47,58,61,44,6,50,42,144,211,1.297872
12,0,1,11,50,416,10,4,3,4,0.000000,0.000000,28,10,36,0,3,3,1,11,50,1.285714
13,0,1,3,37,225,1,3,3,4,0.000000,0.000000,29,2,31,0,3,3,1,3,37,1.068966
14,0,7,62,113,539,1,2,3,4,0.000000,1.000000,45,6,51,0,0,0,7,62,113,1.133333
15,0,1,15,75,16,10,16,3,4,0.000000,0.000000,10,12,44,2,16,18,1,15,75,4.400000
16,0,213,231,-1,216,3,13,3,4,0.000000,4.000000,43,5,18,1,1,2,213,231,-1,0.418605
17,0,1,2,29,423,0,1,3,3,0.000000,0.000000,27,1,27,0,0,0,1,2,29,1.000000
18,0,1,11,68,196,9,2,3,3,0.000000,0.000000,22,8,44,2,13,15,1,11,68,2.000000
19,0,1,8,61,396,6,6,3,4,0.000000,0.000000,24,7,38,0,15,15,1,8,61,1.583333
20,0,30,91,169,392,16,2,3,3,1.000000,1.000000,46,14,68,6,10,16,30,91,169,1.478261
21,0,1,1,26,363,0,0,3,-1,-1.000000,-1.000000,25,0,25,0,0,0,1,1,26,1.000000
22,0,1,29,44,0,22,8,3,2,0.000000,0.000000,10,23,14,5,1,6,1,29,44,1.400000
23,0,1,13,37,342,9,4,3,4,0.000000,0.000000,17,11,21,1,3,4,1,13,37,1.235294
