timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,900,300,600,0,564,36,0,0.916202
2,0,900,300,600,0,531,69,78,0.9155263
3,0,900,300,600,0,495,105,176,0.9159517
4,0,900,300,600,0,462,138,269,0.9156339
5,0,900,300,600,0,427,173,391,0.9163723
6,0,900,300,600,0,398,202,536,0.9160751
7,0,900,300,600,0,372,228,676,0.9166417
8,0,900,300,600,0,344,256,820,0.9158822
9,1,900,301,599,1,319,280,948,0.9162059
10,1,900,300,600,0,294,306,1082,0.9160662
11,2,900,301,599,1,271,328,1238,0.9161633
12,2,900,300,600,0,248,352,1367,0.9157872
13,2,900,300,600,0,227,373,1473,0.9160831
14,4,900,302,598,2,203,395,1594,0.9164477
15,6,900,302,598,2,185,413,1697,0.9160946
16,8,900,302,598,2,169,429,1806,0.9163747
17,12,900,304,596,4,155,441,1934,0.9159278
18,14,900,302,598,2,142,456,2042,0.9161045
19,17,900,303,597,3,133,464,2132,0.9161924
20,22,900,305,595,5,119,476,2235,0.9155522
21,30,900,308,592,8,113,479,2319,0.9162692
22,36,900,306,594,6,110,484,2401,0.9161725
23,39,900,303,597,3,106,491,2468,0.9163797
24,48,900,309,591,9,99,492,2541,0.9157738
25,58,900,310,590,10,94,496,2618,0.9163788
26,64,900,306,594,6,98,496,2697,0.9161153
27,78,900,314,586,14,98,488,2782,0.9161584
28,88,900,310,590,10,103,487,2864,0.9163445
29,104,900,316,584,16,106,478,2953,0.916276
30,109,900,305,595,5,116,479,3021,0.9156454
31,120,900,311,589,11,120,469,3113,0.9168403
32,131,900,311,589,11,129,460,3189,0.9162219
33,138,900,307,593,7,133,460,3284,0.9161862
34,147,900,309,591,9,134,457,3375,0.9159869
35,156,900,309,591,9,139,452,3479,0.9160742
36,161,900,305,595,5,139,456,3593,0.9161108
37,172,900,311,589,11,139,450,3694,0.915942
38,181,900,309,591,9,144,447,3809,0.9158154
39,192,900,311,589,11,148,441,3926,0.9155946
