agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,12,310,678,184,247,557
1,11,12,441,547,203,312,473
2,17,18,404,578,145,318,519
3,11,12,386,602,135,311,542
4,13,14,443,543,188,330,468
5,15,16,387,597,165,294,525
6,11,12,487,501,231,346,411
7,11,12,415,573,189,314,485
8,13,14,342,644,136,271,579
9,13,14,389,597,224,285,477
10,12,13,480,507,210,354,423
11,11,12,464,524,204,315,469
12,13,14,412,574,196,292,498
13,12,13,389,598,180,280,527
14,7,8,603,389,267,392,333
15,13,14,344,642,164,270,552
16,13,14,400,586,246,292,448
17,14,15,382,603,180,287,518
18,13,14,454,532,270,290,426
19,10,11,472,517,212,322,455
20,14,15,390,595,200,294,491
21,12,13,466,521,199,352,436
22,9,10,423,567,227,308,455
23,12,13,409,578,204,298,485
24,12,13,391,596,193,293,501
25,12,13,392,595,191,277,519
26,11,12,469,519,217,314,457
27,10,11,468,521,245,295,449
28,10,11,504,485,252,329,408
29,14,15,427,558,187,323,475
30,13,14,374,612,202,299,485
31,11,12,415,573,194,312,482
32,14,15,345,640,168,282,535
33,13,14,362,624,169,284,533
34,14,15,384,601,192,284,509
35,9,10,495,495,213,340,437
36,11,12,507,481,204,360,424
37,12,13,348,639,178,257,552
38,14,15,334,651,167,243,575
39,14,15,276,709,124,223,638
40,10,11,535,454,230,371,388
41,13,14,365,621,177,277,532
42,14,15,357,628,124,280,581
43,11,12,412,576,191,291,506
44,14,15,334,651,154,251,580
45,11,12,470,518,232,327,429
46,18,19,346,635,163,264,554
47,12,13,392,595,203,279,505
48,13,14,408,578,195,313,478
49,12,13,404,583,183,279,525
50,11,12,382,606,195,273,520
51,12,13,401,586,199,290,498
52,14,15,388,597,184,273,528
53,11,12,387,601,183,295,510
54,13,14,386,600,202,281,503
55,16,17,334,649,180,263,540
56,10,11,504,485,231,337,421
57,12,13,362,625,187,261,539
58,12,13,436,551,208,318,461
59,14,15,409,576,189,302,494
60,10,11,428,561,241,303,445
61,13,14,452,534,201,315,470
62,13,14,444,542,193,323,470
63,12,13,431,556,191,305,491
64,15,16,367,617,160,273,551
65,13,14,392,594,164,295,527
66,10,11,494,495,216,337,436
67,11,12,489,499,256,313,419
