task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,16,58,446,12,16,3,4,0,0,27,11,37,4,5,9,1,16,58,1.370370
1,0,26,380,437,352,30,6,3,4,1.000000,6.000000,43,29,49,15,8,23,26,380,437,1.139535
2,0,189,396,465,486,1,19,3,4,0.000000,2.000000,54,3,64,1,5,6,189,396,465,1.185185
3,0,5,5,60,494,0,0,3,-1,-1.000000,-1.000000,33,0,51,0,4,4,5,5,60,1.545455
4,0,1,57,116,373,38,13,3,4,0.000000,0.000000,30,43,54,9,5,14,1,57,116,1.800000
5,0,1,4,27,274,1,12,3,2,0.000000,0.000000,19,3,19,0,4,4,1,4,27,1.000000
6,0,1,41,108,15,20,3,3,4,0.000000,0.000000,29,25,59,7,8,15,1,41,108,2.034483
7,0,1,11,35,209,9,2,3,3,0.000000,0.000000,15,8,21,2,3,5,1,11,35,1.400000
8,0,1,4,53,492,1,1,3,3,0.000000,0.000000,24,1,48,1,1,2,1,4,53,2.000000
9,0,2,37,115,446,20,15,3,2,0.000000,0.000000,35,21,73,6,5,11,2,37,115,2.085714
10,0,62,173,242,209,83,12,3,2,3.000000,3.000000,40,67,66,25,3,28,62,173,242,1.650000
11,0,34,85,159,478,43,12,3,2,3.000000,3.000000,47,30,69,15,5,20,34,85,159,1.468085
12,0,1,24,97,38,10,13,3,2,0.000000,0.000000,28,14,70,2,3,5,1,24,97,2.500000
13,0,1,13,66,364,10,5,3,4,0.000000,0.000000,29,6,41,6,12,18,1,13,66,1.413793
14,0,1,7,59,425,3,4,3,4,0.000000,0.000000,45,5,47,0,5,5,1,7,59,1.044444
15,0,1,7,21,9,3,3,3,4,0.000000,0.000000,10,3,14,3,0,3,1,7,21,1.400000
16,0,574,-1,-1,7,0,16,3,2,7.000000,7.000000,43,2,0,1,0,1,574,-1,-1,0.000000
17,0,1,15,79,365,11,4,3,3,0.000000,0.000000,27,14,57,0,7,7,1,15,79,2.111111
18,0,1,1,35,237,0,0,3,-1,-1.000000,-1.000000,22,0,30,0,4,4,1,1,35,1.363636
19,0,1,18,65,402,7,1,3,3,0.000000,0.000000,24,11,40,1,7,8,1,18,65,1.666667
20,0,3,41,102,453,4,10,3,4,0.000000,0.000000,46,3,58,3,3,6,3,41,102,1.260870
21,0,1,8,47,250,6,11,3,2,0.000000,0.000000,25,6,37,1,2,3,1,8,47,1.480000
