timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,250,500,0,463,37,0,0.9160835
2,0,750,250,500,0,428,72,49,0.9166118
3,0,750,250,500,0,398,102,120,0.9166097
4,0,750,250,500,0,364,136,182,0.9170701
5,0,750,250,500,0,329,171,250,0.9171309
6,0,750,250,500,0,294,206,335,0.9161043
7,0,750,250,500,0,262,238,419,0.9171421
8,2,750,252,498,2,234,264,525,0.9176633
9,2,750,250,500,0,213,287,638,0.9169746
10,2,750,250,500,0,194,306,737,0.918495
11,2,750,250,500,0,169,331,812,0.9171248
12,2,750,250,500,0,146,354,884,0.9163323
13,2,750,250,500,0,122,378,948,0.9179489
14,4,750,252,498,2,100,398,1021,0.9169722
15,7,750,253,497,3,82,415,1083,0.9171382
16,11,750,254,496,4,73,423,1147,0.9168635
17,14,750,253,497,3,65,432,1222,0.9166547
18,16,750,252,498,2,55,443,1286,0.9169063
19,23,750,257,493,7,49,444,1331,0.9171661
20,31,750,258,492,8,52,440,1385,0.9172417
21,37,750,256,494,6,53,441,1429,0.9173035
22,43,750,256,494,6,54,440,1481,0.9174244
23,50,750,257,493,7,57,436,1525,0.9170972
24,57,750,257,493,7,58,435,1581,0.9163966
25,66,750,259,491,9,61,430,1633,0.9173122
26,78,750,262,488,12,67,421,1707,0.9171194
27,96,750,268,482,18,74,408,1765,0.9172354
28,106,750,260,490,10,88,402,1821,0.9168229
29,115,750,259,491,9,97,394,1892,0.9164026
30,120,750,255,495,5,105,390,1961,0.9165133
31,130,750,260,490,10,105,385,2017,0.916383
32,139,750,259,491,9,111,380,2086,0.9171234
33,149,750,260,490,10,119,371,2156,0.9171476
34,158,750,259,491,9,124,367,2224,0.9162845
35,170,750,262,488,12,130,358,2320,0.9166605
36,177,750,257,493,7,140,353,2424,0.9163614
37,184,750,257,493,7,140,353,2531,0.9172645
38,191,750,257,493,7,142,351,2628,0.9165735
39,198,750,257,493,7,146,347,2724,0.9170405
40,205,750,257,493,7,149,344,2814,0.9169678
41,211,750,256,494,6,151,343,2916,0.9167836
42,221,750,260,490,10,153,337,3017,0.9168364
43,234,750,263,487,13,160,327,3112,0.9164751
44,240,750,256,494,6,170,324,3224,0.916987
45,250,750,260,490,10,170,320,3335,0.9165754
46,257,750,257,493,7,172,321,3435,0.9167498
47,268,750,261,489,11,175,314,3540,0.9170881
48,277,750,259,491,9,184,307,3644,0.9166973
49,281,750,254,496,4,187,309,3766,0.9165084
50,284,750,253,497,3,186,311,3891,0.9172823
51,292,750,258,492,8,185,307,3994,0.9172951
52,301,750,259,491,9,189,302,4106,0.9165174
53,309,750,258,492,8,195,297,4229,0.9172286
54,313,750,254,496,4,200,296,4345,0.9164291
55,323,750,260,490,10,197,293,4457,0.9173398
56,327,750,254,496,4,199,297,4574,0.91664
57,331,750,254,496,4,197,299,4680,0.9164963
58,340,750,259,491,9,196,295,4800,0.9177901
59,350,750,260,490,10,196,294,4906,0.9172171
60,358,750,258,492,8,198,294,5028,0.9164677
61,363,750,255,495,5,197,298,5144,0.9174322
62,369,750,256,494,6,196,298,5254,0.9170549
63,377,750,258,492,8,195,297,5341,0.9165741
64,380,750,253,497,3,196,301,5451,0.9169363
65,387,750,257,493,7,191,302,5539,0.9171274
66,392,750,255,495,5,193,302,5641,0.9170067
67,402,750,260,490,10,193,297,5748,0.9173035
68,411,750,259,491,9,198,293,5838,0.9166945
69,421,750,260,490,10,203,287,5936,0.9170671
70,429,750,258,492,8,207,285,6044,0.9168151
71,433,750,254,496,4,212,284,6156,0.9166057
72,436,750,253,497,3,209,288,6280,0.9167855
73,439,750,253,497,3,208,289,6383,0.9169123
74,442,750,253,497,3,201,296,6491,0.9167018
75,447,750,255,495,5,198,297,6599,0.9166985
76,455,750,258,492,8,199,293,6701,0.917091
77,459,750,254,496,4,200,296,6821,0.9170453
78,465,750,256,494,6,195,299,6934,0.9185262
79,468,750,253,497,3,195,302,7042,0.9173442
80,474,750,256,494,6,193,301,7143,0.9165483
81,478,750,254,496,4,194,302,7253,0.9171657
82,487,750,259,491,9,192,299,7353,0.9166158
83,493,750,256,494,6,195,299,7457,0.9168557
84,497,750,254,496,4,199,297,7551,0.9170242
85,505,750,258,492,8,193,299,7649,0.9164358
86,513,750,258,492,8,195,297,7746,0.9169794
87,519,750,256,494,6,197,297,7855,0.9163963
88,527,750,258,492,8,198,294,7971,0.9163134
89,534,750,257,493,7,202,291,8081,0.9167855
90,543,750,259,491,9,204,287,8197,0.9164172
91,547,750,254,496,4,208,288,8304,0.9170502
92,551,750,254,496,4,204,292,8428,0.9167174
93,552,750,251,499,1,202,297,8539,0.9167739
94,558,750,256,494,6,192,302,8649,0.917552
95,561,750,253,497,3,192,305,8757,0.9168597
96,565,750,254,496,4,188,308,8864,0.9166413
97,568,750,253,497,3,186,311,8963,0.9170688
98,573,750,255,495,5,182,313,9063,0.9171479
99,579,750,256,494,6,181,313,9169,0.9163283
100,583,750,254,496,4,179,317,9266,0.9170376
101,587,750,254,496,4,179,317,9375,0.9173713
102,594,750,257,493,7,178,315,9485,0.9163544
103,601,750,257,493,7,182,311,9582,0.9171631
104,613,750,262,488,12,183,305,9666,0.9170272
105,623,750,260,490,10,188,302,9748,0.9169155
106,631,750,258,492,8,195,297,9844,0.9165422
107,636,750,255,495,5,198,297,9937,0.9166807
108,641,750,255,495,5,196,299,10028,0.9173198
109,645,750,254,496,4,193,303,10135,0.9167186
110,649,750,254,496,4,193,303,10229,0.9167617
111,653,750,254,496,4,193,303,10317,0.9166783
112,659,750,256,494,6,194,300,10403,0.9168437
113,665,750,256,494,6,192,302,10489,0.9174706
114,670,750,255,495,5,194,301,10595,0.9167305
115,677,750,257,493,7,192,301,10704,0.9168798
116,685,750,258,492,8,188,304,10775,0.9176735
117,693,750,258,492,8,191,301,10863,0.9165282
118,698,750,255,495,5,188,307,10949,0.9170139
119,700,750,252,498,2,189,309,11041,0.917081
120,712,750,262,488,12,186,302,11134,0.9173561
121,720,750,258,492,8,193,299,11222,0.9165851
122,721,750,251,499,1,193,306,11324,0.9172125
123,728,750,257,493,7,192,301,11413,0.9167542
124,733,750,255,495,5,192,303,11516,0.9168564
125,739,750,256,494,6,191,303,11605,0.9175002
126,746,750,257,493,7,189,304,11693,0.916864
127,754,750,258,492,8,193,299,11786,0.9171441
128,761,750,257,493,7,190,303,11876,0.9168988
129,763,750,252,498,2,186,312,11966,0.9170842
130,769,750,256,494,6,180,314,12061,0.9169373
131,778,750,259,491,9,180,311,12163,0.9173027
132,784,750,256,494,6,184,310,12242,0.9169922
133,789,750,255,495,5,179,316,12332,0.9168997
134,794,750,255,495,5,181,314,12413,0.9168683
