timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,250,500,0,463,37,0,0.9169943
2,0,750,250,500,0,428,72,42,0.9162403
3,0,750,250,500,0,399,101,105,0.9161216
4,0,750,250,500,0,364,136,189,0.9169269
5,0,750,250,500,0,333,167,285,0.9170926
6,0,750,250,500,0,301,199,393,0.9169335
7,0,750,250,500,0,272,228,485,0.9166017
8,0,750,250,500,0,244,256,570,0.9169214
9,0,750,250,500,0,225,275,680,0.9174056
10,1,750,251,499,1,203,296,782,0.9173086
11,1,750,250,500,0,182,318,873,0.9176962
12,1,750,250,500,0,159,341,945,0.917028
13,1,750,250,500,0,140,360,1041,0.9173661
14,2,750,251,499,1,124,375,1151,0.9169146
15,4,750,252,498,2,109,389,1241,0.9170623
16,7,750,253,497,3,97,400,1324,0.917075
17,9,750,252,498,2,84,414,1406,0.9169942
18,14,750,255,495,5,73,422,1464,0.9173172
19,17,750,253,497,3,68,429,1520,0.9173892
20,22,750,255,495,5,61,434,1600,0.9170941
21,23,750,251,499,1,60,439,1663,0.917007
22,27,750,254,496,4,56,440,1721,0.917104
23,33,750,256,494,6,54,440,1786,0.9179702
24,42,750,259,491,9,55,436,1838,0.9173574
25,48,750,256,494,6,59,435,1884,0.9170388
26,52,750,254,496,4,61,435,1944,0.9170068
27,58,750,256,494,6,62,432,2002,0.9170982
28,63,750,255,495,5,64,431,2078,0.9170488
29,71,750,258,492,8,68,424,2138,0.9172088
30,74,750,253,497,3,72,425,2205,0.9177525
31,80,750,256,494,6,71,423,2272,0.917185
32,88,750,258,492,8,71,421,2345,0.9171927
33,93,750,255,495,5,77,418,2412,0.9166483
34,100,750,257,493,7,80,413,2477,0.9164491
35,105,750,255,495,5,83,412,2553,0.91786
36,115,750,260,490,10,85,405,2635,0.9167189
37,124,750,259,491,9,92,399,2705,0.9169848
38,134,750,260,490,10,98,392,2771,0.9171391
39,143,750,259,491,9,104,387,2847,0.9179866
40,152,750,259,491,9,112,379,2926,0.917566
41,161,750,259,491,9,117,374,3007,0.9172561
42,166,750,255,495,5,124,371,3063,0.9174031
43,170,750,254,496,4,127,369,3139,0.9175154
44,176,750,256,494,6,126,368,3213,0.917004
45,185,750,259,491,9,126,365,3277,0.9170565
46,192,750,257,493,7,129,364,3367,0.9169932
47,202,750,260,490,10,130,360,3447,0.9170868
48,211,750,259,491,9,134,357,3524,0.9170862
49,218,750,257,493,7,142,351,3602,0.9170499
50,223,750,255,495,5,146,349,3702,0.9169992
51,231,750,258,492,8,147,345,3799,0.9169867
52,237,750,256,494,6,150,344,3890,0.9183121
53,243,750,256,494,6,152,342,3977,0.9170843
54,250,750,257,493,7,154,339,4051,0.9170324
55,259,750,259,491,9,158,333,4146,0.9183091
56,266,750,257,493,7,164,329,4233,0.9165924
57,276,750,260,490,10,166,324,4320,0.9169254
58,286,750,260,490,10,168,322,4415,0.9170422
59,292,750,256,494,6,172,322,4487,0.9172312
60,299,750,257,493,7,170,323,4568,0.9171736
61,306,750,257,493,7,170,323,4677,0.9165812
62,312,750,256,494,6,171,323,4751,0.9172314
63,317,750,255,495,5,172,323,4839,0.9172935
64,319,750,252,498,2,172,326,4941,0.9171173
65,325,750,256,494,6,171,323,5033,0.9179245
66,330,750,255,495,5,171,324,5138,0.917017
67,339,750,259,491,9,171,320,5222,0.9170589
68,345,750,256,494,6,177,317,5322,0.917146
69,349,750,254,496,4,180,316,5427,0.9170689
70,353,750,254,496,4,178,318,5528,0.9170618
71,362,750,259,491,9,174,317,5625,0.9170256
72,370,750,258,492,8,176,316,5730,0.9163978
73,377,750,257,493,7,179,314,5823,0.9163542
74,386,750,259,491,9,178,313,5915,0.9163889
75,391,750,255,495,5,179,316,6016,0.9170635
76,401,750,260,490,10,180,310,6126,0.9170919
77,412,750,261,489,11,185,304,6223,0.9171718
78,420,750,258,492,8,193,299,6324,0.9172199
79,427,750,257,493,7,196,297,6426,0.9170865
80,433,750,256,494,6,198,296,6545,0.917661
81,436,750,253,497,3,197,300,6656,0.9173427
82,443,750,257,493,7,195,298,6765,0.9172341
83,449,750,256,494,6,197,297,6883,0.9170822
84,453,750,254,496,4,195,301,6987,0.9170362
85,459,750,256,494,6,193,301,7092,0.9163936
86,466,750,257,493,7,197,296,7202,0.9172271
87,476,750,260,490,10,193,297,7316,0.9171884
88,484,750,258,492,8,195,297,7406,0.9172278
89,490,750,256,494,6,198,296,7498,0.9179098
90,497,750,257,493,7,195,298,7595,0.9169663
91,503,750,256,494,6,198,296,7687,0.917129
92,507,750,254,496,4,196,300,7780,0.916663
93,517,750,260,490,10,195,295,7874,0.9172102
