agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,4,128,118,58,89,99
1,4,5,82,163,55,53,137
2,5,6,123,121,32,103,109
3,4,5,120,125,75,68,102
4,4,5,105,140,41,90,114
5,5,6,97,147,46,79,119
6,2,3,152,95,50,117,80
7,4,5,123,122,68,85,92
8,5,6,132,112,38,103,103
9,4,5,114,131,48,77,120
10,4,5,120,125,48,97,100
11,3,4,81,165,53,58,135
12,6,7,79,164,31,66,146
13,2,3,149,98,71,101,75
14,4,5,125,120,64,91,90
15,3,4,84,162,53,67,126
16,2,3,147,100,82,91,74
17,5,6,65,179,45,55,144
18,4,5,112,133,37,91,117
19,4,5,145,100,47,112,86
20,3,4,190,56,75,121,50
21,4,5,116,129,61,79,105
22,3,4,106,140,61,72,113
23,4,5,121,124,33,99,113
24,3,4,111,135,55,80,111
25,2,3,121,126,58,82,107
26,3,4,101,145,39,75,132
27,4,5,77,168,53,61,131
28,4,5,83,162,45,69,131
29,3,4,117,129,62,88,96
30,4,5,85,160,56,61,128
31,3,4,115,131,42,92,112
32,4,5,58,187,51,48,146
33,6,7,114,129,27,99,117
34,4,5,143,102,63,109,73
35,3,3,154,93,75,94,78
36,3,4,101,145,59,84,103
37,5,6,82,162,30,65,149
38,2,3,129,118,56,98,93
39,3,4,89,157,49,73,124
40,3,4,178,68,71,109,66
41,6,6,95,149,60,63,121
42,2,3,155,92,80,103,64
43,4,5,118,127,62,86,97
44,2,3,116,131,78,71,98
45,4,5,62,183,28,50,167
46,3,4,143,103,36,119,91
47,3,4,104,142,59,78,109
48,3,4,141,105,50,102,94
49,3,4,102,144,46,81,119
50,2,3,101,146,48,69,130
51,3,4,129,117,47,89,110
52,4,5,77,168,46,67,132
53,3,4,78,168,55,68,123
54,4,5,140,105,48,112,85
55,4,5,74,171,28,60,157
56,3,4,91,155,39,77,130
57,2,3,157,90,84,96,67
58,3,4,87,159,44,62,140
59,5,6,107,137,35,98,111
60,4,5,69,176,57,49,139
61,3,4,79,167,56,66,124
62,4,5,54,191,45,46,154
63,4,4,73,173,20,60,166
64,3,4,112,134,43,94,109
65,2,3,124,123,76,79,92
66,5,6,92,152,35,80,129
67,3,4,96,150,54,76,116
68,3,4,75,171,51,55,140
69,3,4,136,110,52,104,90
70,4,5,69,176,24,65,156
71,4,5,64,181,50,51,144
72,2,3,138,109,50,99,98
73,4,5,117,128,38,83,124
74,4,5,78,167,39,65,141
75,3,4,85,161,59,57,130
76,3,4,83,163,38,71,137
77,3,4,101,145,52,84,110
78,4,5,107,138,45,80,120
79,3,4,63,183,26,55,165
80,3,4,94,152,21,76,149
81,6,7,86,157,38,61,144
82,4,5,52,193,14,49,182
83,4,5,144,101,55,98,92
84,3,4,83,163,62,61,123
85,3,4,112,134,56,79,111
86,3,4,127,119,57,87,102
87,3,4,78,168,50,67,129
88,4,5,82,163,35,67,143
89,4,5,129,116,51,102,92
90,4,5,91,154,41,74,130
91,5,6,81,163,26,68,150
92,4,5,77,168,37,51,157
93,3,4,49,197,25,42,179
94,4,5,110,135,31,95,119
95,3,4,97,149,55,67,124
96,3,4,70,176,23,62,161
97,4,5,93,152,69,61,115
98,4,5,82,163,32,68,145
99,3,4,74,172,45,54,147
100,4,5,114,131,29,97,119
101,3,4,81,165,38,67,141
102,4,5,108,137,43,79,123
103,3,4,79,167,32,75,139
104,3,4,149,97,40,113,93
105,2,3,84,163,44,64,139
106,4,5,71,174,45,62,138
107,5,6,113,131,46,83,115
108,4,5,92,153,36,77,132
109,4,5,119,126,46,86,113
110,4,5,93,152,65,62,118
111,2,3,136,111,60,95,92
112,3,4,110,136,55,75,116
113,3,4,118,128,75,73,98
114,3,4,126,120,54,96,96
115,3,4,106,140,67,77,102
116,3,4,75,171,32,62,152
117,3,4,96,150,21,88,137
118,3,4,110,136,51,80,115
119,3,4,69,177,44,53,149
120,3,4,119,127,52,80,114
121,2,3,71,176,31,53,163
122,4,5,75,170,61,57,127
123,3,4,154,92,74,96,76
124,3,4,84,162,44,67,135
125,3,4,120,126,50,87,109
126,3,4,104,142,49,76,121
127,4,5,126,119,34,102,109
128,4,5,127,118,57,84,104
129,3,4,103,143,54,73,119
130,4,5,70,175,48,51,146
131,5,6,81,163,25,66,153
132,3,4,102,144,60,75,111
133,3,4,108,138,40,93,113
134,4,5,51,194,36,48,161
135,3,4,73,173,33,58,155
136,3,3,119,128,53,90,104
137,3,4,90,156,43,66,137
138,3,4,111,135,55,86,105
139,2,3,157,90,77,86,84
140,5,6,87,157,31,75,138
141,2,3,149,98,68,94,85
142,3,4,110,136,76,76,94
143,3,4,128,118,57,81,108
144,3,4,114,132,31,98,117
145,3,4,70,176,24,59,163
146,2,3,129,118,57,93,97
147,3,4,63,183,43,55,148
148,3,4,96,150,49,73,124
149,2,3,139,108,60,97,90
150,3,4,64,182,31,57,158
151,4,5,78,167,30,62,153
152,3,4,109,137,60,76,110
153,3,4,63,183,39,55,152
154,4,5,72,173,30,54,161
155,3,4,95,151,71,66,109
156,3,4,84,162,24,76,146
157,2,3,122,125,86,74,87
158,2,3,140,107,66,88,93
159,3,4,56,190,46,50,150
160,3,4,84,162,36,68,142
161,2,3,80,167,51,66,130
162,2,3,84,163,48,64,135
163,3,4,128,118,62,82,102
164,3,4,116,130,39,88,119
165,5,6,58,186,27,53,164
166,3,4,70,176,52,54,140
167,4,5,50,195,43,40,162
168,4,5,75,170,54,66,125
169,2,3,101,146,60,72,115
170,5,6,59,185,16,54,174
171,3,4,56,190,38,49,159
172,4,5,53,192,33,47,165
173,4,5,65,180,24,59,162
174,2,3,131,116,38,102,107
175,2,3,84,163,52,61,134
176,3,4,88,158,37,78,131
177,4,5,77,168,40,64,141
178,2,3,98,149,44,74,129
179,3,4,85,161,40,62,144
180,3,4,83,163,27,72,147
181,3,4,99,147,59,75,112
182,2,3,98,149,57,66,124
183,3,4,103,143,61,78,107
184,3,4,89,157,38,68,140
185,3,4,85,161,40,71,135
186,2,3,105,142,40,86,121
187,3,4,99,147,30,74,142
188,3,4,99,147,44,77,125
189,2,3,127,120,64,94,89
190,2,3,127,120,58,98,91
191,1,2,119,129,50,89,109
192,4,5,92,153,28,80,137
193,4,5,84,161,45,57,143
194,3,4,103,143,46,78,122
195,3,4,67,179,47,57,142
196,2,3,90,157,56,68,123
197,3,4,41,205,13,33,200
198,3,4,117,129,47,87,112
199,4,5,67,178,25,53,167
200,4,5,55,190,19,48,178
201,3,4,83,163,41,64,141
202,3,4,101,145,34,82,130
203,5,6,75,169,19,68,157
204,3,4,70,176,24,58,164
205,3,4,67,179,28,52,166
206,3,4,93,153,46,65,135
207,4,5,79,166,35,67,143
208,2,3,125,122,48,87,112
209,3,4,100,146,51,68,127
210,4,5,100,145,33,85,127
211,4,5,86,159,34,66,145
212,3,4,123,123,61,78,107
213,4,5,79,166,26,71,148
214,2,3,164,83,92,89,66
215,2,3,158,89,59,117,71
216,4,5,104,141,65,75,105
217,3,4,86,160,34,71,141
218,2,3,91,156,36,69,142
219,4,5,47,198,56,44,145
220,3,4,119,127,53,83,110
221,4,5,81,164,45,62,138
222,3,4,116,130,37,89,120
223,4,5,77,168,48,60,137
224,2,3,103,144,62,67,118
225,3,4,122,124,61,87,98
226,3,4,79,167,40,63,143
227,3,4,90,156,43,70,133
228,2,3,114,133,84,74,89
229,3,4,84,162,65,62,119
230,4,5,58,187,27,48,170
231,4,5,81,164,36,67,142
232,2,3,96,151,44,79,124
233,4,5,88,157,34,75,136
234,2,3,133,114,55,94,98
235,4,5,65,180,40,53,152
236,4,5,77,168,39,64,142
237,3,4,92,154,55,72,119
238,3,4,94,152,66,63,117
239,4,5,94,151,39,72,134
240,2,3,71,176,47,53,147
241,4,5,56,189,57,46,142
242,2,3,98,149,69,61,117
243,2,3,134,113,64,77,106
244,2,3,123,124,46,84,117
245,3,4,73,173,35,51,160
246,4,5,99,146,34,76,135
247,3,4,56,190,26,53,167
248,2,3,90,157,87,44,116
249,2,3,193,54,86,112,49
250,3,3,53,194,23,48,176
251,3,4,63,183,48,45,153
252,3,4,71,175,38,52,156
253,4,5,63,182,18,58,169
254,5,6,68,176,29,60,155
255,2,3,157,90,85,85,77
256,2,3,160,87,70,100,77
257,3,4,65,181,51,40,155
258,2,3,112,135,69,69,109
259,1,2,218,30,88,131,29
260,3,4,73,173,28,62,156
261,5,6,78,166,36,61,147
262,3,4,114,132,39,79,128
263,3,4,102,144,45,84,117
264,3,4,82,164,59,66,121
265,4,5,54,191,41,46,158
266,4,5,78,167,38,68,139
267,3,4,80,166,48,58,140
268,3,4,61,185,32,46,168
269,3,4,76,170,37,60,149
270,2,3,159,88,80,101,66
271,5,6,76,168,23,62,159
272,3,4,66,180,39,51,156
273,4,5,84,161,30,77,138
274,3,4,50,196,10,45,191
275,2,3,116,131,53,91,103
276,5,6,81,163,35,59,150
277,3,4,96,150,38,65,143
278,5,6,76,168,22,68,154
279,4,5,75,170,18,67,160
280,2,3,154,93,55,118,74
281,2,3,102,145,68,65,114
282,2,3,106,141,51,78,118
283,3,4,88,158,36,70,140
284,3,4,60,186,35,53,158
285,4,5,83,162,35,66,144
286,5,6,62,182,20,50,174
287,4,5,101,144,46,74,125
288,2,3,69,178,34,54,159
289,2,3,121,126,47,91,109
290,4,5,84,161,58,57,130
291,3,4,65,181,27,57,162
292,3,4,78,168,49,56,141
293,3,4,88,158,56,56,134
294,3,4,74,172,24,60,162
295,4,5,68,177,25,57,163
296,4,5,64,181,23,59,163
297,2,3,102,145,55,67,125
298,4,5,113,132,29,95,121
299,2,3,147,100,56,95,96
300,2,3,140,107,58,87,102
301,3,4,74,172,28,57,161
302,3,4,80,166,39,60,147
303,4,5,55,190,19,50,176
304,4,5,80,165,36,64,145
305,3,4,94,152,57,60,129
306,4,5,103,142,32,81,132
307,4,5,86,159,46,69,130
308,4,5,108,137,37,84,124
309,3,4,132,114,65,91,90
310,2,3,149,98,68,92,87
311,3,4,116,130,55,93,98
312,3,4,107,139,46,78,122
313,2,3,105,142,34,89,124
314,3,4,69,177,47,49,150
315,3,4,102,144,44,70,132
