timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,250,500,0,463,37,0,0.9163712
2,0,750,250,500,0,428,72,45,0.916553
3,0,750,250,500,0,397,103,104,0.9163294
4,0,750,250,500,0,361,139,165,0.9173923
5,0,750,250,500,0,332,168,233,0.9167603
6,0,750,250,500,0,303,197,311,0.9160478
7,0,750,250,500,0,273,227,390,0.9164035
8,2,750,252,498,2,244,254,500,0.9169828
9,2,750,250,500,0,219,281,581,0.9170729
10,2,750,250,500,0,199,301,678,0.9169914
11,2,750,250,500,0,176,324,777,0.9163738
12,2,750,250,500,0,153,347,871,0.9163525
13,4,750,252,498,2,135,363,945,0.9171536
14,4,750,250,500,0,115,385,1009,0.9163711
15,9,750,255,495,5,100,395,1083,0.9168716
16,16,750,257,493,7,90,403,1146,0.9162716
17,21,750,255,495,5,82,413,1209,0.917067
18,25,750,254,496,4,75,421,1267,0.9186421
19,35,750,260,490,10,67,423,1334,0.9180373
20,39,750,254,496,4,69,427,1396,0.9170247
21,45,750,256,494,6,65,429,1458,0.9168251
22,46,750,251,499,1,65,434,1511,0.9171767
23,55,750,259,491,9,60,431,1571,0.9166297
24,67,750,262,488,12,64,424,1637,0.9166204
25,76,750,259,491,9,70,421,1679,0.9171075
26,81,750,255,495,5,73,422,1758,0.9168721
27,90,750,259,491,9,78,413,1834,0.9169191
28,102,750,262,488,12,80,408,1875,0.9165527
29,114,750,262,488,12,84,404,1936,0.9173073
30,125,750,261,489,11,95,394,2003,0.9172094
31,131,750,256,494,6,100,394,2069,0.9169785
32,144,750,263,487,13,103,384,2149,0.9166715
33,149,750,255,495,5,111,384,2222,0.9166141
34,155,750,256,494,6,110,384,2301,0.9163444
35,160,750,255,495,5,111,384,2379,0.9167009
36,173,750,263,487,13,114,373,2462,0.9172387
37,191,750,268,482,18,122,360,2532,0.9170651
38,200,750,259,491,9,132,359,2609,0.9171776
39,210,750,260,490,10,137,353,2710,0.9162974
40,217,750,257,493,7,144,349,2786,0.9161673
41,227,750,260,490,10,145,345,2869,0.9166875
42,236,750,259,491,9,152,339,2949,0.916587
43,242,750,256,494,6,158,336,3036,0.916612
44,252,750,260,490,10,160,330,3126,0.9170441
45,258,750,256,494,6,166,328,3212,0.9172566
46,266,750,258,492,8,170,322,3323,0.9163544
47,270,750,254,496,4,172,324,3442,0.9173734
48,275,750,255,495,5,173,322,3538,0.9164314
49,283,750,258,492,8,168,324,3639,0.9167104
50,288,750,255,495,5,169,326,3724,0.9168377
51,294,750,256,494,6,169,325,3825,0.9163467
52,304,750,260,490,10,170,320,3935,0.9170612
53,313,750,259,491,9,172,319,4044,0.9166
54,316,750,253,497,3,177,320,4153,0.9164558
55,321,750,255,495,5,176,319,4267,0.9180998
56,329,750,258,492,8,175,317,4361,0.9172578
57,336,750,257,493,7,177,316,4472,0.9168892
58,341,750,255,495,5,178,317,4585,0.9164077
59,349,750,258,492,8,176,316,4699,0.9166502
60,354,750,255,495,5,182,313,4813,0.9166863
61,364,750,260,490,10,183,307,4908,0.9168473
62,368,750,254,496,4,190,306,5013,0.916884
63,375,750,257,493,7,185,308,5129,0.9166196
64,383,750,258,492,8,186,306,5234,0.9189957
65,388,750,255,495,5,189,306,5352,0.9169662
66,397,750,259,491,9,191,300,5466,0.9167704
67,400,750,253,497,3,194,303,5582,0.9168972
68,403,750,253,497,3,190,307,5695,0.9170568
69,409,750,256,494,6,189,305,5802,0.9170745
70,417,750,258,492,8,191,301,5908,0.9168172
71,423,750,256,494,6,190,304,6016,0.9164148
72,427,750,254,496,4,193,303,6140,0.9171615
73,437,750,260,490,10,193,297,6250,0.917139
74,445,750,258,492,8,199,293,6354,0.917003
75,451,750,256,494,6,203,291,6468,0.9175033
76,456,750,255,495,5,205,290,6591,0.9175066
77,464,750,258,492,8,202,290,6701,0.9169073
78,477,750,263,487,13,203,284,6807,0.9170147
79,481,750,254,496,4,214,282,6919,0.9170247
80,485,750,254,496,4,212,284,7045,0.9170381
81,489,750,254,496,4,212,284,7177,0.9166017
82,498,750,259,491,9,208,283,7289,0.917128
83,499,750,251,499,1,208,291,7396,0.9169581
84,506,750,257,493,7,204,289,7509,0.9177986
85,517,750,261,489,11,206,283,7609,0.9170671
86,519,750,252,498,2,213,285,7701,0.9172995
87,521,750,252,498,2,210,288,7812,0.9164893
88,524,750,253,497,3,206,291,7923,0.9172112
89,531,750,257,493,7,201,292,8034,0.916971
90,544,750,263,487,13,198,289,8139,0.9163715
91,553,750,259,491,9,204,287,8249,0.9165563
92,557,750,254,496,4,207,289,8351,0.9174443
93,558,750,251,499,1,203,296,8472,0.9168945
94,562,750,254,496,4,195,301,8600,0.9171338
95,565,750,253,497,3,194,303,8717,0.9163488
96,574,750,259,491,9,190,301,8831,0.9173485
97,578,750,254,496,4,191,305,8964,0.9165177
98,583,750,255,495,5,188,307,9059,0.9168889
99,587,750,254,496,4,188,308,9173,0.9169818
100,597,750,260,490,10,188,302,9287,0.9167363
101,601,750,254,496,4,193,303,9391,0.9169552
102,607,750,256,494,6,190,304,9500,0.9173331
103,615,750,258,492,8,192,300,9624,0.9176433
104,618,750,253,497,3,199,298,9726,0.9165164
105,626,750,258,492,8,194,298,9829,0.9172921
106,629,750,253,497,3,201,296,9948,0.9171796
107,635,750,256,494,6,199,295,10048,0.9165695
108,640,750,255,495,5,198,297,10139,0.9172548
109,644,750,254,496,4,202,294,10233,0.9163802
110,653,750,259,491,9,204,287,10328,0.9168424
111,661,750,258,492,8,210,282,10422,0.9172666
112,664,750,253,497,3,215,282,10503,0.9164287
113,665,750,251,499,1,209,290,10606,0.9167312
114,672,750,257,493,7,199,294,10693,0.9173609
115,679,750,257,493,7,197,296,10782,0.916561
116,681,750,252,498,2,196,302,10863,0.9166734
117,686,750,255,495,5,187,308,10943,0.9169533
118,691,750,255,495,5,182,313,11034,0.916457
119,698,750,257,493,7,184,309,11135,0.9166703
120,707,750,259,491,9,189,302,11240,0.917173
121,718,750,261,489,11,189,300,11350,0.9169799
122,727,750,259,491,9,193,298,11439,0.9163906
123,733,750,256,494,6,197,297,11549,0.9163681
124,735,750,252,498,2,197,301,11647,0.916419
125,741,750,256,494,6,196,298,11746,0.9165179
126,747,750,256,494,6,197,297,11838,0.916998
127,755,750,258,492,8,198,294,11934,0.9165413
128,759,750,254,496,4,201,295,12039,0.9169807
129,762,750,253,497,3,200,297,12129,0.917161
130,766,750,254,496,4,194,302,12219,0.9164617
131,770,750,254,496,4,191,305,12315,0.9169032
132,779,750,259,491,9,190,301,12400,0.9165413
133,785,750,256,494,6,196,298,12487,0.9164877
134,795,750,260,490,10,199,291,12569,0.9164654
135,801,750,256,494,6,200,294,12674,0.9168769
136,809,750,258,492,8,202,290,12761,0.9166978
137,815,750,256,494,6,203,291,12842,0.9170427
138,822,750,257,493,7,204,289,12906,0.9168071
139,826,750,254,496,4,204,292,12993,0.9171984
140,831,750,255,495,5,205,290,13080,0.9163792
141,843,750,262,488,12,205,283,13172,0.9171805
142,852,750,259,491,9,213,278,13239,0.916976
143,858,750,256,494,6,217,277,13314,0.9184994
144,862,750,254,496,4,218,278,13387,0.9165126
145,868,750,256,494,6,216,278,13476,0.9167435
146,872,750,254,496,4,217,279,13553,0.9163643
147,877,750,255,495,5,217,278,13635,0.9169547
148,885,750,258,492,8,213,279,13717,0.9174746
149,894,750,259,491,9,213,278,13790,0.9176783
150,900,750,256,494,6,217,277,13872,0.9166168
151,907,750,257,493,7,216,277,13956,0.9166696
152,913,750,256,494,6,209,285,14037,0.9167788
153,925,750,262,488,12,209,279,14115,0.9173874
154,931,750,256,494,6,213,281,14210,0.9164779
155,935,750,254,496,4,209,287,14302,0.9175168
156,940,750,255,495,5,204,291,14380,0.9170989
157,949,750,259,491,9,199,292,14460,0.9163165
158,953,750,254,496,4,203,293,14537,0.9171578
159,960,750,257,493,7,200,293,14618,0.9170508
160,965,750,255,495,5,199,296,14716,0.9173391
161,973,750,258,492,8,198,294,14804,0.9162553
162,981,750,258,492,8,196,296,14891,0.9172225
163,985,750,254,496,4,196,300,14981,0.9171529
164,993,750,258,492,8,197,295,15056,0.9171278
165,998,750,255,495,5,200,295,15136,0.9169052
166,1005,750,257,493,7,199,294,15220,0.9163465
167,1010,750,255,495,5,199,296,15299,0.9165236
168,1016,750,256,494,6,201,293,15389,0.9174133
169,1028,750,262,488,12,202,286,15460,0.9164378
170,1034,750,256,494,6,205,289,15537,0.9167847
171,1041,750,257,493,7,203,290,15625,0.9165687
172,1046,750,255,495,5,203,292,15725,0.9166722
173,1054,750,258,492,8,199,293,15800,0.9173057
174,1060,750,256,494,6,192,302,15886,0.9175624
175,1063,750,253,497,3,190,307,15970,0.9167453
176,1066,750,253,497,3,184,313,16052,0.9165921
177,1073,750,257,493,7,178,315,16148,0.9173264
178,1078,750,255,495,5,179,316,16255,0.9164527
179,1087,750,259,491,9,181,310,16342,0.9170721
180,1096,750,259,491,9,185,306,16407,0.9170356
181,1104,750,258,492,8,188,304,16477,0.9165865
182,1110,750,256,494,6,192,302,16562,0.9173162
183,1119,750,259,491,9,191,300,16637,0.9175762
184,1123,750,254,496,4,191,305,16714,0.9171403
185,1132,750,259,491,9,185,306,16794,0.9172778
186,1137,750,255,495,5,190,305,16868,0.9165175
187,1141,750,254,496,4,187,309,16941,0.9181299
188,1151,750,260,490,10,189,301,17011,0.9169714
189,1161,750,260,490,10,196,294,17081,0.9163922
190,1164,750,253,497,3,196,301,17158,0.9163911
191,1169,750,255,495,5,193,302,17250,0.9163137
192,1181,750,262,488,12,191,297,17345,0.9172139
193,1190,750,259,491,9,196,295,17442,0.9165542
194,1194,750,254,496,4,202,294,17534,0.9165502
195,1200,750,256,494,6,200,294,17630,0.9173016
196,1203,750,253,497,3,200,297,17715,0.9171358
197,1208,750,255,495,5,196,299,17796,0.9171574
198,1216,750,258,492,8,196,296,17877,0.9165394
199,1222,750,256,494,6,196,298,17956,0.9165035
200,1228,750,256,494,6,198,296,18037,0.9165681
201,1237,750,259,491,9,197,294,18121,0.9170864
202,1241,750,254,496,4,199,297,18205,0.9168283
203,1245,750,254,496,4,202,294,18297,0.9168087
204,1252,750,257,493,7,200,293,18381,0.916903
205,1259,750,257,493,7,201,292,18466,0.9172056
206,1267,750,258,492,8,206,286,18561,0.9184517
207,1272,750,255,495,5,208,287,18642,0.9170897
208,1279,750,257,493,7,210,283,18727,0.9171526
209,1281,750,252,498,2,212,286,18825,0.9170348
210,1289,750,258,492,8,207,285,18916,0.9169965
211,1299,750,260,490,10,209,281,18995,0.9173498
212,1305,750,256,494,6,212,282,19088,0.9174065
213,1311,750,256,494,6,211,283,19179,0.9169396
214,1313,750,252,498,2,206,292,19271,0.9168477
215,1317,750,254,496,4,200,296,19368,0.9165427
216,1324,750,257,493,7,201,292,19452,0.9173044
217,1334,750,260,490,10,207,283,19529,0.9171286
218,1335,750,251,499,1,210,289,19620,0.916994
219,1339,750,254,496,4,205,291,19711,0.9169194
220,1344,750,255,495,5,199,296,19806,0.9177512
221,1350,750,256,494,6,197,297,19891,0.9164344
222,1358,750,258,492,8,197,295,19980,0.916782
223,1363,750,255,495,5,193,302,20069,0.9163992
224,1371,750,258,492,8,191,301,20164,0.9164753
225,1379,750,258,492,8,192,300,20251,0.916745
226,1383,750,254,496,4,197,299,20341,0.9170572
227,1389,750,256,494,6,196,298,20424,0.9169809
228,1397,750,258,492,8,199,293,20528,0.9168483
229,1404,750,257,493,7,198,295,20606,0.9167589
230,1407,750,253,497,3,201,296,20701,0.9170222
231,1411,750,254,496,4,198,298,20779,0.9170935
232,1419,750,258,492,8,194,298,20869,0.9163475
233,1427,750,258,492,8,195,297,20949,0.9169282
234,1439,750,262,488,12,198,290,21043,0.9171341
235,1447,750,258,492,8,207,285,21123,0.9168613
236,1450,750,253,497,3,208,289,21219,0.9163114
237,1453,750,253,497,3,205,292,21308,0.9170543
238,1460,750,257,493,7,204,289,21386,0.917133
239,1465,750,255,495,5,204,291,21455,0.9164313
240,1470,750,255,495,5,205,290,21535,0.9171439
241,1478,750,258,492,8,202,290,21614,0.9170829
242,1485,750,257,493,7,203,290,21689,0.9167326
243,1488,750,253,497,3,201,296,21765,0.9174514
244,1498,750,260,490,10,196,294,21868,0.9165883
245,1506,750,258,492,8,201,291,21954,0.917383
246,1518,750,262,488,12,200,288,22034,0.9173434
247,1526,750,258,492,8,205,287,22112,0.9169036
248,1535,750,259,491,9,207,284,22199,0.9171175
249,1540,750,255,495,5,206,289,22293,0.9170446
250,1546,750,256,494,6,204,290,22390,0.9166644
