task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,9,44,397,3,1,3,3,0,0,27,5,29,3,6,9,1,9,44,1.074074
1,0,1,29,90,393,4,2,3,4,0.000000,0.000000,43,13,51,2,10,12,1,29,90,1.186047
2,0,4,-1,-1,450,0,4,3,4,1.000000,1.000000,54,4,0,1,0,1,4,-1,-1,0.000000
3,0,1,95,187,544,47,6,3,4,0.000000,0.000000,33,54,69,23,23,46,1,95,187,2.090909
4,0,1,17,76,459,2,9,3,2,0.000000,0.000000,30,15,52,1,7,8,1,17,76,1.733333
5,0,1,95,124,139,48,12,3,2,0.000000,0.000000,19,65,27,29,2,31,1,95,124,1.421053
6,0,1,1,53,466,0,0,3,-1,-1.000000,-1.000000,29,0,45,0,7,7,1,1,53,1.551724
7,0,1,2,26,162,0,1,3,3,0.000000,0.000000,15,1,21,0,3,3,1,2,26,1.400000
8,0,4,83,155,499,24,14,3,4,0.000000,4.000000,24,52,54,18,18,36,4,83,155,2.250000
9,0,1,145,225,144,75,7,3,4,0.000000,0.000000,35,102,69,42,11,53,1,145,225,1.971429
10,0,4,6,83,556,1,6,3,4,0.000000,5.000000,40,2,64,0,13,13,4,6,83,1.600000
11,0,1,1,64,364,0,0,3,-1,-1.000000,-1.000000,47,0,61,0,2,2,1,1,64,1.297872
12,0,1,20,113,234,12,6,3,4,0.000000,0.000000,28,15,86,4,7,11,1,20,113,3.071429
13,0,1,16,92,193,12,2,3,3,0.000000,0.000000,29,10,57,5,19,24,1,16,92,1.965517
14,0,1,12,70,221,2,3,3,4,0.000000,0.000000,45,9,53,2,5,7,1,12,70,1.177778
15,0,1,13,34,401,2,13,3,4,0.000000,0.000000,10,11,18,1,3,4,1,13,34,1.800000
16,0,4,24,128,493,0,4,3,4,0.000000,0.000000,43,10,83,0,21,21,4,24,128,1.930233
17,0,1,20,103,194,9,10,3,4,0.000000,0.000000,27,14,71,5,12,17,1,20,103,2.629630
18,0,1,18,75,536,4,5,3,4,0.000000,0.000000,22,15,48,2,9,11,1,18,75,2.181818
19,0,1,16,79,344,7,16,3,2,0.000000,0.000000,24,8,42,7,21,28,1,16,79,1.750000
20,0,1,4,80,355,0,1,3,3,0.000000,0.000000,46,3,62,0,14,14,1,4,80,1.347826
21,0,1,16,69,127,7,13,3,4,0.000000,0.000000,25,12,47,3,6,9,1,16,69,1.880000
