agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,13,54,35,224,3,34,222
1,10,43,38,232,1,38,231
2,11,47,37,229,4,36,226
3,10,70,24,219,2,24,217
4,10,56,30,227,6,29,222
5,12,55,32,226,2,32,224
6,12,71,33,209,2,32,208
7,11,83,17,213,8,17,205
8,9,59,32,222,5,31,218
9,9,73,24,216,2,22,216
10,11,59,28,226,4,28,222
11,12,72,33,208,1,33,207
12,11,73,32,208,5,32,203
13,10,64,25,224,6,25,218
14,12,67,34,212,5,34,207
15,11,68,35,210,1,35,209
16,10,80,23,210,4,21,208
17,10,56,23,234,3,22,232
18,11,83,15,215,4,15,211
19,8,85,26,202,2,26,200
20,9,62,19,232,7,19,225
21,11,92,36,185,1,35,185
22,12,54,23,236,1,23,235
23,10,64,23,226,1,23,225
24,8,87,20,206,2,18,206
25,10,68,26,219,4,25,216
26,10,96,33,184,4,32,181
27,8,139,17,157,3,17,154
28,10,76,25,212,8,23,206
29,9,98,47,168,2,46,167
30,10,84,21,208,3,21,205
31,9,74,24,215,8,23,208
32,9,36,37,240,3,37,237
33,9,136,31,146,3,30,144
34,9,97,14,202,2,14,200
35,10,115,30,168,3,29,166
36,11,46,38,229,5,34,228
37,11,82,52,179,7,50,174
38,10,73,30,210,2,29,209
39,8,111,38,164,3,37,162
40,9,55,27,231,4,26,228
41,11,68,42,203,4,40,201
42,6,178,24,111,2,22,111
43,10,101,21,191,1,21,190
44,10,54,26,233,3,26,230
45,9,100,36,177,4,36,173
46,10,59,37,217,0,37,217
47,10,56,47,210,3,46,208
48,9,85,36,192,7,34,187
49,10,89,49,175,4,49,171
