timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,0,2,0,0.9204645
2,0,6,2,4,46,2,2,0,0.9204402
3,0,8,2,6,44,3,3,0,0.9203157
4,0,10,2,8,42,5,3,0,0.9203866
5,0,12,2,10,40,5,5,0,0.9204363
6,0,14,2,12,38,7,5,0,0.920445
7,0,16,2,14,36,9,5,0,0.9204052
8,0,18,2,16,34,10,6,0,0.9203994
9,0,20,2,18,32,10,8,0,0.9203503
10,0,22,2,20,30,11,9,0,0.9203576
11,0,24,2,22,28,12,10,1,0.9207481
12,1,25,2,23,27,14,9,1,0.9203505
13,1,27,2,25,25,14,11,1,0.9204124
14,2,28,2,26,24,15,11,1,0.920449
15,2,30,2,28,22,12,16,2,0.9204754
16,2,32,2,30,20,13,17,3,0.9205273
17,3,33,2,31,19,12,19,5,0.9203626
18,3,35,2,33,17,13,20,5,0.9204592
19,3,37,2,35,15,13,22,5,0.920517
20,3,39,2,37,13,14,23,5,0.9205755
21,3,41,4,37,13,13,24,6,0.9204695
22,3,43,5,38,12,12,26,6,0.9204981
23,4,44,7,37,13,9,28,6,0.9208612
24,6,44,7,37,13,10,27,7,0.9207995
25,6,46,7,39,11,10,29,8,0.9206073
26,10,44,7,37,13,11,26,9,0.9206394
27,10,46,8,38,12,12,26,9,0.9204758
28,10,48,9,39,11,11,28,9,0.9204301
29,12,48,11,37,13,8,29,9,0.9204412
30,13,49,10,39,11,7,32,10,0.920503
31,13,51,10,41,9,9,32,11,0.9204439
32,14,52,11,41,9,7,34,11,0.9203909
33,16,52,12,40,10,8,32,12,0.9206853
34,18,52,13,39,11,6,33,12,0.9205089
35,21,51,12,39,11,7,32,13,0.9205003
36,21,53,11,42,8,9,33,13,0.9206788
37,23,53,13,40,10,7,33,13,0.9205056
38,24,54,13,41,9,9,32,14,0.9207219
39,24,56,14,42,8,7,35,14,0.9205992
40,25,57,14,43,7,6,37,16,0.9203699
41,28,56,14,42,8,7,35,17,0.9204292
42,30,56,14,42,8,8,34,17,0.9205712
43,31,57,15,42,8,6,36,18,0.9211027
44,32,58,15,43,7,6,37,19,0.9208392
45,35,57,15,42,8,7,35,20,0.920543
46,37,57,15,42,8,7,35,21,0.9204802
47,39,57,15,42,8,8,34,22,0.9203711
48,41,57,17,40,10,6,34,22,0.9203964
49,42,58,16,42,8,9,33,22,0.9203457
50,44,58,18,40,10,3,37,22,0.9203854
51,46,58,16,42,8,7,35,22,0.9204452
52,47,59,17,42,8,7,35,23,0.9203733
53,47,61,18,43,7,4,39,23,0.9209641
54,49,61,18,43,7,5,38,26,0.9204476
55,50,62,19,43,7,2,41,26,0.9207557
56,55,59,18,41,9,5,36,28,0.920351
57,56,60,17,43,7,5,38,29,0.9207704
58,59,59,18,41,9,6,35,31,0.9204775
59,59,61,18,43,7,5,38,31,0.920465
60,61,61,18,43,7,4,39,32,0.9204696
61,63,61,17,44,6,6,38,32,0.9206105
62,64,62,19,43,7,3,40,32,0.9207625
63,65,63,19,44,6,5,39,32,0.9205715
