task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,17,59,293,1,13,27,15,35,8,1,17,59,1.296296
1,0,6,8,55,380,0,2,43,2,47,0,6,8,55,1.093023
2,0,179,200,259,206,10,14,54,11,56,6,179,200,259,1.037037
3,0,57,71,134,333,4,8,33,14,47,16,57,71,134,1.424242
4,0,1,11,67,261,2,2,30,6,54,6,1,11,67,1.800000
5,0,1,15,48,116,1,4,19,13,29,5,1,15,48,1.526316
6,0,68,139,189,236,29,14,29,42,49,25,68,139,189,1.689655
7,0,1,13,34,170,9,4,15,10,17,6,1,13,34,1.133333
8,0,31,51,83,8,8,15,24,16,30,5,31,51,83,1.250000
9,0,1,6,69,139,1,2,35,3,53,12,1,6,69,1.514286
10,0,31,48,112,120,8,5,40,12,64,3,31,48,112,1.600000
11,0,1,23,91,291,3,7,47,6,65,3,1,23,91,1.382979
12,0,1,15,83,284,5,16,28,13,40,29,1,15,83,1.428571
13,0,1,1,42,186,0,0,29,0,39,2,1,1,42,1.344828
14,0,1,2,55,343,0,1,45,1,51,2,1,2,55,1.133333
15,0,1,1,13,258,0,0,10,0,12,0,1,1,13,1.200000
16,0,214,278,324,96,8,15,43,14,45,4,214,278,324,1.046512
17,0,1,9,61,275,1,10,27,8,49,3,1,9,61,1.814815
18,0,1,4,26,331,0,2,22,1,22,1,1,4,26,1.000000
19,0,1,8,36,257,2,1,24,7,26,2,1,8,36,1.083333
20,0,1,4,65,237,1,10,46,3,60,1,1,4,65,1.304348
21,0,1,1,34,248,0,0,25,0,29,4,1,1,34,1.160000
22,0,1,31,41,262,8,6,10,13,10,3,1,31,41,1.000000
23,0,1,5,24,215,2,5,17,4,19,0,1,5,24,1.117647
24,0,1,10,72,178,2,6,26,9,58,4,1,10,72,2.230769
25,0,1,11,32,252,4,5,14,9,16,6,1,11,32,1.142857
26,0,1,2,61,309,1,6,42,1,50,9,1,2,61,1.190476
