agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,19,20,398,582,134,334,512
1,18,19,514,467,172,400,409
2,21,22,472,506,176,371,431
3,19,19,360,621,111,315,555
4,22,23,426,551,138,360,479
5,23,24,451,525,134,367,475
6,19,20,404,576,150,332,498
7,22,23,360,617,113,321,543
8,17,18,530,452,175,403,404
9,22,23,311,666,116,267,594
10,22,23,422,555,139,357,481
11,17,18,477,505,156,388,438
12,18,19,446,535,113,386,482
13,21,22,393,585,134,318,526
14,18,19,460,521,146,363,472
15,15,16,423,561,190,339,455
16,19,20,398,582,144,326,510
17,18,19,395,586,129,323,529
18,22,23,352,625,99,310,568
19,20,21,433,546,148,335,496
20,20,21,394,585,111,328,540
21,19,20,419,561,139,334,507
22,23,24,499,477,118,413,445
23,21,22,433,545,125,373,480
24,23,24,371,605,136,321,519
25,21,22,461,517,156,366,456
26,17,18,548,434,139,446,397
27,19,20,448,532,131,365,484
28,17,18,431,551,157,353,472
29,18,19,368,613,102,314,565
30,21,22,362,616,104,323,551
31,20,21,383,596,92,328,559
32,15,16,518,466,144,431,409
33,20,21,422,557,116,347,516
34,14,15,445,540,148,345,492
35,18,19,371,610,94,325,562
36,20,21,496,483,142,411,426
37,17,18,463,519,158,366,458
38,17,18,370,612,109,312,561
39,17,18,438,544,156,342,484
40,16,17,381,602,132,298,553
41,17,18,410,572,130,324,528
42,18,19,404,577,116,337,528
43,21,22,375,603,127,315,536
44,15,16,394,590,120,333,531
45,13,14,388,598,142,313,531
46,15,16,375,609,149,299,536
47,18,19,408,573,144,335,502
48,17,18,419,563,136,332,514
49,14,15,537,448,177,431,377
50,15,16,492,492,160,385,439
51,15,16,384,600,131,311,542
52,19,20,359,621,118,290,572
53,15,16,488,496,170,376,438
54,15,16,335,649,122,287,575
55,18,19,417,564,122,340,519
56,18,19,386,595,111,327,543
57,15,16,447,537,197,317,470
58,17,18,406,576,166,306,510
59,17,18,440,542,164,329,489
60,14,15,393,592,177,321,487
61,18,19,345,636,115,287,579
62,14,15,396,589,138,315,532
63,20,21,381,598,94,331,554
64,14,15,441,544,155,351,479
65,16,17,440,543,129,362,492
66,17,18,403,579,126,319,537
67,14,15,517,468,146,414,425
68,18,19,396,585,98,338,545
69,17,18,407,575,141,325,516
