timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,900,300,600,0,564,36,0,0.9149343
2,0,900,300,600,0,531,69,72,0.9155933
3,0,900,300,600,0,497,103,160,0.9148022
4,0,900,300,600,0,461,139,269,0.9154959
5,0,900,300,600,0,428,172,394,0.9147869
6,0,900,300,600,0,401,199,533,0.9153353
7,0,900,300,600,0,368,232,652,0.9157389
8,0,900,300,600,0,337,263,777,0.9157495
9,1,900,301,599,1,313,286,914,0.9153918
10,2,900,301,599,1,290,309,1074,0.9152481
11,3,900,301,599,1,262,337,1211,0.915916
12,4,900,301,599,1,239,360,1364,0.9163341
13,5,900,301,599,1,216,383,1495,0.915782
14,8,900,303,597,3,204,393,1626,0.915406
15,11,900,303,597,3,184,413,1742,0.9152295
16,12,900,301,599,1,170,429,1850,0.9154266
17,15,900,303,597,3,158,439,1964,0.9153754
18,18,900,303,597,3,144,453,2047,0.9156109
19,21,900,303,597,3,135,462,2150,0.9160363
20,31,900,310,590,10,131,459,2245,0.9151273
21,33,900,302,598,2,127,471,2350,0.9155861
22,42,900,309,591,9,118,473,2425,0.9152195
23,50,900,308,592,8,112,480,2520,0.9153828
24,54,900,304,596,4,113,483,2607,0.9154043
25,61,900,307,593,7,108,485,2686,0.9151515
26,73,900,312,588,12,108,480,2771,0.9150105
27,79,900,306,594,6,111,483,2878,0.9151733
28,89,900,310,590,10,105,485,2969,0.9155976
29,97,900,308,592,8,108,484,3045,0.9158969
30,109,900,312,588,12,110,478,3134,0.9160697
31,122,900,313,587,13,112,475,3219,0.915735
32,129,900,307,593,7,117,476,3307,0.9159576
33,146,900,317,583,17,117,466,3398,0.91566
34,157,900,311,589,11,131,458,3491,0.9153489
35,166,900,309,591,9,136,455,3582,0.9162998
36,172,900,306,594,6,142,452,3703,0.9154807
37,189,900,317,583,17,142,441,3803,0.9156009
38,199,900,310,590,10,153,437,3904,0.9152707
39,205,900,306,594,6,157,437,4012,0.9158687
40,212,900,307,593,7,158,435,4116,0.9157445
41,220,900,308,592,8,157,435,4224,0.9153378
42,234,900,314,586,14,159,427,4347,0.9157506
43,244,900,310,590,10,167,423,4492,0.9155661
44,251,900,307,593,7,173,420,4619,0.9149974
45,263,900,312,588,12,177,411,4739,0.9162381
46,271,900,308,592,8,182,410,4850,0.9155945
47,285,900,314,586,14,187,399,4973,0.9159209
48,291,900,306,594,6,198,396,5103,0.9159147
49,297,900,306,594,6,198,396,5235,0.9155315
50,303,900,306,594,6,197,397,5377,0.9155467
51,311,900,308,592,8,196,396,5513,0.9150407
52,318,900,307,593,7,201,392,5659,0.9160341
53,323,900,305,595,5,204,391,5795,0.9150632
54,330,900,307,593,7,202,391,5917,0.9153755
55,342,900,312,588,12,205,383,6067,0.9152124
56,352,900,310,590,10,208,382,6199,0.9157858
57,358,900,306,594,6,212,382,6328,0.9149928
58,362,900,304,596,4,213,383,6451,0.9154812
59,373,900,311,589,11,209,380,6573,0.9156199
60,378,900,305,595,5,214,381,6708,0.9150918
61,392,900,314,586,14,208,378,6854,0.9152039
62,396,900,304,596,4,214,382,6993,0.9159094
63,400,900,304,596,4,211,385,7132,0.9154442
64,409,900,309,591,9,208,383,7261,0.9158594
65,414,900,305,595,5,213,382,7394,0.9150369
66,420,900,306,594,6,212,382,7523,0.9152309
67,429,900,309,591,9,213,378,7666,0.9157183
68,434,900,305,595,5,213,382,7806,0.9159191
69,439,900,305,595,5,214,381,7950,0.9158781
70,446,900,307,593,7,211,382,8105,0.9155489
71,452,900,306,594,6,214,380,8281,0.9159459
72,459,900,307,593,7,217,376,8446,0.9151053
73,463,900,304,596,4,216,380,8612,0.9154872
74,468,900,305,595,5,212,383,8754,0.9157044
75,472,900,304,596,4,211,385,8906,0.9154584
76,478,900,306,594,6,210,384,9040,0.9153335
77,483,900,305,595,5,209,386,9191,0.9151887
78,493,900,310,590,10,209,381,9335,0.9159455
79,498,900,305,595,5,215,380,9461,0.9154554
80,505,900,307,593,7,213,380,9593,0.9157875
81,510,900,305,595,5,214,381,9744,0.9158747
82,514,900,304,596,4,215,381,9888,0.9158247
83,519,900,305,595,5,209,386,10030,0.9149954
84,526,900,307,593,7,207,386,10205,0.9151356
85,528,900,302,598,2,208,390,10374,0.9155394
86,535,900,307,593,7,202,391,10522,0.91529
87,545,900,310,590,10,207,383,10673,0.915291
88,551,900,306,594,6,211,383,10818,0.9160589
89,556,900,305,595,5,214,381,10966,0.9165716
90,565,900,309,591,9,215,376,11116,0.9152704
91,568,900,303,597,3,217,380,11270,0.915978
92,572,900,304,596,4,212,384,11417,0.9156116
93,576,900,304,596,4,209,387,11552,0.915246
94,580,900,304,596,4,207,389,11711,0.9159605
95,584,900,304,596,4,203,393,11854,0.9155714
96,592,900,308,592,8,203,389,12007,0.9159308
97,597,900,305,595,5,204,391,12160,0.9158621
98,602,900,305,595,5,203,392,12308,0.9160353
99,607,900,305,595,5,203,392,12476,0.9153162
100,613,900,306,594,6,203,391,12619,0.9156877
101,619,900,306,594,6,204,390,12775,0.916412
102,622,900,303,597,3,204,393,12929,0.9151108
103,629,900,307,593,7,199,394,13085,0.9158945
104,638,900,309,591,9,201,390,13228,0.9151822
105,642,900,304,596,4,206,390,13381,0.9161828
106,647,900,305,595,5,205,390,13523,0.9155936
107,652,900,305,595,5,205,390,13677,0.9153545
108,656,900,304,596,4,207,389,13822,0.9152447
109,665,900,309,591,9,203,388,13976,0.9160943
110,672,900,307,593,7,208,385,14113,0.9159108
111,680,900,308,592,8,210,382,14260,0.9152171
112,682,900,302,598,2,210,388,14389,0.9155098
113,688,900,306,594,6,206,388,14519,0.9155817
114,692,900,304,596,4,206,390,14675,0.9150327
115,696,900,304,596,4,202,394,14798,0.9158448
116,699,900,303,597,3,202,395,14955,0.9158521
117,704,900,305,595,5,199,396,15091,0.9153815
118,710,900,306,594,6,194,400,15246,0.9160434
119,717,900,307,593,7,190,403,15379,0.9152891
120,721,900,304,596,4,188,408,15510,0.9155921
121,725,900,304,596,4,186,410,15671,0.915796
122,732,900,307,593,7,185,408,15831,0.915224
123,739,900,307,593,7,190,403,15955,0.9164991
124,743,900,304,596,4,188,408,16096,0.915139
125,746,900,303,597,3,187,410,16264,0.9156847
126,749,900,303,597,3,186,411,16406,0.9153362
127,754,900,305,595,5,182,413,16561,0.9160877
128,761,900,307,593,7,181,412,16692,0.9159065
129,766,900,305,595,5,182,413,16834,0.9157121
130,773,900,307,593,7,184,409,16992,0.9155348
131,780,900,307,593,7,186,407,17148,0.915954
132,789,900,309,591,9,187,404,17272,0.9157729
133,792,900,303,597,3,191,406,17417,0.9158739
134,794,900,302,598,2,190,408,17548,0.915202
135,799,900,305,595,5,189,406,17693,0.9151918
136,810,900,311,589,11,191,398,17835,0.9157809
137,813,900,303,597,3,198,399,17984,0.9161495
138,824,900,311,589,11,197,392,18129,0.916015
139,832,900,308,592,8,204,388,18280,0.9160124
140,835,900,303,597,3,205,392,18444,0.9158074
141,846,900,311,589,11,202,387,18596,0.9152976
142,851,900,305,595,5,208,387,18734,0.9157736
143,857,900,306,594,6,206,388,18896,0.9152796
144,865,900,308,592,8,208,384,19033,0.9159707
145,869,900,304,596,4,215,381,19175,0.9153956
146,875,900,306,594,6,211,383,19312,0.9156317
147,883,900,308,592,8,209,383,19448,0.9153934
148,888,900,305,595,5,213,382,19596,0.9152708
149,893,900,305,595,5,212,383,19737,0.9155468
150,898,900,305,595,5,209,386,19876,0.9154166
151,906,900,308,592,8,209,383,20028,0.9150322
152,918,900,312,588,12,210,378,20165,0.9153689
153,927,900,309,591,9,218,373,20308,0.9150463
154,930,900,303,597,3,222,375,20444,0.9151789
155,941,900,311,589,11,219,370,20597,0.915271
156,945,900,304,596,4,225,371,20728,0.9158531
157,954,900,309,591,9,223,368,20861,0.9156551
158,959,900,305,595,5,227,368,20992,0.9154568
159,969,900,310,590,10,224,366,21126,0.9153849
160,979,900,310,590,10,232,358,21233,0.9152662
161,983,900,304,596,4,238,358,21352,0.9154688
162,988,900,305,595,5,235,360,21487,0.9156632
163,997,900,309,591,9,230,361,21643,0.9159435
164,999,900,302,598,2,232,366,21788,0.9156294
165,1008,900,309,591,9,227,364,21912,0.9158998
166,1012,900,304,596,4,228,368,22044,0.9160849
167,1021,900,309,591,9,225,366,22199,0.9157909
168,1024,900,303,597,3,229,368,22330,0.9158349
169,1027,900,303,597,3,226,371,22483,0.9150763
170,1035,900,308,592,8,225,367,22621,0.9150008
171,1040,900,305,595,5,225,370,22753,0.9156348
172,1044,900,304,596,4,226,370,22870,0.9156558
173,1049,900,305,595,5,225,370,23002,0.9149876
174,1053,900,304,596,4,225,371,23133,0.9150942
175,1059,900,306,594,6,223,371,23272,0.9153396
176,1062,900,303,597,3,220,377,23419,0.915826
177,1068,900,306,594,6,217,377,23559,0.915063
178,1077,900,309,591,9,214,377,23697,0.9157418
179,1084,900,307,593,7,217,376,23827,0.9163633
180,1088,900,304,596,4,218,378,23982,0.9163292
181,1092,900,304,596,4,218,378,24148,0.9154071
182,1100,900,308,592,8,218,374,24293,0.9154267
183,1105,900,305,595,5,222,373,24440,0.9153947
184,1114,900,309,591,9,222,369,24614,0.9158425
185,1123,900,309,591,9,229,362,24759,0.9163017
186,1130,900,307,593,7,229,364,24888,0.9159795
187,1133,900,303,597,3,230,367,25033,0.9157869
188,1141,900,308,592,8,223,369,25172,0.9160251
189,1147,900,306,594,6,227,367,25310,0.915347
190,1154,900,307,593,7,227,366,25466,0.9155825
191,1161,900,307,593,7,233,360,25610,0.9160111
