task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,-1,90,0,0,27,0,9,0,1,1,-1,0.333333
1,0,-1,-1,-1,-1,0,-1,43,0,0,0,-1,-1,-1,0.000000
2,0,-1,-1,-1,-1,0,-1,54,0,0,0,-1,-1,-1,0.000000
3,0,1,-1,-1,42,2,16,33,9,0,0,1,-1,-1,0.000000
4,0,-1,-1,-1,-1,0,-1,30,0,0,0,-1,-1,-1,0.000000
5,0,1,-1,-1,166,0,13,19,5,0,0,1,-1,-1,0.000000
6,0,1,1,-1,135,0,0,29,0,7,2,1,1,-1,0.241379
7,0,1,2,-1,79,1,7,15,1,8,0,1,2,-1,0.533333
8,0,1,7,-1,162,0,6,24,6,3,0,1,7,-1,0.125000
9,0,-1,-1,-1,-1,0,-1,35,0,0,0,-1,-1,-1,0.000000
10,0,-1,-1,-1,-1,0,-1,40,0,0,0,-1,-1,-1,0.000000
11,0,-1,-1,-1,-1,0,-1,47,0,0,0,-1,-1,-1,0.000000
12,0,1,7,-1,178,0,4,28,4,3,2,1,7,-1,0.107143
13,0,1,5,-1,155,1,4,29,4,5,0,1,5,-1,0.172414
14,0,1,5,-1,72,0,4,45,4,4,1,1,5,-1,0.088889
15,0,1,2,-1,12,0,1,10,1,8,0,1,2,-1,0.800000
16,0,1,3,-1,93,0,2,43,2,7,0,1,3,-1,0.162791
17,0,1,5,-1,101,2,12,27,4,4,1,1,5,-1,0.148148
18,0,-1,-1,-1,-1,0,-1,22,0,0,0,-1,-1,-1,0.000000
19,0,1,-1,-1,172,0,10,24,6,0,0,1,-1,-1,0.000000
20,0,-1,-1,-1,-1,0,-1,46,0,0,0,-1,-1,-1,0.000000
21,0,1,-1,-1,88,2,1,25,8,0,1,1,-1,-1,0.000000
22,0,1,2,-1,30,0,1,10,1,7,1,1,2,-1,0.700000
23,0,1,6,-1,21,0,4,17,4,3,2,1,6,-1,0.176471
24,0,-1,-1,-1,-1,0,-1,26,0,0,0,-1,-1,-1,0.000000
25,0,1,6,-1,48,0,5,14,5,4,0,1,6,-1,0.285714
26,0,1,2,-1,92,0,1,42,1,8,0,1,2,-1,0.190476
27,0,1,9,-1,69,1,17,35,8,1,0,1,9,-1,0.028571
28,0,1,-1,-1,113,2,14,26,9,0,0,1,-1,-1,0.000000
29,0,1,2,-1,157,0,1,29,1,7,1,1,2,-1,0.241379
30,0,-1,-1,-1,-1,0,-1,49,0,0,0,-1,-1,-1,0.000000
31,0,1,1,-1,136,0,0,10,0,8,1,1,1,-1,0.800000
32,0,1,2,-1,152,0,1,51,1,8,0,1,2,-1,0.156863
33,0,1,5,-1,53,1,3,48,4,4,1,1,5,-1,0.083333
34,0,1,5,-1,67,0,4,15,4,5,0,1,5,-1,0.333333
35,0,1,7,-1,161,1,4,30,6,3,0,1,7,-1,0.100000
36,0,-1,-1,-1,-1,0,-1,42,0,0,0,-1,-1,-1,0.000000
37,0,1,-1,-1,197,2,3,15,8,0,1,1,-1,-1,0.000000
38,0,1,-1,-1,51,3,12,21,9,0,0,1,-1,-1,0.000000
39,0,7,8,-1,199,0,1,24,1,2,0,7,8,-1,0.083333
40,0,1,1,-1,110,0,0,20,0,9,0,1,1,-1,0.450000
41,0,1,-1,-1,168,2,5,25,9,0,0,1,-1,-1,0.000000
42,0,1,-1,-1,15,0,3,15,7,0,2,1,-1,-1,0.000000
43,0,-1,-1,-1,-1,0,-1,38,0,0,0,-1,-1,-1,0.000000
44,0,-1,-1,-1,-1,0,-1,53,0,0,0,-1,-1,-1,0.000000
45,0,1,-1,-1,153,0,6,32,6,0,3,1,-1,-1,0.000000
46,0,1,7,-1,27,0,6,10,6,3,0,1,7,-1,0.300000
47,0,-1,-1,-1,-1,0,-1,36,0,0,0,-1,-1,-1,0.000000
48,0,1,1,-1,140,0,0,27,0,9,0,1,1,-1,0.333333
49,0,-1,-1,-1,-1,0,-1,36,0,0,0,-1,-1,-1,0.000000
50,0,1,-1,-1,164,2,11,24,9,0,0,1,-1,-1,0.000000
51,0,1,1,-1,185,0,0,44,0,8,1,1,1,-1,0.181818
52,0,1,5,-1,73,0,4,20,4,5,0,1,5,-1,0.250000
53,0,-1,-1,-1,-1,0,-1,51,0,0,0,-1,-1,-1,0.000000
54,0,1,-1,-1,6,2,8,21,9,0,0,1,-1,-1,0.000000
55,0,1,3,-1,150,0,2,29,2,7,0,1,3,-1,0.241379
56,0,1,-1,-1,159,0,6,45,5,0,0,1,-1,-1,0.000000
57,0,3,-1,-1,181,0,10,24,7,0,0,3,-1,-1,0.000000
58,0,-1,-1,-1,-1,0,-1,52,0,0,0,-1,-1,-1,0.000000
59,0,1,7,-1,188,0,6,20,6,3,0,1,7,-1,0.150000
60,0,-1,-1,-1,-1,0,-1,35,0,0,0,-1,-1,-1,0.000000
61,0,1,3,-1,47,0,2,28,2,7,0,1,3,-1,0.250000
62,0,1,2,-1,97,0,1,17,1,8,0,1,2,-1,0.470588
63,0,1,-1,-1,199,0,5,47,1,0,0,1,-1,-1,0.000000
64,0,1,6,-1,18,0,4,15,4,4,1,1,6,-1,0.266667
65,0,-1,-1,-1,-1,0,-1,38,0,0,0,-1,-1,-1,0.000000
66,0,-1,-1,-1,-1,0,-1,35,0,0,0,-1,-1,-1,0.000000
67,0,-1,-1,-1,-1,0,-1,43,0,0,0,-1,-1,-1,0.000000
68,0,1,-1,-1,179,1,10,28,9,0,0,1,-1,-1,0.000000
69,0,-1,-1,-1,-1,0,-1,30,0,0,0,-1,-1,-1,0.000000
70,0,-1,-1,-1,-1,0,-1,26,0,0,0,-1,-1,-1,0.000000
71,0,1,4,-1,107,0,3,46,3,5,1,1,4,-1,0.108696
72,0,-1,-1,-1,-1,0,-1,49,0,0,0,-1,-1,-1,0.000000
73,0,1,4,-1,25,1,1,22,3,6,0,1,4,-1,0.272727
74,0,-1,-1,-1,-1,0,-1,45,0,0,0,-1,-1,-1,0.000000
75,0,-1,-1,-1,-1,0,-1,48,0,0,0,-1,-1,-1,0.000000
76,0,-1,-1,-1,-1,0,-1,55,0,0,0,-1,-1,-1,0.000000
77,0,1,4,-1,131,0,3,30,3,5,1,1,4,-1,0.166667
78,0,1,8,-1,82,2,10,30,7,2,0,1,8,-1,0.066667
79,0,-1,-1,-1,-1,0,-1,39,0,0,0,-1,-1,-1,0.000000
80,0,1,4,-1,14,0,3,14,3,5,1,1,4,-1,0.357143
81,0,1,4,-1,105,1,4,19,3,6,0,1,4,-1,0.315789
82,0,1,6,-1,132,0,5,21,5,3,1,1,6,-1,0.142857
83,0,1,9,-1,85,0,5,8,7,1,1,1,9,-1,0.125000
84,0,1,8,-1,114,2,1,14,7,2,0,1,8,-1,0.142857
85,0,1,-1,-1,194,0,3,36,6,0,0,1,-1,-1,0.000000
86,0,1,8,-1,24,0,6,19,6,2,1,1,8,-1,0.105263
87,0,1,5,-1,147,2,11,24,4,5,0,1,5,-1,0.208333
88,0,1,8,-1,60,1,6,20,7,2,0,1,8,-1,0.100000
89,0,-1,-1,-1,-1,0,-1,36,0,0,0,-1,-1,-1,0.000000
90,0,-1,-1,-1,-1,0,-1,37,0,0,0,-1,-1,-1,0.000000
91,0,1,7,-1,100,0,5,24,5,2,2,1,7,-1,0.083333
92,0,-1,-1,-1,-1,0,-1,26,0,0,0,-1,-1,-1,0.000000
93,0,1,10,-1,117,2,2,28,6,0,3,1,10,-1,0.000000
94,0,1,-1,-1,16,0,11,18,9,0,0,1,-1,-1,0.000000
95,0,1,-1,-1,91,1,7,25,9,0,0,1,-1,-1,0.000000
96,0,-1,-1,-1,-1,0,-1,40,0,0,0,-1,-1,-1,0.000000
97,0,1,-1,-1,115,4,2,18,9,0,0,1,-1,-1,0.000000
98,0,1,9,-1,145,0,5,22,7,1,1,1,9,-1,0.045455
99,0,1,3,-1,171,0,2,26,2,6,1,1,3,-1,0.230769
100,0,-1,-1,-1,-1,0,-1,39,0,0,0,-1,-1,-1,0.000000
101,0,1,-1,-1,180,5,7,17,9,0,0,1,-1,-1,0.000000
102,0,1,2,-1,125,1,10,26,1,7,1,1,2,-1,0.269231
103,0,-1,-1,-1,-1,0,-1,30,0,0,0,-1,-1,-1,0.000000
104,0,-1,-1,-1,-1,0,-1,37,0,0,0,-1,-1,-1,0.000000
105,0,1,2,-1,5,0,1,13,1,7,1,1,2,-1,0.538462
106,0,-1,-1,-1,-1,0,-1,36,0,0,0,-1,-1,-1,0.000000
107,0,1,-1,-1,146,2,11,23,9,0,0,1,-1,-1,0.000000
108,0,-1,-1,-1,-1,0,-1,50,0,0,0,-1,-1,-1,0.000000
109,0,1,4,-1,156,0,3,17,3,5,1,1,4,-1,0.294118
110,0,1,6,-1,68,0,5,42,5,4,0,1,6,-1,0.095238
111,0,7,-1,-1,28,1,11,30,3,0,0,7,-1,-1,0.000000
112,0,1,2,-1,141,0,1,30,1,8,0,1,2,-1,0.266667
113,0,1,6,-1,187,0,3,36,5,4,0,1,6,-1,0.111111
114,0,1,1,-1,39,0,0,11,0,6,3,1,1,-1,0.545455
115,0,1,5,-1,109,1,6,19,4,5,0,1,5,-1,0.263158
116,0,1,-1,-1,142,0,15,21,9,0,0,1,-1,-1,0.000000
117,0,-1,-1,-1,-1,0,-1,47,0,0,0,-1,-1,-1,0.000000
118,0,-1,-1,-1,-1,0,-1,58,0,0,0,-1,-1,-1,0.000000
