timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17998,2,11998,2,0,0,0.8084485
2,0,18000,17997,3,11997,3,0,0,0.808297
3,0,18000,17995,5,11995,4,1,0,0.8078139
4,0,18000,17994,6,11994,5,1,0,0.8099567
5,0,18000,17993,7,11993,6,1,0,0.8107883
6,0,18000,17992,8,11992,7,1,0,0.8122484
7,0,18000,17991,9,11991,8,1,0,0.8118747
8,0,18000,17990,10,11990,9,1,0,0.8123627
9,0,18000,17988,12,11988,11,1,0,0.8122607
10,0,18000,17987,13,11987,12,1,0,0.8137669
11,0,18000,17986,14,11986,13,1,0,0.8166845
12,0,18000,17984,16,11984,14,2,0,0.810093
13,0,18000,17981,19,11981,17,2,0,0.8133109
14,0,18000,17977,23,11977,20,3,0,0.8109763
15,0,18000,17976,24,11976,21,3,0,0.8154819
16,0,18000,17974,26,11974,21,5,0,0.8136872
17,0,18000,17969,31,11969,26,5,0,0.8148137
18,0,18000,17968,32,11968,26,6,0,0.8229418
19,0,18000,17965,35,11965,29,6,0,0.8121231
20,0,18000,17949,51,11949,43,8,0,0.8146752
21,1,18000,17940,60,11940,51,9,0,0.8126042
22,1,18000,17918,82,11918,72,10,1,0.8146153
23,1,18000,17891,109,11891,95,14,2,0.814385
24,1,18000,16299,1701,10299,1650,51,2,0.8167662
25,1,18000,12738,5262,6738,5120,142,14,0.8154654
26,1,18000,8912,9088,2912,8810,278,853,0.8199094
27,3,18000,6002,11998,2,11590,408,4078,0.8213057
28,3,18000,6000,12000,0,11463,537,8885,0.8144469
29,3,18000,6000,12000,0,11312,688,13146,0.820086
30,3,18000,6000,12000,0,11174,826,17079,0.8254155
31,3,18000,6000,12000,0,11060,940,20747,0.8202487
32,3,18000,6000,12000,0,10932,1068,24289,0.8165302
33,3,18000,6000,12000,0,10815,1185,27596,0.8152888
34,4,18000,6001,11999,1,10701,1298,30780,0.8156186
35,7,18000,6003,11997,3,10578,1419,33894,0.8208089
