agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,1,62,37,5,62,32
1,1,3,36,61,4,36,57
2,1,4,67,29,5,67,24
3,1,5,12,83,12,8,75
4,1,5,45,50,3,43,49
5,1,6,47,47,6,47,41
6,1,7,48,45,10,47,36
7,2,9,51,40,1,50,40
8,0,8,27,65,3,27,62
9,2,11,21,68,8,21,60
10,1,11,14,75,5,14,70
11,1,11,20,69,10,19,60
12,1,12,41,47,9,39,40
13,0,12,37,51,1,37,50
14,1,14,39,47,5,38,43
15,1,15,25,60,5,24,56
16,1,15,49,36,9,45,31
17,0,15,34,51,3,34,48
18,1,17,59,24,4,58,21
19,1,18,28,54,3,28,51
20,1,19,13,68,6,12,63
21,1,19,46,35,11,39,31
22,1,19,49,32,4,47,30
23,1,20,14,66,7,13,60
24,0,20,56,24,7,56,17
25,1,21,28,51,12,26,41
26,1,22,25,53,7,22,49
27,1,22,48,30,9,44,25
28,0,21,69,10,1,69,9
29,1,22,39,39,6,37,35
30,1,22,19,59,2,18,58
31,1,23,20,57,6,20,51
32,1,24,44,32,8,39,29
33,1,25,34,41,6,32,37
34,1,25,19,56,8,19,48
35,1,25,28,47,8,26,41
36,0,24,62,14,3,62,11
37,1,26,24,50,7,24,43
38,0,25,12,63,5,12,58
39,1,26,42,32,7,40,27
40,0,25,63,12,0,63,12
41,1,26,29,45,10,27,37
42,0,25,60,15,2,60,13
43,1,26,41,33,18,28,28
44,0,25,52,23,7,52,16
45,0,25,39,36,16,39,20
46,0,25,61,14,5,58,12
47,1,26,49,25,9,46,19
48,1,26,26,48,8,22,44
49,1,26,29,45,8,27,39
50,1,26,13,61,7,13,54
51,0,26,38,36,5,38,31
52,1,27,14,59,14,14,45
53,0,26,42,32,4,42,28
54,1,27,18,55,4,17,52
55,0,26,36,38,12,36,26
56,1,27,29,44,10,23,40
57,1,27,40,33,12,36,25
58,1,27,34,39,5,34,34
59,0,27,56,17,1,56,16
60,1,28,41,31,10,40,22
61,1,28,33,39,19,14,39
62,0,27,30,43,7,30,36
63,1,28,36,36,5,35,32
64,1,29,41,30,5,38,28
65,1,29,43,28,6,42,23
66,1,29,28,43,8,26,37
67,1,29,38,33,14,32,25
68,1,29,23,48,10,22,39
69,0,28,72,0,2,70,0
70,0,28,50,22,9,44,19
71,0,28,63,9,4,63,5
72,1,29,19,52,8,19,44
73,1,29,31,40,0,31,40
74,0,29,54,17,0,54,17
75,0,29,58,13,4,58,9
76,0,29,49,22,1,49,21
77,0,29,39,32,10,39,22
78,1,30,16,54,12,15,43
79,0,29,31,40,12,31,28
80,0,29,52,19,4,52,15
81,1,30,27,43,4,26,40
82,1,30,34,36,4,32,34
83,0,29,50,21,5,50,16
84,0,29,53,18,2,53,16
85,1,29,28,43,6,28,37
86,1,30,50,20,6,47,17
87,0,29,31,40,8,31,32
88,0,29,49,22,6,49,16
89,1,30,34,36,8,33,29
90,1,30,28,42,8,26,36
91,1,30,30,40,4,28,38
92,0,29,43,28,4,43,24
93,0,29,29,42,9,29,33
94,0,29,54,17,1,54,16
95,1,30,20,50,3,19,48
96,1,31,30,39,11,29,29
97,1,31,10,59,8,10,51
98,1,31,26,43,15,24,30
99,1,31,29,40,6,25,38
100,1,31,60,9,0,60,9
101,0,30,49,21,1,49,20
102,0,30,44,26,11,44,15
103,1,31,47,22,2,47,20
104,0,30,65,5,0,65,5
105,0,30,10,60,6,10,54
106,0,30,32,38,5,32,33
107,0,30,51,19,5,51,14
108,0,30,59,11,4,59,7
109,0,30,18,52,8,18,44
110,0,30,56,14,2,56,12
111,0,30,36,34,5,36,29
112,0,30,59,11,1,59,10
113,1,31,20,49,13,20,36
114,1,31,30,39,8,26,35
115,1,31,45,24,10,40,19
116,0,30,17,53,8,17,45
117,1,31,47,22,6,46,17
118,1,31,40,29,1,40,28
119,0,30,61,9,1,61,8
120,1,31,18,51,8,18,43
121,1,31,22,47,11,21,37
122,0,30,56,14,4,56,10
123,1,31,21,48,6,20,43
124,0,30,54,16,2,54,14
125,1,31,42,27,11,39,19
126,1,31,14,55,9,11,49
127,0,30,39,31,2,39,29
128,0,30,50,20,2,50,18
129,0,30,34,36,1,34,35
130,1,31,53,16,6,50,13
131,1,31,59,10,0,59,10
132,1,31,30,39,15,28,26
133,0,30,21,49,9,20,41
134,0,30,26,44,6,26,38
135,1,31,39,30,7,34,28
136,0,30,36,34,9,36,25
137,1,31,22,47,6,17,46
138,0,30,46,24,5,46,19
139,0,30,60,10,4,59,7
140,0,30,63,7,0,63,7
141,1,31,19,50,10,18,41
142,1,31,29,40,12,22,35
143,0,30,67,3,1,67,2
144,1,31,26,43,6,25,38
145,0,30,56,14,2,56,12
146,1,31,13,56,14,10,45
147,1,31,13,56,5,13,51
148,1,31,40,29,9,35,25
149,0,30,14,56,10,14,46
150,0,30,63,7,2,63,5
151,1,31,42,27,7,37,25
152,1,31,46,23,6,44,19
153,0,30,38,32,7,38,25
154,0,30,61,9,4,61,5
155,0,30,53,17,6,53,11
156,1,31,42,27,6,42,21
157,1,31,16,53,5,13,51
158,1,31,31,38,6,30,33
159,1,31,21,48,9,18,42
160,0,30,65,5,6,59,5
161,0,30,66,4,1,66,3
162,1,31,14,55,11,14,44
163,1,31,13,56,15,13,41
164,0,30,61,9,1,61,8
165,0,30,52,18,7,52,11
166,1,31,34,35,8,32,29
167,1,31,37,32,10,34,25
168,0,30,24,46,5,24,41
169,1,31,22,47,3,21,45
170,1,31,48,21,6,43,20
171,0,30,70,0,9,61,0
172,1,31,46,23,3,45,21
173,1,31,26,43,13,15,41
174,1,31,26,43,11,25,33
175,1,31,16,53,3,15,51
176,1,31,38,31,6,34,29
177,1,31,21,48,6,19,44
178,1,31,27,42,7,23,39
179,1,31,47,22,9,44,16
180,0,30,62,8,3,62,5
181,0,30,68,2,1,68,1
182,0,30,56,14,2,56,12
183,0,30,67,3,2,67,1
184,1,31,36,33,4,33,32
185,0,30,50,20,3,50,17
186,0,30,62,8,1,62,7
187,0,30,70,0,2,68,0
188,1,31,13,56,13,13,43
189,0,30,22,48,14,22,34
190,0,30,38,32,5,38,27
191,0,30,30,40,7,30,33
192,0,30,50,20,4,50,16
193,1,31,7,62,4,6,59
194,0,30,55,15,4,55,11
195,1,31,24,45,6,24,39
196,0,30,30,40,6,30,34
197,0,30,20,50,11,20,39
198,1,31,48,21,4,48,17
199,0,30,48,22,2,48,20
200,0,30,61,9,2,61,7
201,1,31,25,44,6,21,42
202,0,30,56,14,1,56,13
203,1,31,42,27,16,30,23
204,1,31,34,35,10,29,30
205,0,30,40,30,3,40,27
206,1,31,50,19,6,44,19
207,0,30,61,9,1,61,8
208,1,31,46,23,8,40,21
209,1,31,7,62,3,7,59
210,1,31,30,39,7,24,38
211,1,31,11,58,13,10,46
212,0,30,62,8,1,62,7
213,1,31,36,33,4,36,29
214,0,30,62,8,1,62,7
215,1,31,28,41,11,24,34
216,1,31,38,31,9,33,27
217,0,30,40,30,10,40,20
218,0,30,50,20,1,50,19
219,0,30,48,22,4,48,18
220,1,31,8,61,5,8,56
221,0,30,47,23,6,47,17
222,0,30,54,16,2,54,14
223,1,31,32,37,15,31,23
224,1,31,40,29,8,37,24
225,1,31,25,44,8,20,41
226,1,31,22,47,7,22,40
227,1,31,28,41,6,28,35
228,1,31,27,42,4,24,41
229,0,30,26,44,9,26,35
230,1,31,29,40,15,19,35
231,1,31,27,42,2,26,41
232,1,31,28,41,7,27,35
233,1,31,31,38,16,22,31
234,1,30,48,22,3,48,19
235,1,31,31,38,5,31,33
236,1,31,25,44,2,25,42
237,1,31,44,25,6,39,24
238,1,31,15,54,4,14,51
239,0,30,15,55,8,15,47
240,0,30,37,33,7,37,26
241,1,31,30,39,2,28,39
242,1,31,35,34,6,32,31
243,0,30,61,9,3,60,7
244,0,30,57,13,2,57,11
245,1,31,23,46,10,20,39
246,1,31,24,45,17,16,36
247,0,30,64,6,2,64,4
248,1,31,55,14,1,55,13
249,0,30,8,62,3,8,59
250,1,31,30,39,3,28,38
251,0,31,46,23,4,46,19
252,0,31,3,66,2,3,64
253,1,32,23,45,18,13,37
254,0,31,27,42,3,27,39
255,0,31,24,45,13,24,32
256,1,32,25,43,4,23,41
257,1,32,33,35,3,30,35
258,0,31,52,17,1,52,16
259,1,32,32,36,8,31,29
260,0,31,21,48,9,21,39
261,0,31,11,58,5,11,53
262,0,31,46,23,6,46,17
263,1,32,16,52,11,14,43
264,0,31,68,1,1,68,0
265,0,31,62,7,0,62,7
266,0,31,26,43,9,26,34
267,0,31,18,51,1,18,50
268,0,31,61,8,1,61,7
269,0,31,60,9,3,58,8
270,0,31,24,45,7,24,38
271,0,31,5,64,4,5,60
272,0,31,47,22,2,47,20
273,1,32,12,56,6,11,51
274,1,32,34,34,2,33,33
275,0,31,63,6,3,62,4
276,0,31,46,23,9,46,14
277,1,32,36,32,9,33,26
278,0,31,30,39,9,30,30
279,1,32,27,41,6,24,38
280,0,31,58,11,3,57,9
281,0,31,67,2,2,66,1
282,0,31,24,45,12,24,33
283,0,31,46,23,3,46,20
284,1,32,32,36,4,29,35
285,0,31,52,17,8,50,11
286,1,32,34,34,6,33,29
287,1,32,30,38,10,25,33
288,0,31,31,38,2,31,36
289,1,32,35,33,3,34,31
290,0,31,45,24,6,45,18
291,0,31,22,47,11,21,37
292,1,32,15,53,8,13,47
293,1,32,25,43,4,23,41
294,0,31,26,43,5,26,38
295,1,32,16,52,12,16,40
296,0,31,48,21,3,48,18
297,1,31,26,43,2,26,41
298,0,31,21,48,3,21,45
299,0,31,20,49,5,20,44
300,0,31,65,4,1,64,4
301,0,31,56,13,7,56,6
302,0,31,56,13,2,56,11
303,0,31,59,10,2,58,9
304,0,31,18,51,3,18,48
305,0,31,58,11,4,57,8
306,0,31,43,26,0,43,26
307,0,31,54,15,4,54,11
308,0,31,7,62,10,7,52
309,0,31,30,39,6,29,34
310,0,31,43,26,1,43,25
311,1,32,33,35,12,23,33
312,1,31,11,58,7,11,51
313,0,31,31,38,6,31,32
314,0,31,50,19,2,50,17
315,1,32,31,37,11,24,33
316,0,31,20,49,2,20,47
317,0,31,14,55,10,14,45
318,0,31,45,24,6,45,18
319,1,32,33,35,12,25,31
320,1,32,35,33,11,31,26
321,0,31,59,10,4,57,8
322,0,31,21,48,3,21,45
323,0,31,65,4,0,65,4
324,0,31,20,49,8,20,41
325,0,31,44,25,6,44,19
326,0,31,55,14,1,54,14
327,0,31,6,63,14,6,49
328,0,31,13,56,10,13,46
329,0,31,64,5,1,63,5
330,0,31,45,24,3,45,21
331,0,31,38,31,3,38,28
332,0,31,24,45,10,24,35
333,0,31,58,11,5,58,6
334,1,31,19,50,3,19,47
335,0,31,28,41,3,27,39
336,0,31,64,5,2,62,5
337,1,32,6,62,5,6,57
338,0,31,33,36,11,31,27
339,0,31,52,17,4,52,13
340,1,32,14,54,5,13,50
341,0,31,53,16,4,52,13
342,0,31,29,40,8,29,32
343,0,31,44,25,6,44,19
344,0,31,32,37,8,32,29
345,0,31,49,20,6,49,14
346,0,31,52,17,2,52,15
347,0,31,49,20,1,49,19
348,1,32,27,41,10,21,37
349,0,31,38,31,7,38,24
350,0,31,22,47,14,22,33
351,0,31,56,13,6,56,7
352,0,31,30,39,5,30,34
353,0,31,28,41,3,28,38
354,0,31,25,44,6,25,38
