timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8159748
2,0,18000,17998,2,11998,2,0,0,0.81429
3,0,18000,17997,3,11997,3,0,0,0.8162989
4,0,18000,17995,5,11995,4,1,0,0.8215393
5,0,18000,17994,6,11994,5,1,0,0.8100019
6,0,18000,17993,7,11993,6,1,0,0.8127518
7,0,18000,17992,8,11992,7,1,0,0.8104938
8,0,18000,17991,9,11991,8,1,0,0.8118994
9,0,18000,17990,10,11990,9,1,0,0.8178424
10,0,18000,17988,12,11988,11,1,0,0.8170661
11,0,18000,17987,13,11987,12,1,0,0.8137096
12,0,18000,17986,14,11986,13,1,0,0.8107759
13,0,18000,17985,15,11985,13,2,0,0.8117723
14,0,18000,17983,17,11983,15,2,0,0.8154954
15,0,18000,17982,18,11982,15,3,0,0.8163895
16,0,18000,17981,19,11981,16,3,0,0.8158684
17,0,18000,17980,20,11980,17,3,0,0.9074138
18,0,18000,17977,23,11977,20,3,0,0.8296018
19,0,18000,17976,24,11976,20,4,0,0.8163057
20,0,18000,17974,26,11974,20,6,0,0.8130848
21,0,18000,17969,31,11969,24,7,0,0.8160604
22,1,18000,17969,31,11969,25,6,0,0.814839
23,1,18000,17967,33,11967,27,6,0,0.8158442
24,1,18000,17963,37,11963,31,6,0,0.8155403
25,1,18000,17949,51,11949,42,9,0,0.8119467
26,1,18000,17942,58,11942,46,12,0,0.81516
27,1,18000,17936,64,11936,49,15,1,0.8145283
28,2,18000,17927,73,11927,58,15,1,0.8148111
29,2,18000,17904,96,11904,77,19,1,0.8145336
30,2,18000,17749,251,11749,226,25,1,0.8140473
31,3,18000,15866,2134,9866,2062,72,3,0.8223976
32,3,18000,13879,4121,7879,3966,155,22,0.821967
33,3,18000,11055,6945,5055,6674,271,122,0.8190001
34,3,18000,8305,9695,2305,9286,409,1686,0.8176556
35,4,18000,6001,11999,1,11459,540,4889,0.816216
36,5,18000,6001,11999,1,11316,683,9327,0.8201466
37,6,18000,6001,11999,1,11192,807,13450,0.8187679
38,8,18000,6002,11998,2,11074,924,17270,0.8167733
39,8,18000,6000,12000,0,10958,1042,20913,0.8168519
40,8,18000,6000,12000,0,10833,1167,24320,0.8222566
41,10,18000,6002,11998,2,10726,1272,27627,0.8212888
42,12,18000,6002,11998,2,10599,1399,30807,0.8190974
43,15,18000,6003,11997,3,10483,1514,33879,0.8177506
44,16,18000,6001,11999,1,10370,1629,36915,0.8157148
45,18,18000,6002,11998,2,10267,1731,39869,0.816491
46,25,18000,6007,11993,7,10160,1833,42791,0.8185113
47,31,18000,6006,11994,6,10035,1959,45693,0.8173251
48,36,18000,6005,11995,5,9921,2074,48577,0.8266034
49,41,18000,6005,11995,5,9817,2178,51460,0.8194038
50,52,18000,6011,11989,11,9713,2276,54322,0.8189441
51,58,18000,6006,11994,6,9611,2383,57202,0.8215288
52,66,18000,6008,11992,8,9519,2473,60018,0.8186995
53,74,18000,6008,11992,8,9410,2582,62848,0.8253851
54,81,18000,6007,11993,7,9327,2666,65738,0.8202695
55,89,18000,6008,11992,8,9220,2772,68603,0.8191177
56,98,18000,6009,11991,9,9128,2863,71549,0.8243368
57,111,18000,6013,11987,13,9020,2967,74585,0.8383972
58,120,18000,6009,11991,9,8918,3073,77613,0.8190841
59,130,18000,6010,11990,10,8817,3173,80650,0.8253343
60,142,18000,6012,11988,12,8721,3267,83653,0.8196583
61,153,18000,6011,11989,11,8630,3359,86660,0.8197222
62,167,18000,6014,11986,14,8524,3462,89626,0.8212307
63,179,18000,6012,11988,12,8429,3559,92721,0.8192216
64,188,18000,6009,11991,9,8328,3663,95848,0.8203039
65,207,18000,6019,11981,19,8232,3749,99056,0.8146476
66,224,18000,6017,11983,17,8140,3843,102188,0.8291046
67,232,18000,6008,11992,8,8049,3943,105501,0.8173712
68,244,18000,6012,11988,12,7948,4040,108777,0.8178844
69,255,18000,6011,11989,11,7850,4139,112110,0.8162458
70,268,18000,6013,11987,13,7755,4232,115383,0.8148887
71,278,18000,6010,11990,10,7671,4319,118760,0.8207666
72,295,18000,6017,11983,17,7592,4391,122090,0.817037
73,310,18000,6015,11985,15,7501,4484,125406,0.8168273
74,320,18000,6010,11990,10,7417,4573,128785,0.8169626
75,335,18000,6015,11985,15,7326,4659,132165,0.8135082
76,350,18000,6015,11985,15,7245,4740,135543,0.8166843
