timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8128263
2,0,18000,17998,2,11998,2,0,0,0.810269
3,0,18000,17997,3,11997,3,0,0,0.8092445
4,0,18000,17995,5,11995,4,1,0,0.8128845
5,0,18000,17994,6,11994,5,1,0,0.8151085
6,0,18000,17993,7,11993,6,1,0,0.8122174
7,0,18000,17992,8,11992,7,1,0,0.8128403
8,0,18000,17991,9,11991,8,1,0,0.8132262
9,0,18000,17990,10,11990,9,1,0,0.8164108
10,0,18000,17988,12,11988,11,1,0,0.812993
11,0,18000,17987,13,11987,12,1,0,0.8145288
12,0,18000,17986,14,11986,13,1,0,0.818298
13,0,18000,17985,15,11985,13,2,0,0.8172415
14,0,18000,17984,16,11984,14,2,0,0.8194442
15,0,18000,17982,18,11982,15,3,0,0.8166091
16,0,18000,17980,20,11980,17,3,0,0.8111677
17,0,18000,17976,24,11976,21,3,0,0.8118646
18,0,18000,17974,26,11974,22,4,0,0.820152
19,0,18000,17969,31,11969,25,6,0,0.8169809
20,0,18000,17967,33,11967,27,6,0,0.8167677
21,0,18000,17963,37,11963,30,7,0,0.8132219
22,1,18000,17943,57,11943,49,8,0,0.8177614
23,1,18000,17935,65,11935,55,10,0,0.8108998
24,1,18000,17904,96,11904,84,12,2,0.8126356
25,1,18000,17348,652,11348,625,27,2,0.8149856
26,1,18000,14561,3439,8561,3345,94,4,0.8213108
27,1,18000,11127,6873,5127,6628,245,47,0.8177844
28,2,18000,7821,10179,1821,9805,374,1409,0.8152986
29,2,18000,6000,12000,0,11494,506,4573,0.8169816
30,3,18000,6001,11999,1,11327,672,8106,0.8186691
31,3,18000,6000,12000,0,11170,830,10915,0.8187816
32,3,18000,6000,12000,0,11026,974,13184,0.8169557
33,3,18000,6000,12000,0,10877,1123,15022,0.8200907
34,3,18000,6000,12000,0,10699,1301,16481,0.8174648
35,6,18000,6003,11997,3,10552,1445,17663,0.8198183
36,7,18000,6001,11999,1,10383,1616,18590,0.81465
37,12,18000,6005,11995,5,10199,1796,19317,0.8177628
38,17,18000,6005,11995,5,10023,1972,19859,0.8131859
39,21,18000,6004,11996,4,9844,2152,20414,0.8227303
40,24,18000,6003,11997,3,9667,2330,20984,0.8167532
41,28,18000,6004,11996,4,9497,2499,21491,0.8189151
42,30,18000,6002,11998,2,9340,2658,22091,0.8162532
43,34,18000,6004,11996,4,9181,2815,22711,0.8185272
44,41,18000,6007,11993,7,8994,2999,23307,0.8156875
45,43,18000,6002,11998,2,8854,3144,23976,0.8178343
46,48,18000,6005,11995,5,8715,3280,24636,0.8239934
