timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.806865
2,0,18000,17998,2,11998,2,0,0,0.8113695
3,0,18000,17997,3,11997,3,0,0,0.8188636
4,0,18000,17995,5,11995,4,1,0,0.8097342
5,0,18000,17994,6,11994,5,1,0,0.8113152
6,0,18000,17993,7,11993,6,1,0,0.8127438
7,0,18000,17992,8,11992,7,1,0,0.8116816
8,0,18000,17991,9,11991,8,1,0,0.8144071
9,0,18000,17990,10,11990,9,1,0,0.810844
10,0,18000,17988,12,11988,11,1,0,0.8113171
11,0,18000,17987,13,11987,12,1,0,0.811897
12,0,18000,17985,15,11985,14,1,0,0.8118521
13,0,18000,17982,18,11982,16,2,0,0.8133406
14,0,18000,17980,20,11980,18,2,0,0.8122931
15,0,18000,17977,23,11977,20,3,0,0.8135539
16,0,18000,17975,25,11975,22,3,0,0.813066
17,0,18000,17970,30,11970,25,5,0,0.8126857
18,0,18000,17968,32,11968,27,5,0,0.8142292
19,0,18000,17965,35,11965,29,6,0,0.8121675
20,0,18000,17942,58,11942,50,8,0,0.815472
21,0,18000,17935,65,11935,55,10,0,0.8171513
22,1,18000,17905,95,11905,84,11,0,0.8183813
23,1,18000,16530,1470,10530,1428,42,0,0.8201732
24,1,18000,13360,4640,7360,4524,116,11,0.8251763
25,1,18000,10103,7897,4103,7639,258,317,0.8207168
26,1,18000,6957,11043,957,10661,382,2611,0.818925
27,1,18000,6000,12000,0,11483,517,6659,0.8155093
28,3,18000,6002,11998,2,11337,661,10970,0.8161715
29,3,18000,6000,12000,0,11212,788,14952,0.8173442
30,3,18000,6000,12000,0,11100,900,18554,0.8239793
31,4,18000,6001,11999,1,10977,1022,21920,0.8164256
32,4,18000,6000,12000,0,10851,1149,25068,0.8142806
33,4,18000,6000,12000,0,10728,1272,28077,0.8231149
34,5,18000,6001,11999,1,10601,1398,30971,0.8152093
35,7,18000,6002,11998,2,10474,1524,33797,0.8177967
36,12,18000,6005,11995,5,10352,1643,36550,0.8142746
37,18,18000,6006,11994,6,10229,1765,39260,0.8192272
38,25,18000,6007,11993,7,10121,1872,41883,0.8156866
39,28,18000,6003,11997,3,10010,1987,44507,0.822018
40,35,18000,6007,11993,7,9883,2110,47089,0.8147702
41,37,18000,6002,11998,2,9770,2228,49637,0.8226506
42,50,18000,6013,11987,13,9645,2342,52185,0.8141823
43,52,18000,6002,11998,2,9540,2458,54724,0.8159292
44,59,18000,6007,11993,7,9426,2567,57276,0.8218576
45,67,18000,6008,11992,8,9334,2658,59855,0.8153515
46,75,18000,6008,11992,8,9224,2768,62455,0.8157944
47,79,18000,6004,11996,4,9105,2891,65062,0.8200469
48,84,18000,6005,11995,5,8994,3001,67591,0.8169579
49,93,18000,6009,11991,9,8892,3099,70155,0.8182445
50,98,18000,6005,11995,5,8780,3215,72714,0.8158383
51,106,18000,6008,11992,8,8668,3324,75289,0.8202352
52,121,18000,6015,11985,15,8563,3422,77892,0.8164752
53,137,18000,6016,11984,16,8443,3541,80532,0.8156017
54,143,18000,6006,11994,6,8345,3649,83193,0.8199765
55,155,18000,6012,11988,12,8245,3743,85951,0.8144084
56,165,18000,6010,11990,10,8140,3850,88690,0.8190223
57,181,18000,6016,11984,16,8039,3945,91454,0.8149914
58,195,18000,6014,11986,14,7931,4055,94196,0.8187096
59,210,18000,6015,11985,15,7842,4143,97066,0.8219193
60,218,18000,6008,11992,8,7752,4240,99954,0.8145935
61,234,18000,6016,11984,16,7647,4337,102877,0.8177516
62,245,18000,6011,11989,11,7549,4440,105811,0.8223279
63,255,18000,6010,11990,10,7440,4550,108782,0.8150466
64,264,18000,6009,11991,9,7342,4649,111794,0.8266456
65,284,18000,6020,11980,20,7239,4741,114818,0.8200955
66,297,18000,6013,11987,13,7149,4838,117868,0.8139602
67,312,18000,6015,11985,15,7042,4943,120963,0.8162124
68,327,18000,6015,11985,15,6948,5037,124089,0.8201046
69,341,18000,6014,11986,14,6853,5133,127226,0.8157402
70,353,18000,6012,11988,12,6770,5218,130482,0.8158095
71,364,18000,6011,11989,11,6674,5315,133716,0.8201728
72,382,18000,6018,11982,18,6592,5390,136979,0.817182
73,399,18000,6017,11983,17,6509,5474,140357,0.8230467
74,418,18000,6019,11981,19,6438,5543,143687,0.825001
75,439,18000,6021,11979,21,6364,5615,147106,0.8164062
