agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,1,62,37,12,62,25
1,1,3,47,50,5,46,46
2,1,4,73,23,7,69,20
3,1,5,15,80,14,11,70
4,1,5,32,63,7,32,56
5,1,6,70,24,20,53,21
6,1,7,54,39,11,48,34
7,2,9,57,34,11,48,32
8,1,9,43,48,6,39,46
9,1,10,36,54,14,34,42
10,1,10,30,60,10,30,50
11,1,11,21,68,10,19,60
12,1,11,34,55,12,33,44
13,1,12,50,38,5,49,34
14,1,13,52,35,11,43,33
15,1,14,36,50,25,30,31
16,0,13,24,63,14,24,49
17,0,13,34,53,9,34,44
18,1,15,68,17,7,66,12
19,1,15,59,26,13,50,22
20,1,15,11,74,18,10,57
21,1,16,60,24,13,50,21
22,1,16,57,27,4,56,24
23,1,16,23,61,5,19,60
24,0,16,56,28,12,56,16
25,1,17,32,51,13,28,42
26,1,18,42,40,14,31,37
27,1,18,65,17,19,46,17
28,0,17,69,14,2,69,12
29,0,17,28,55,26,28,29
30,1,18,48,34,18,34,30
31,1,19,43,38,5,42,34
32,1,19,44,37,14,38,29
33,1,20,62,18,10,53,17
34,1,20,42,38,12,35,33
35,1,20,55,25,12,45,23
36,0,19,60,21,8,60,13
37,1,21,41,38,12,34,33
38,1,21,21,58,10,18,51
39,0,20,29,51,18,29,33
40,0,20,63,17,6,63,11
41,0,20,19,61,15,19,46
42,0,20,60,20,5,60,15
43,1,21,25,54,15,21,43
44,0,20,54,26,6,54,20
45,0,20,55,25,3,55,22
46,0,20,54,26,6,54,20
47,1,21,52,27,12,48,19
48,1,21,29,50,8,28,43
49,1,21,33,46,11,31,37
50,1,21,41,38,8,35,36
51,0,20,38,42,4,38,38
52,1,21,25,54,28,16,35
53,0,20,42,38,3,42,35
54,1,21,58,21,16,44,19
55,1,22,48,30,17,42,19
56,1,22,40,38,15,33,30
57,1,22,38,40,15,34,29
58,1,22,36,42,10,36,32
59,0,22,56,22,4,56,18
60,0,22,38,40,13,38,27
61,1,23,37,40,18,20,39
62,0,22,30,48,7,30,41
63,1,23,47,30,8,40,29
64,1,23,44,33,11,43,23
65,0,23,36,41,13,36,28
66,1,24,47,29,12,41,23
67,0,23,24,53,12,24,41
68,0,23,16,61,19,16,42
69,0,23,58,19,5,58,14
70,0,23,38,39,11,38,28
71,0,23,65,12,9,61,7
72,1,24,4,72,21,4,51
73,1,24,42,34,15,32,29
74,0,23,62,15,6,58,13
75,0,23,60,17,3,58,16
76,0,23,49,28,10,49,18
77,0,23,39,38,9,39,29
78,1,24,19,57,13,17,46
79,0,23,29,48,21,29,27
80,0,23,52,25,6,52,19
81,0,23,19,58,5,19,53
82,1,24,24,52,13,22,41
83,0,23,54,23,5,54,18
84,0,23,49,28,4,49,24
85,0,23,28,49,16,28,33
86,0,23,34,43,8,34,35
87,1,24,49,27,9,42,25
88,0,23,49,28,8,49,20
89,0,23,31,46,16,31,30
90,1,24,25,51,6,24,46
91,0,23,18,59,17,18,42
92,0,23,43,34,8,43,26
93,0,23,29,48,9,29,39
94,0,23,54,23,3,54,20
95,1,24,18,58,7,17,52
96,1,24,50,26,22,33,21
97,1,24,46,30,23,28,25
98,1,24,38,38,15,33,28
99,1,24,40,36,20,25,31
100,0,23,59,18,5,59,13
101,0,23,49,28,10,49,18
102,0,23,44,33,5,44,28
103,1,24,57,19,7,53,16
104,0,23,65,12,5,65,7
105,1,24,44,32,20,29,27
106,0,23,32,45,18,32,27
107,0,23,51,26,5,51,21
108,0,23,60,17,6,59,12
109,1,24,63,13,6,57,13
110,0,23,56,21,8,56,13
111,0,23,38,39,3,38,36
112,0,23,58,19,14,57,6
113,0,23,12,65,24,12,41
114,1,24,36,40,10,33,33
115,0,23,28,49,14,28,35
116,0,23,17,60,19,17,41
117,0,23,41,36,11,41,25
118,1,24,50,26,7,48,21
119,0,23,61,16,3,61,13
120,1,24,24,52,5,24,47
121,1,24,49,27,16,38,22
122,0,23,56,21,8,56,13
123,1,24,46,30,12,35,29
124,0,23,54,23,4,54,19
125,0,23,23,54,17,23,37
126,1,24,17,59,13,14,49
127,0,23,39,38,3,39,35
128,0,23,50,27,7,50,20
129,0,23,34,43,8,34,35
130,1,24,46,30,11,44,21
131,0,23,50,27,7,50,20
132,1,24,52,24,9,48,19
133,1,24,33,43,18,33,25
134,1,24,27,49,8,27,41
135,1,24,40,36,12,36,28
136,0,23,36,41,8,36,33
137,1,24,59,17,15,44,17
138,0,23,46,31,7,46,24
139,0,23,57,20,4,57,16
140,0,23,68,9,5,67,5
141,0,23,16,61,16,14,47
142,1,24,16,60,16,15,45
143,0,23,67,10,2,67,8
144,0,23,18,59,10,18,49
145,0,23,56,21,3,56,18
146,1,24,31,45,12,23,41
147,1,24,27,49,9,24,43
148,0,23,17,60,13,17,47
149,1,24,59,17,18,41,17
150,0,23,64,13,5,63,9
151,0,23,30,47,16,30,31
152,0,23,35,42,17,35,25
153,0,23,40,37,13,40,24
154,0,23,61,16,5,61,11
155,0,23,51,26,6,49,22
156,0,23,38,39,16,38,23
157,1,24,43,33,15,32,29
158,1,24,22,54,26,13,37
159,1,24,30,46,12,23,41
160,0,23,57,20,3,57,17
161,0,23,66,11,2,66,9
162,1,24,53,23,7,46,23
163,1,24,17,59,16,15,45
164,0,23,61,16,5,61,11
165,0,23,52,25,4,52,21
166,1,23,22,55,8,22,47
167,1,24,55,21,18,39,19
168,0,23,24,53,16,24,37
169,1,24,39,37,8,35,33
170,1,24,42,34,17,28,31
171,1,24,47,29,11,46,19
172,1,24,52,24,8,51,17
173,1,24,16,60,16,13,47
174,0,23,5,72,30,5,42
175,1,24,17,59,7,15,54
176,1,24,12,64,15,12,49
177,1,24,18,58,13,16,47
178,1,24,34,42,11,32,33
179,1,24,52,24,18,43,15
180,0,23,62,15,3,62,12
181,0,23,68,9,1,68,8
182,0,23,58,19,12,56,9
183,0,23,71,6,1,71,5
184,1,24,55,21,11,46,19
185,0,23,48,29,8,48,21
186,0,23,62,15,6,62,9
187,0,23,58,19,5,58,14
188,1,24,51,25,16,37,23
189,0,23,22,55,18,22,37
190,0,23,38,39,10,38,29
191,0,23,30,47,14,30,33
192,0,23,50,27,1,50,26
193,1,24,13,63,5,12,59
194,0,23,59,18,6,59,12
195,1,24,44,32,7,40,29
196,0,23,30,47,24,30,23
197,0,23,20,57,19,20,38
198,1,24,44,32,6,43,27
199,0,23,48,29,4,48,25
200,0,23,61,16,4,61,12
201,1,24,26,50,15,20,41
202,0,23,58,19,4,58,15
203,1,24,37,39,24,27,25
204,1,24,28,48,12,27,37
205,0,23,38,39,8,38,31
206,1,24,45,31,9,43,24
207,0,23,61,16,1,61,15
208,1,24,38,38,20,29,27
209,0,23,2,75,4,2,71
210,1,24,44,32,19,30,27
211,1,24,9,67,19,8,49
212,0,23,62,15,4,62,11
213,1,24,46,30,7,45,24
214,0,23,66,11,5,66,6
215,1,24,44,32,17,34,25
216,1,24,44,32,13,36,27
217,0,23,40,37,10,40,27
218,0,23,52,25,5,52,20
219,0,23,49,28,8,48,21
220,1,24,12,64,8,10,58
221,0,23,47,30,8,47,22
222,0,23,62,15,2,62,13
223,0,23,25,52,5,25,47
224,1,24,27,49,3,27,46
225,1,24,29,47,17,22,37
226,1,24,9,67,10,9,57
227,1,24,32,44,11,32,33
228,1,24,30,46,4,26,46
229,0,23,26,51,14,26,37
230,1,24,32,44,22,19,35
231,1,24,36,40,16,21,39
232,0,23,24,53,16,24,37
233,1,24,34,42,31,18,27
234,0,23,48,29,8,48,21
235,0,23,28,49,6,28,43
236,1,24,25,51,7,25,44
237,1,24,25,51,5,23,48
238,1,24,47,29,10,41,25
239,1,24,45,31,9,42,25
240,0,23,37,40,8,37,32
241,1,24,18,58,3,18,55
242,0,23,8,69,26,8,43
243,0,23,72,5,3,70,4
244,0,23,59,18,3,59,15
245,0,23,12,65,18,12,47
246,1,24,54,22,14,41,21
247,0,23,64,13,3,64,10
248,0,23,53,24,6,53,18
249,1,24,18,58,8,14,54
250,1,24,38,38,11,27,38
251,0,23,49,28,6,48,23
252,0,23,5,72,21,5,51
253,1,24,12,64,12,11,53
254,1,24,29,47,8,29,39
255,0,23,24,53,13,24,40
256,0,23,3,74,24,3,50
257,1,24,34,42,6,29,41
258,0,23,55,22,10,53,14
259,0,23,17,60,23,17,37
260,0,23,23,54,13,23,41
261,0,23,11,66,15,11,51
262,0,23,44,33,10,44,23
263,1,24,6,70,17,6,53
264,0,23,68,9,5,68,4
265,0,23,62,15,4,62,11
266,0,23,26,51,18,26,33
267,0,23,18,59,12,18,47
268,0,23,60,17,2,60,15
269,0,23,54,23,4,54,19
270,1,24,33,43,14,33,29
271,1,24,42,34,9,35,32
272,0,23,47,30,8,47,22
273,1,24,49,27,10,41,25
274,1,24,40,36,2,40,34
275,0,23,66,11,6,64,7
276,0,23,46,31,8,46,23
277,1,24,63,13,13,51,12
278,0,23,30,47,16,30,31
279,1,24,32,44,7,27,42
280,0,23,58,19,7,57,13
281,0,23,60,17,4,60,13
282,0,23,22,55,12,22,43
283,1,24,54,22,7,50,19
284,1,24,26,50,7,26,43
285,0,23,46,31,9,46,22
286,1,24,26,50,22,21,33
287,0,23,12,65,18,12,47
288,0,23,33,44,10,33,34
289,0,23,29,48,7,29,41
290,0,23,47,30,5,47,25
291,0,23,21,56,12,21,44
292,0,23,12,65,19,12,46
293,1,24,36,40,7,33,36
294,0,23,26,51,12,26,39
295,1,24,29,47,14,24,38
296,0,23,48,29,5,48,24
297,1,24,61,15,9,54,13
298,1,24,50,26,6,46,24
299,1,23,20,57,12,20,45
300,0,23,62,15,4,62,11
301,0,23,64,13,3,64,10
302,0,23,56,21,1,56,20
303,0,23,66,11,4,66,7
304,0,23,18,59,15,18,44
305,0,23,55,22,5,55,17
306,0,23,45,32,2,45,30
307,0,23,58,19,7,56,14
308,0,23,7,70,9,7,61
309,0,23,34,43,17,34,26
310,0,23,47,30,3,47,27
311,1,24,51,25,14,39,23
312,1,24,41,35,24,23,29
313,0,23,31,46,13,31,33
314,0,23,51,26,6,51,20
315,1,24,18,58,16,13,47
316,1,24,59,17,12,47,17
317,0,23,14,63,15,14,48
318,0,23,45,32,9,45,23
319,0,23,4,73,13,4,60
320,1,24,34,42,5,32,39
321,0,23,61,16,7,59,11
322,0,23,21,56,14,21,42
323,0,23,65,12,3,65,9
324,0,23,20,57,11,20,46
325,1,24,48,28,3,48,25
326,0,23,59,18,5,59,13
327,1,24,46,30,15,34,27
328,1,24,22,54,13,18,45
329,0,23,62,15,8,62,7
330,0,23,43,34,6,43,28
331,0,23,38,39,8,38,31
332,0,23,24,53,18,24,35
333,0,23,69,8,6,66,5
334,1,24,52,24,14,41,21
335,0,23,23,54,11,23,43
336,0,23,58,19,7,58,12
337,1,24,24,52,6,21,49
338,1,24,53,23,7,50,19
339,0,23,53,24,12,52,13
340,1,24,47,29,22,33,21
341,0,23,52,25,6,52,19
342,0,23,31,46,15,31,31
343,0,23,43,34,13,43,21
344,0,23,30,47,14,30,33
345,0,23,51,26,2,51,24
346,0,23,53,24,5,52,20
347,0,23,49,28,7,49,21
348,1,24,22,54,10,17,49
349,0,23,38,39,13,38,26
350,0,23,20,57,15,20,42
351,0,23,60,17,6,60,11
352,0,23,30,47,20,30,27
353,1,24,46,30,7,45,24
354,0,23,25,52,17,25,35
355,0,23,40,37,9,40,28
356,1,24,40,36,9,33,34
357,0,23,69,8,2,68,7
358,0,23,68,9,2,68,7
359,0,23,43,34,8,43,26
360,0,23,31,46,6,31,40
361,0,23,39,38,18,39,20
362,1,24,32,44,20,24,32
363,0,23,25,52,14,25,38
364,0,23,64,13,5,62,10
365,1,24,19,57,18,18,40
366,1,24,23,53,3,23,50
367,0,23,57,20,3,57,17
368,1,24,11,65,3,11,62
369,0,23,61,16,7,61,9
370,0,23,50,27,2,50,25
371,0,23,52,25,8,52,17
372,1,24,14,62,2,14,60
373,1,24,19,57,8,19,49
374,0,23,61,16,8,61,8
375,0,23,57,20,6,56,15
376,0,23,40,37,13,40,24
377,0,23,43,34,10,43,24
378,0,23,19,58,12,19,46
379,0,23,52,25,3,52,22
380,0,23,68,9,3,68,6
381,0,23,37,40,10,37,30
382,1,24,25,51,12,24,40
383,0,23,63,14,2,63,12
384,0,23,32,45,10,32,35
385,0,23,57,20,6,56,15
386,0,23,41,36,13,41,23
387,0,23,11,66,24,11,42
388,1,24,28,48,19,16,41
389,1,24,36,40,9,33,34
390,0,23,19,58,15,19,43
391,0,23,63,14,7,61,9
392,0,23,60,17,4,60,13
393,1,24,31,45,13,25,38
394,0,23,32,45,12,32,33
395,0,23,62,15,2,62,13
396,0,23,66,11,1,66,10
397,0,23,64,13,4,64,9
398,1,24,14,62,10,14,52
399,0,23,30,47,10,30,37
400,0,23,57,20,2,57,18
401,0,23,67,10,5,66,6
402,0,23,61,16,10,58,9
403,0,23,69,8,3,69,5
404,1,24,39,37,10,39,27
405,0,23,64,13,2,64,11
406,0,23,50,27,5,50,22
407,0,23,39,38,6,38,33
408,1,24,30,46,12,25,39
409,0,23,28,49,14,28,35
410,1,24,49,27,17,42,17
411,0,23,43,34,8,43,26
412,0,23,26,51,23,26,28
413,1,24,36,40,7,36,33
414,0,23,40,37,11,40,26
415,0,23,49,28,7,49,21
416,0,23,41,36,8,41,28
417,1,24,52,24,17,42,17
418,0,23,38,39,9,38,30
419,1,24,40,36,17,34,25
420,0,23,36,41,15,36,26
421,0,24,76,0,11,65,0
422,1,25,46,29,19,30,26
423,0,24,19,57,15,19,42
424,0,24,47,29,11,47,18
425,0,24,38,38,8,38,30
426,0,24,52,24,7,50,19
427,1,25,11,64,15,11,49
428,0,24,68,8,8,62,6
429,1,25,16,59,4,15,56
430,0,24,38,38,11,38,27
431,1,25,14,61,5,13,57
432,1,25,10,65,6,10,59
433,0,24,49,27,9,47,20
434,0,24,9,67,21,9,46
435,0,24,26,50,24,25,27
436,0,24,57,19,13,52,11
437,0,24,18,58,11,18,47
438,0,24,50,26,11,49,16
439,0,24,22,54,18,22,36
440,0,24,76,0,6,70,0
441,0,24,15,61,14,14,48
442,0,24,76,0,8,68,0
443,0,24,76,0,11,65,0
444,0,24,32,44,11,32,33
445,0,24,16,60,22,15,39
446,0,24,55,21,7,55,14
447,0,24,22,54,10,21,45
