agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,1,68,31,6,68,25
1,1,3,43,54,13,42,42
2,0,3,59,38,13,59,25
3,1,5,8,87,10,8,77
4,1,6,30,64,7,30,57
5,0,6,36,58,11,36,47
6,1,8,42,50,14,41,37
7,2,10,31,59,11,28,51
8,0,9,27,64,16,27,48
9,1,11,21,68,16,20,53
10,1,12,16,72,16,15,57
11,1,12,17,71,15,17,56
12,1,13,43,44,16,35,36
13,1,14,42,44,3,42,41
14,1,15,47,38,11,38,36
15,1,16,60,24,16,48,20
16,1,17,29,54,15,27,41
17,0,16,34,50,21,34,29
18,1,18,51,31,6,50,26
19,1,18,46,36,16,38,28
20,1,19,11,70,14,10,57
21,1,19,38,43,18,26,37
22,1,19,41,40,4,40,37
23,1,20,40,40,3,37,40
24,0,20,56,24,9,56,15
25,1,21,32,47,5,30,44
26,1,22,52,26,14,40,24
27,1,22,52,26,10,47,21
28,0,21,69,10,1,69,9
29,0,21,28,51,14,28,37
30,1,22,16,62,13,16,49
31,1,23,21,56,5,20,52
32,0,23,20,57,9,20,48
33,0,23,16,61,14,16,47
34,1,24,54,22,12,43,21
35,1,25,61,14,14,48,13
36,0,24,60,16,5,60,11
37,1,25,47,28,8,42,25
38,0,24,12,64,23,12,41
39,0,24,29,47,12,29,35
40,0,24,63,13,1,63,12
41,0,24,19,57,10,19,47
42,0,24,64,12,2,64,10
43,1,25,22,53,13,19,43
44,0,24,52,24,8,52,16
45,0,24,39,37,9,39,28
46,0,24,58,18,4,58,14
47,0,24,36,40,11,36,29
48,1,25,50,25,13,37,25
49,1,25,31,44,11,29,35
50,1,25,21,54,9,21,45
51,0,24,38,38,6,38,32
52,1,26,40,34,14,29,31
53,0,25,42,33,7,42,26
54,1,26,17,57,13,15,46
55,0,25,36,39,16,36,23
56,1,26,6,68,18,6,50
57,0,25,14,61,18,14,43
58,1,26,43,31,3,43,28
59,0,26,58,16,1,58,15
60,1,26,38,36,12,38,24
61,1,27,34,39,13,21,39
62,0,26,30,44,7,30,37
63,1,27,51,22,14,40,19
64,1,27,34,39,2,33,38
65,0,27,34,39,9,34,30
66,1,28,38,34,15,34,23
67,0,27,24,49,16,24,33
68,1,28,40,32,16,36,20
69,0,27,58,15,7,58,8
70,0,27,40,33,4,40,29
71,0,27,62,11,3,61,9
72,0,27,3,70,21,3,49
73,1,28,28,44,14,27,31
74,0,27,55,18,4,54,15
75,0,27,59,14,6,58,9
76,0,27,49,24,5,49,19
77,0,27,39,34,11,39,23
78,0,27,6,67,19,6,48
79,0,27,31,42,8,31,34
80,0,27,52,21,9,52,12
81,0,27,19,54,8,19,46
82,1,28,43,29,12,34,26
83,0,27,50,23,5,50,18
84,0,27,49,24,8,49,16
85,1,28,42,30,14,33,25
86,0,27,36,37,12,36,25
87,0,27,31,42,9,31,33
88,0,27,49,24,9,49,15
89,0,27,31,42,9,31,33
90,1,28,25,47,7,21,44
91,0,27,18,55,13,18,42
92,0,27,45,28,7,45,21
93,0,27,29,44,9,29,35
94,0,27,54,19,3,54,16
95,1,28,13,59,1,13,58
96,1,29,49,22,11,41,19
97,1,29,37,34,14,26,31
98,1,29,34,37,17,25,29
99,1,29,31,40,16,22,33
100,0,28,59,13,2,59,11
101,0,28,51,21,5,51,16
102,0,28,44,28,7,44,21
103,1,29,57,14,5,54,12
104,0,28,65,7,0,65,7
105,1,29,24,47,11,20,40
106,0,28,32,40,1,32,39
107,0,28,53,19,8,53,11
108,0,28,59,13,3,59,10
109,0,28,20,52,13,20,39
110,0,28,56,16,4,56,12
111,0,28,36,36,4,36,32
112,0,28,57,15,4,57,11
113,0,28,12,60,14,12,46
114,1,29,36,35,11,31,29
115,0,28,30,42,12,30,30
116,0,28,17,55,18,17,37
117,1,29,47,24,11,45,15
118,1,29,39,32,9,39,23
119,0,28,67,5,0,67,5
120,1,29,27,44,5,26,40
121,1,29,62,9,22,40,9
122,0,28,56,16,9,56,7
123,1,29,46,25,27,23,21
124,0,28,54,18,2,54,16
125,0,28,23,49,14,23,35
126,1,29,11,60,17,7,47
127,0,28,41,31,2,41,29
128,0,28,51,21,5,50,17
129,1,29,35,36,7,35,29
130,0,28,42,30,5,42,25
131,1,29,54,17,6,53,12
132,1,29,54,17,17,39,15
133,0,28,22,50,8,22,42
134,0,28,26,46,15,26,31
135,1,29,30,41,8,27,36
136,0,29,36,35,6,36,29
137,1,30,24,46,12,18,40
138,0,29,48,23,6,48,17
139,0,29,59,12,5,59,7
140,0,29,65,6,2,65,4
141,0,29,14,57,11,14,46
142,1,30,31,39,14,25,31
143,0,29,67,4,0,67,4
144,0,29,18,53,11,18,42
145,0,29,56,15,3,56,12
146,0,29,4,67,22,4,45
147,0,29,10,61,16,10,45
148,0,29,17,54,17,17,37
149,0,29,14,57,22,14,35
150,0,29,68,3,6,63,2
151,0,29,30,41,9,30,32
152,0,29,38,33,12,35,24
153,0,29,49,22,12,44,15
154,0,29,68,3,1,67,3
155,0,29,71,0,8,63,0
156,0,29,38,33,10,38,23
157,1,30,13,57,5,12,53
158,0,29,12,59,18,12,41
159,1,30,14,56,16,9,45
160,0,29,59,12,6,59,6
161,0,29,66,5,2,66,3
162,1,30,13,57,8,11,51
163,1,30,46,24,9,40,21
164,0,29,61,10,2,61,8
165,0,29,63,8,3,60,8
166,0,29,22,49,21,22,28
167,1,30,12,58,15,10,45
168,0,29,24,47,18,24,29
169,0,29,9,62,9,8,54
170,0,29,28,43,10,28,33
171,0,29,42,29,7,42,22
172,0,29,44,27,13,44,14
173,0,29,2,69,11,2,58
174,0,29,5,66,21,5,45
175,1,30,24,46,11,21,38
176,1,30,18,52,10,13,47
177,1,30,34,36,20,21,29
178,1,30,16,54,10,15,45
179,0,29,31,40,7,31,33
180,0,29,62,9,2,62,7
181,0,29,68,3,0,68,3
182,0,29,71,0,12,59,0
183,0,29,67,4,1,67,3
184,1,30,26,44,10,24,36
185,0,29,52,19,11,48,12
186,0,29,62,9,7,62,2
187,0,29,56,15,2,56,13
188,0,29,10,61,19,10,42
189,0,29,24,47,25,24,22
190,0,29,39,32,13,38,20
191,0,29,30,41,6,30,35
192,0,29,50,21,6,50,15
193,1,29,6,65,6,6,59
194,0,29,57,14,5,55,11
195,0,29,21,50,19,21,31
196,0,29,30,41,9,30,32
197,0,29,22,49,5,22,44
198,0,29,45,26,5,44,22
199,0,29,48,23,6,48,17
200,0,29,61,10,0,61,10
201,0,29,8,63,12,8,51
202,0,29,59,12,3,58,10
203,0,29,18,53,28,18,25
204,1,30,53,17,14,39,17
205,0,29,40,31,5,40,26
206,0,29,25,46,3,25,43
207,0,29,71,0,1,70,0
208,0,29,10,61,8,10,53
209,1,30,3,67,2,3,65
210,1,30,40,30,11,32,27
211,1,30,10,60,20,10,40
212,0,29,64,7,3,64,4
213,0,29,31,40,5,31,35
214,0,29,71,0,2,69,0
215,0,29,13,58,19,13,39
216,1,30,39,31,17,30,23
217,0,29,40,31,6,40,25
218,0,29,56,15,9,54,8
219,0,29,53,18,7,50,14
220,1,30,8,62,14,6,50
221,0,29,52,19,5,51,15
222,0,29,61,10,8,58,5
223,0,29,23,48,14,23,34
224,0,29,25,46,6,25,40
225,0,29,12,59,14,12,45
226,1,30,28,42,17,20,33
227,0,29,28,43,20,28,23
228,1,30,16,54,8,16,46
229,0,29,28,43,10,28,33
230,0,29,4,67,15,4,52
231,1,30,16,54,9,14,47
232,0,29,24,47,12,24,35
233,0,29,9,62,18,9,44
234,0,29,48,23,8,48,15
235,0,29,28,43,11,28,32
236,0,29,24,47,6,24,41
237,0,29,19,52,9,19,43
238,1,30,31,39,21,12,37
239,1,30,29,41,5,27,38
240,0,29,37,34,7,37,27
241,1,30,22,48,3,22,45
242,1,30,10,60,10,9,51
243,0,29,70,1,5,66,0
244,0,29,63,8,4,61,6
245,0,29,12,59,7,12,52
246,1,30,28,42,10,26,34
247,0,29,71,0,3,68,0
248,0,29,61,10,2,61,8
249,1,30,17,53,3,15,52
250,1,30,32,38,0,32,38
251,0,29,50,21,6,48,17
252,1,30,33,37,18,17,35
253,1,30,23,47,11,16,43
254,0,29,24,47,6,24,41
255,0,29,24,47,12,24,35
256,1,30,8,62,10,7,53
257,1,30,22,48,17,12,41
258,0,29,58,13,3,56,12
259,0,29,17,54,17,17,37
260,0,29,23,48,13,23,35
261,0,29,12,59,13,11,47
262,0,29,46,25,5,46,20
263,1,30,7,63,7,7,56
264,0,29,71,0,0,71,0
265,0,29,62,9,5,62,4
266,0,29,26,45,16,26,29
267,0,29,18,53,6,18,47
268,0,29,60,11,3,60,8
269,0,29,57,14,9,52,10
270,0,29,24,47,11,24,36
271,0,29,5,66,8,5,58
272,0,29,55,16,2,55,14
273,1,30,14,56,5,12,53
274,1,30,32,38,1,32,37
275,0,29,66,5,8,62,1
276,0,29,59,12,5,58,8
277,1,30,28,42,18,19,33
278,0,29,30,41,7,30,34
279,1,30,11,59,2,11,57
280,0,29,67,4,6,63,2
281,0,29,64,7,2,64,5
282,0,29,24,47,19,24,28
283,0,29,46,25,5,46,20
284,1,30,25,45,11,20,39
285,0,29,46,25,8,46,17
286,1,30,50,20,11,39,20
287,0,29,12,59,20,12,39
288,0,29,31,40,9,31,31
289,0,29,31,40,10,31,30
290,0,29,45,26,7,45,19
291,0,29,19,52,12,19,40
292,1,30,21,49,14,20,36
293,1,30,27,43,6,22,42
294,0,29,26,45,12,26,33
295,1,30,18,52,9,13,48
296,0,29,48,23,6,48,17
297,1,30,32,38,2,31,37
298,0,29,21,50,5,21,45
299,0,29,20,51,11,20,40
300,0,29,71,0,3,68,0
301,0,29,58,13,4,58,9
302,0,29,56,15,4,56,11
303,0,29,59,12,5,59,7
304,0,29,20,51,13,20,38
305,0,29,63,8,7,57,7
306,0,29,43,28,7,43,21
307,0,29,57,14,5,56,10
308,0,29,7,64,19,7,45
309,0,29,29,42,12,28,31
310,0,29,43,28,3,43,25
311,1,30,27,43,11,24,35
312,0,29,14,57,15,13,43
313,0,29,31,40,11,31,29
314,0,29,61,10,6,60,5
315,1,30,2,68,3,2,65
316,0,29,20,51,10,20,41
317,0,29,14,57,18,14,39
318,0,29,45,26,10,45,16
319,1,30,40,30,11,32,27
320,1,30,34,36,6,29,35
321,0,29,64,7,5,63,3
322,0,29,21,50,16,21,34
323,0,29,71,0,4,67,0
324,0,29,20,51,6,20,45
325,0,29,44,27,11,44,16
326,0,29,56,15,6,56,9
327,1,30,29,41,12,19,39
328,0,29,13,58,14,13,44
329,0,29,71,0,1,70,0
330,0,29,47,24,11,47,13
331,0,29,38,33,5,38,28
332,0,29,24,47,7,24,40
333,0,29,64,7,3,62,6
334,1,30,22,48,5,22,43
335,0,29,25,46,9,25,37
336,0,29,60,11,2,60,9
337,1,30,16,54,7,16,47
338,0,29,29,42,10,29,32
339,0,29,52,19,6,52,13
340,1,30,47,23,17,32,21
341,0,29,62,9,5,58,8
342,0,29,31,40,11,31,29
343,0,29,45,26,3,44,24
344,0,29,32,39,6,32,33
345,0,29,49,22,5,49,17
346,0,29,53,18,11,52,8
347,0,29,51,20,5,51,15
348,1,30,25,45,10,19,41
349,0,29,40,31,5,40,26
350,0,29,22,49,14,22,35
351,0,29,59,12,1,58,12
352,0,29,30,41,10,30,31
353,0,29,28,43,6,28,37
354,0,29,24,47,12,24,35
355,0,29,40,31,10,40,21
356,0,29,12,59,8,12,51
357,0,29,71,0,3,68,0
358,0,29,71,0,4,67,0
359,0,29,44,27,12,42,17
360,0,29,31,40,5,31,35
361,0,29,39,32,2,39,30
362,0,29,16,55,5,16,50
363,0,29,25,46,5,25,41
364,0,29,70,1,7,64,0
365,1,30,47,23,15,36,19
366,1,30,10,60,16,8,46
367,0,29,57,14,4,57,10
368,0,29,11,60,12,11,48
369,0,29,67,4,3,65,3
370,0,29,52,19,12,50,9
371,0,29,54,17,2,54,15
372,1,30,19,51,1,18,51
373,1,30,49,21,5,44,21
374,0,29,66,5,2,65,4
375,0,29,58,13,7,54,10
376,0,29,58,13,8,56,7
377,0,29,43,28,9,43,19
378,0,29,17,54,12,17,42
379,0,29,54,17,6,54,11
380,0,29,71,0,1,70,0
381,0,29,37,34,4,37,30
382,1,30,23,47,3,22,45
383,0,29,58,13,5,57,9
384,0,29,34,37,12,34,25
385,0,29,56,15,6,56,9
386,0,29,41,30,8,41,22
387,1,30,38,32,22,21,27
388,1,30,42,28,10,33,27
389,0,29,16,55,13,16,42
390,0,29,19,52,20,19,32
391,0,29,70,1,6,65,0
392,0,29,63,8,6,62,3
393,1,30,32,38,10,27,33
394,0,29,32,39,12,32,27
395,0,29,66,5,1,66,4
396,0,29,71,0,1,70,0
397,0,29,68,3,1,68,2
398,1,30,32,38,10,28,32
399,0,29,33,38,11,33,27
400,0,29,60,11,11,57,3
401,0,29,67,4,4,64,3
402,0,29,61,10,4,60,7
403,0,29,70,1,2,69,0
404,0,29,30,41,8,30,33
405,0,29,70,1,2,68,1
406,0,29,57,14,6,54,11
407,0,29,41,30,11,40,20
408,1,30,16,54,16,15,39
409,1,30,33,37,11,32,27
410,0,29,26,45,7,26,38
411,0,29,41,30,5,41,25
412,0,29,24,47,17,24,30
413,0,29,36,35,7,36,28
414,0,29,42,29,9,42,20
415,0,29,47,24,7,47,17
416,0,29,40,31,7,40,24
417,0,29,37,34,2,37,32
418,0,29,38,33,5,38,28
419,0,29,19,52,8,18,45
420,0,29,36,35,11,36,24
421,0,29,58,13,6,56,9
422,1,30,30,40,12,22,36
423,0,29,20,51,12,19,40
424,0,29,43,28,10,43,18
425,0,29,38,33,9,38,24
426,0,29,51,20,10,50,11
427,1,30,25,45,13,19,38
428,0,29,56,15,4,54,13
429,1,30,19,51,1,19,50
430,0,29,36,35,20,36,15
431,0,29,13,58,13,11,47
432,0,29,6,65,13,6,52
433,0,29,50,21,5,49,17
434,0,29,9,62,21,9,41
435,1,30,32,38,20,23,27
436,0,29,56,15,11,52,8
437,0,29,19,52,10,18,43
438,0,29,41,30,4,41,26
439,0,29,22,49,14,22,35
440,0,29,71,0,2,69,0
441,0,29,14,57,11,14,46
442,0,29,71,0,0,71,0
443,0,29,69,2,2,67,2
444,0,29,32,39,5,32,34
445,0,29,15,56,14,15,42
446,0,29,56,15,7,54,10
447,1,30,35,35,5,34,31
448,1,30,30,40,8,27,35
449,0,29,43,28,5,43,23
450,0,29,14,57,18,14,39
451,0,29,54,17,3,52,16
452,0,29,19,52,16,19,36
453,0,29,6,65,32,6,33
454,0,29,41,30,18,41,12
455,0,29,5,66,16,5,50
456,0,29,6,65,14,6,51
457,0,29,71,0,7,64,0
458,0,29,60,11,3,60,8
459,0,29,27,44,14,26,31
460,0,29,71,0,4,67,0
461,1,30,19,51,13,15,42
462,0,29,62,9,5,59,7
463,0,29,14,57,9,14,48
464,0,29,48,23,6,44,21
465,1,30,26,44,4,24,42
466,1,30,38,32,9,31,30
467,0,29,28,43,3,28,40
468,1,30,23,47,12,15,43
469,0,29,63,8,5,62,4
470,0,29,25,46,8,25,38
471,0,29,46,25,10,46,15
472,0,29,9,62,7,9,55
473,1,30,13,57,7,12,51
474,1,30,29,41,4,28,38
475,1,30,35,35,9,32,29
476,1,30,11,59,6,11,53
477,0,29,54,17,2,54,15
478,0,29,52,19,6,52,13
479,0,29,16,55,13,16,42
480,0,29,60,11,4,59,8
481,0,29,33,38,8,33,30
482,0,29,31,40,3,31,37
483,1,30,18,52,18,11,41
484,0,29,34,37,6,33,32
485,0,29,38,33,6,38,27
486,0,29,63,8,4,62,5
487,1,30,36,34,17,24,29
488,2,30,17,53,2,16,52
489,0,29,71,0,12,59,0
490,0,29,70,1,1,70,0
491,1,29,14,57,10,14,47
492,0,29,23,48,3,23,45
493,0,29,22,49,8,22,41
494,0,29,37,34,3,37,31
495,1,30,10,60,6,10,54
496,0,29,57,14,8,54,9
497,0,29,21,50,9,21,41
498,0,29,46,25,5,46,20
499,0,29,70,1,5,66,0
500,0,29,42,29,8,40,23
501,1,30,15,55,9,15,46
502,0,29,33,38,3,33,35
503,0,29,35,36,11,35,25
504,1,30,41,29,11,36,23
505,0,29,19,52,9,19,43
506,1,30,45,25,12,35,23
507,1,30,22,48,6,17,47
508,0,29,36,35,9,36,26
509,0,29,28,43,3,28,40
510,0,29,64,7,7,59,5
511,0,29,37,34,8,37,26
512,0,29,43,28,6,43,22
513,1,30,35,35,12,27,31
514,1,30,30,40,6,24,40
515,0,29,18,53,7,18,46
516,0,29,36,35,16,36,19
517,0,29,34,37,8,34,29
518,1,30,38,32,5,33,32
519,0,29,25,46,12,25,34
520,0,29,44,27,9,44,18
521,0,29,22,49,8,22,41
522,0,29,27,44,8,27,36
523,1,30,23,47,12,13,45
524,0,29,24,47,13,24,34
525,1,29,16,55,8,16,47
526,0,29,50,21,4,50,17
527,1,30,33,37,1,32,37
528,1,29,17,54,8,15,48
529,1,30,25,45,11,23,36
530,0,29,71,0,5,66,0
531,0,29,24,47,17,24,30
532,0,29,34,37,8,34,29
533,0,29,26,45,9,26,36
534,0,29,24,47,14,24,33
535,0,29,57,14,7,56,8
536,0,29,17,54,18,17,36
537,0,29,44,27,5,44,22
538,0,29,45,26,5,45,21
539,0,29,3,68,12,3,56
540,0,29,59,12,5,59,7
541,0,29,17,54,11,17,43
542,0,29,22,49,12,22,37
543,0,29,71,0,3,68,0
544,1,30,7,63,8,7,55
545,0,29,67,4,0,67,4
546,1,30,36,34,14,31,25
547,0,29,60,11,3,60,8
548,1,30,23,47,21,14,35
549,0,29,30,41,13,30,28
550,1,30,32,38,7,27,36
551,0,29,30,41,10,30,31
552,0,29,15,56,16,15,40
553,0,29,27,44,7,27,37
554,0,29,29,42,7,29,35
555,0,29,28,43,16,28,27
556,1,29,17,54,10,16,45
557,1,30,28,42,3,28,39
558,0,29,14,57,2,14,55
559,0,29,33,38,8,32,31
560,0,29,18,53,20,18,33
561,0,29,71,0,2,69,0
562,0,29,19,52,16,17,38
563,0,29,20,51,7,20,44
564,0,29,62,9,1,62,8
565,0,29,3,68,2,3,66
566,0,29,55,16,10,51,10
567,0,29,44,27,6,44,21
568,0,29,40,31,8,39,24
569,0,29,15,56,8,15,48
570,0,29,27,44,22,27,22
571,1,30,37,33,6,33,31
572,0,29,6,65,9,6,56
573,0,29,38,33,8,38,25
574,0,29,30,41,13,28,30
575,0,29,6,65,13,6,52
576,1,30,35,35,5,33,32
577,1,30,34,36,2,32,36
578,1,30,28,42,11,22,37
579,0,29,71,0,1,70,0
580,0,29,31,40,14,30,27
581,1,30,39,31,12,30,28
582,0,29,12,59,13,12,46
583,1,30,32,38,12,27,31
584,0,29,22,49,10,22,39
585,0,29,71,0,2,69,0
586,0,29,28,43,12,28,31
587,1,30,15,55,11,15,44
588,0,29,14,57,15,13,43
589,1,30,32,38,11,22,37
590,0,29,44,27,6,44,21
591,1,30,26,44,12,20,38
592,0,29,50,21,3,50,18
593,0,29,32,39,6,32,33
594,0,29,60,11,4,60,7
595,0,29,3,68,3,3,65
596,0,29,71,0,3,68,0
597,0,29,60,11,1,60,10
598,0,29,71,0,4,67,0
599,0,29,71,0,0,71,0
600,0,29,71,0,1,70,0
601,0,29,42,29,4,42,25
602,0,29,28,43,11,28,32
603,0,29,12,59,14,12,45
604,0,29,71,0,3,68,0
605,1,30,21,49,15,20,35
606,1,30,38,32,9,31,30
607,0,29,42,29,6,42,23
608,0,29,63,8,2,62,7
609,0,29,10,61,18,10,43
610,1,30,27,43,4,23,43
611,0,29,18,53,20,18,33
612,0,29,65,6,5,62,4
613,0,29,30,41,8,30,33
614,0,29,46,25,15,46,10
615,1,30,28,42,9,24,37
616,0,29,58,13,3,58,10
617,0,29,33,38,8,33,30
618,0,29,40,31,8,39,24
619,0,29,52,19,4,52,15
620,0,29,20,51,5,20,46
621,0,29,58,13,6,56,9
