timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17998,2,11998,2,0,0,0.8095339
2,0,18000,17997,3,11997,3,0,0,0.8105361
3,0,18000,17996,4,11996,3,1,0,0.8075197
4,0,18000,17995,5,11995,4,1,0,0.8109679
5,0,18000,17994,6,11994,5,1,0,0.8135544
6,0,18000,17993,7,11993,6,1,0,0.8122109
7,0,18000,17992,8,11992,7,1,0,0.8194017
8,0,18000,17991,9,11991,8,1,0,0.8203816
9,0,18000,17989,11,11989,10,1,0,0.817009
10,0,18000,17988,12,11988,11,1,0,0.8301022
11,0,18000,17987,13,11987,12,1,0,0.8153815
12,0,18000,17986,14,11986,13,1,0,0.8140123
13,0,18000,17985,15,11985,13,2,0,0.8126097
14,0,18000,17982,18,11982,16,2,0,0.8122328
15,0,18000,17976,24,11976,21,3,0,0.8112449
16,0,18000,17974,26,11974,23,3,0,0.8115641
17,0,18000,17969,31,11969,27,4,0,0.8154022
18,0,18000,17968,32,11968,27,5,0,0.8131109
19,0,18000,17966,34,11966,29,5,0,0.8134462
20,0,18000,17953,47,11953,41,6,0,0.8133148
21,0,18000,17945,55,11945,47,8,0,0.8134135
22,1,18000,17942,58,11942,49,9,0,0.8129178
23,1,18000,17935,65,11935,53,12,1,0.8185656
24,1,18000,17918,82,11918,67,15,2,0.8132924
25,1,18000,17881,119,11881,102,17,4,0.8170277
26,1,18000,16850,1150,10850,1109,41,5,0.8171563
27,1,18000,13994,4006,7994,3889,117,8,0.8272675
28,3,18000,10744,7256,4744,7010,246,100,0.8217005
29,3,18000,6933,11067,933,10675,392,1875,0.8164351
30,3,18000,6000,12000,0,11480,520,6035,0.8150755
31,3,18000,6000,12000,0,11347,653,10473,0.8178366
32,3,18000,6000,12000,0,11211,789,14494,0.8150231
33,3,18000,6000,12000,0,11087,913,18198,0.817445
34,4,18000,6001,11999,1,10972,1027,21705,0.8189238
35,4,18000,6000,12000,0,10854,1146,25052,0.817485
36,6,18000,6002,11998,2,10741,1257,28272,0.8350276
37,8,18000,6002,11998,2,10614,1384,31383,0.8180145
38,10,18000,6002,11998,2,10503,1495,34397,0.8168181
39,12,18000,6002,11998,2,10393,1605,37316,0.8174689
40,17,18000,6005,11995,5,10288,1707,40203,0.8155946
41,22,18000,6005,11995,5,10170,1825,43051,0.8199513
42,27,18000,6005,11995,5,10050,1945,45773,0.8149712
43,30,18000,6003,11997,3,9933,2064,48523,0.8936951
44,34,18000,6004,11996,4,9815,2181,51276,0.824263
45,40,18000,6006,11994,6,9707,2287,54064,0.8161528
46,46,18000,6006,11994,6,9607,2387,56876,0.817612
47,53,18000,6007,11993,7,9489,2504,59610,0.8154718
48,57,18000,6004,11996,4,9401,2595,62361,0.821281
49,67,18000,6010,11990,10,9297,2693,65138,0.8202103
50,77,18000,6010,11990,10,9188,2802,67851,0.8151879
51,87,18000,6010,11990,10,9078,2912,70580,0.8167229
52,100,18000,6013,11987,13,8990,2997,73277,0.8199296
53,110,18000,6010,11990,10,8881,3109,76033,0.8134736
54,116,18000,6006,11994,6,8792,3202,78759,0.8147942
55,124,18000,6008,11992,8,8693,3299,81483,0.8126867
56,138,18000,6014,11986,14,8587,3399,84214,0.8224444
57,145,18000,6007,11993,7,8485,3508,86968,0.8177198
58,162,18000,6017,11983,17,8365,3618,89770,0.8178933
59,169,18000,6007,11993,7,8267,3726,92615,0.8193187
60,185,18000,6016,11984,16,8171,3813,95546,0.8208411
61,197,18000,6012,11988,12,8066,3922,98376,0.8155577
62,209,18000,6012,11988,12,7990,3998,101260,0.8143935
63,220,18000,6011,11989,11,7898,4091,104184,0.8160719
64,236,18000,6016,11984,16,7799,4185,107058,0.8231447
65,250,18000,6014,11986,14,7702,4284,109977,0.8171563
66,259,18000,6009,11991,9,7612,4379,112912,0.8200284
67,279,18000,6020,11980,20,7516,4464,115849,0.8239585
68,291,18000,6012,11988,12,7426,4562,118877,0.8173768
69,308,18000,6017,11983,17,7343,4640,121925,0.8175788
70,327,18000,6019,11981,19,7260,4721,124991,0.8145479
71,343,18000,6016,11984,16,7162,4822,128115,0.8271563
72,359,18000,6016,11984,16,7069,4915,131172,0.8211322
73,373,18000,6014,11986,14,6980,5006,134352,0.8211937
74,387,18000,6014,11986,14,6880,5106,137567,0.8163181
75,398,18000,6011,11989,11,6801,5188,140798,0.817144
76,408,18000,6010,11990,10,6711,5279,144019,0.8175251
77,427,18000,6019,11981,19,6634,5347,147252,0.8127163
78,450,18000,6023,11977,23,6556,5421,150579,0.8145263
79,465,18000,6015,11985,15,6474,5511,153896,0.8123394
80,482,18000,6017,11983,17,6403,5580,157092,0.8119693
81,500,18000,6018,11982,18,6320,5662,160269,0.8148913
82,523,18000,6023,11977,23,6230,5747,163413,0.8172352
83,540,18000,6017,11983,17,6170,5813,166611,0.821176
84,558,18000,6018,11982,18,6088,5894,169797,0.8192607
85,577,18000,6019,11981,19,5995,5986,173069,0.8162223
86,595,18000,6018,11982,18,5901,6081,176287,0.8173457
87,616,18000,6021,11979,21,5819,6160,179552,0.8207662
88,638,18000,6022,11978,22,5739,6239,182782,0.8219338
89,658,18000,6020,11980,20,5678,6302,186084,0.8163003
90,684,18000,6026,11974,26,5604,6370,189302,0.815356
91,705,18000,6021,11979,21,5547,6432,192536,0.8160157
92,726,18000,6021,11979,21,5483,6496,195829,0.8206611
93,743,18000,6017,11983,17,5413,6570,199174,0.8208809
94,765,18000,6022,11978,22,5345,6633,202486,0.8204029
95,788,18000,6023,11977,23,5281,6696,205713,0.8170178
96,819,18000,6031,11969,31,5224,6745,208961,0.8185196
97,846,18000,6027,11973,27,5182,6791,212278,0.8272168
98,872,18000,6026,11974,26,5140,6834,215560,0.8140134
99,898,18000,6026,11974,26,5078,6896,218803,0.8136241
100,927,18000,6029,11971,29,5023,6948,222003,0.8163229
101,951,18000,6024,11976,24,4969,7007,225153,0.8175898
102,992,18000,6041,11959,41,4924,7035,228368,0.8232691
103,1026,18000,6034,11966,34,4905,7061,231536,0.8227862
104,1049,18000,6023,11977,23,4873,7104,234809,0.8185391
105,1083,18000,6034,11966,34,4829,7137,237985,0.8234487
106,1112,18000,6029,11971,29,4797,7174,241149,0.8230461
107,1133,18000,6021,11979,21,4756,7223,244306,0.8149466
