agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,1,64,35,13,64,22
1,1,3,52,45,8,46,43
2,1,4,71,25,9,65,22
3,1,5,12,83,14,10,71
4,1,5,71,24,10,62,23
5,1,6,38,56,22,37,35
6,1,7,80,13,8,74,11
7,2,9,33,58,7,33,51
8,1,9,36,55,7,34,50
9,1,10,30,60,18,26,46
10,1,11,14,75,12,13,64
11,1,11,20,69,19,19,51
12,1,12,55,33,16,42,30
13,1,13,56,31,2,56,29
14,1,14,48,38,9,40,37
15,1,15,35,50,14,28,43
16,0,14,24,62,11,24,51
17,0,14,36,50,10,36,40
18,1,16,51,33,7,51,26
19,1,16,67,17,13,56,15
20,1,17,10,73,11,10,62
21,1,17,32,51,12,31,40
22,1,17,42,41,5,40,38
23,1,18,44,38,10,34,38
24,0,18,56,26,10,56,16
25,1,19,22,59,10,22,49
26,1,20,46,34,12,37,31
27,1,20,68,12,17,52,11
28,0,19,73,8,1,73,7
29,0,19,28,53,13,28,40
30,1,20,22,58,13,20,47
31,1,21,27,52,6,26,47
32,1,22,49,29,11,42,25
33,1,22,35,43,2,34,42
34,1,23,27,50,6,25,46
35,1,23,44,33,13,37,27
36,0,22,60,18,7,60,11
37,1,23,59,18,9,51,17
38,0,22,14,64,12,14,52
39,0,22,29,49,18,29,31
40,0,22,63,15,4,63,11
41,1,23,46,31,13,37,27
42,0,22,60,18,4,60,14
43,1,23,46,31,13,39,25
44,0,22,54,24,9,54,15
45,0,22,39,39,12,39,27
46,0,22,54,24,6,54,18
47,0,22,36,42,11,36,31
48,1,23,52,25,19,33,25
49,0,22,19,59,7,19,52
50,1,23,57,20,18,40,19
51,0,22,38,40,8,38,32
52,1,24,56,20,31,32,13
53,0,23,42,35,6,42,29
54,1,24,26,50,9,23,44
55,0,23,36,41,10,36,31
56,1,24,22,54,14,18,44
57,0,23,14,63,9,14,54
58,0,24,34,42,9,34,33
59,0,24,56,20,5,56,15
60,1,25,40,35,10,39,26
61,1,25,36,39,5,31,39
62,0,24,30,46,12,30,34
63,1,25,55,20,18,40,17
64,1,26,40,34,5,38,31
65,0,25,32,43,14,32,29
66,1,26,49,25,18,35,21
67,1,26,44,30,15,34,25
68,1,26,65,9,17,50,7
69,0,26,58,16,5,58,11
70,0,26,40,34,8,40,26
71,0,26,63,11,3,61,10
72,1,27,29,44,8,24,41
73,1,27,35,38,15,27,31
74,0,26,56,18,8,54,12
75,0,26,58,16,2,58,14
76,0,26,49,25,11,49,14
77,1,27,49,24,7,45,21
78,1,27,23,50,20,18,35
79,1,26,31,43,10,31,33
80,0,26,52,22,5,52,17
81,1,27,23,50,6,23,44
82,1,27,54,19,11,43,19
83,0,26,52,22,12,52,10
84,0,26,49,25,7,49,18
85,1,27,29,44,11,29,33
86,1,27,54,19,3,51,19
87,0,26,31,43,5,31,38
88,0,26,49,25,8,49,17
89,0,26,31,43,13,31,30
90,1,27,16,57,7,16,50
91,0,26,20,54,14,20,40
92,0,26,43,31,6,43,25
93,0,26,29,45,14,29,31
94,0,26,58,16,1,58,15
95,1,27,34,39,12,23,38
96,1,27,40,33,14,36,23
97,1,27,26,47,12,23,38
98,1,27,18,55,16,10,47
99,1,27,24,49,14,18,41
100,0,26,59,15,3,59,12
101,0,26,50,24,7,49,18
102,0,26,45,29,9,44,21
103,1,27,64,9,3,62,8
104,0,26,65,9,2,65,7
105,1,27,51,22,9,45,19
106,0,26,32,42,14,32,28
107,0,26,51,23,8,51,15
108,0,26,59,15,5,59,10
109,1,27,58,15,10,50,13
110,0,26,56,18,6,56,12
111,0,26,36,38,14,36,24
112,0,26,57,17,4,57,13
113,0,26,12,62,7,12,55
114,1,27,51,22,12,44,17
115,0,26,30,44,23,30,21
116,0,26,17,57,14,17,43
117,1,27,54,19,18,44,11
118,1,27,44,29,6,44,23
119,0,26,61,13,7,61,6
120,1,27,54,19,4,50,19
121,1,27,45,28,19,33,21
122,0,26,56,18,5,56,13
123,1,27,40,33,6,38,29
124,0,26,54,20,4,54,16
125,1,27,34,39,15,31,27
126,1,27,7,66,14,6,53
127,0,26,39,35,4,39,31
128,0,26,51,23,6,50,18
129,0,26,34,40,6,34,34
130,0,26,40,34,9,40,25
131,1,27,62,11,4,59,10
132,1,27,55,18,11,45,17
133,0,27,22,51,12,22,39
134,0,27,26,47,10,26,37
135,0,27,24,49,12,24,37
136,0,27,36,37,8,36,29
137,1,28,32,40,9,24,39
138,0,27,48,25,11,48,14
139,0,27,59,14,7,59,7
140,0,27,65,8,2,65,6
141,0,27,14,59,11,14,48
142,1,28,46,26,20,29,23
143,0,27,72,1,4,69,0
144,0,27,18,55,12,18,43
145,0,27,56,17,8,56,9
146,0,27,4,69,23,4,46
147,0,27,10,63,14,10,49
148,0,27,19,54,12,17,44
149,0,27,14,59,13,14,46
150,0,27,73,0,3,70,0
151,0,27,30,43,11,30,32
152,0,27,36,37,7,35,31
153,0,27,48,25,16,42,15
154,0,27,64,9,2,63,8
155,0,27,53,20,3,53,17
156,0,27,38,35,9,38,26
157,0,27,4,69,6,4,63
158,1,28,25,47,3,24,45
159,0,27,2,71,14,2,57
160,0,27,59,14,2,59,12
161,0,27,70,3,1,70,2
162,0,27,0,73,10,0,63
163,0,27,3,70,4,3,66
164,0,27,67,6,4,65,4
165,0,27,54,19,5,54,14
166,0,27,22,51,14,22,37
167,1,28,15,57,8,15,49
168,0,27,26,47,10,26,37
169,0,27,8,65,3,8,62
170,0,27,28,45,7,28,38
171,0,27,59,14,5,58,10
172,0,27,46,27,3,46,24
173,0,27,2,71,15,2,56
174,1,28,57,15,19,38,15
175,1,28,58,14,13,45,14
176,1,28,39,33,12,27,33
177,1,28,53,19,17,38,17
178,1,28,17,55,6,17,49
179,0,27,31,42,8,31,34
180,0,27,64,9,6,64,3
181,0,27,73,0,2,71,0
182,0,27,73,0,8,65,0
183,0,27,73,0,1,72,0
184,0,27,19,54,11,19,43
185,0,27,49,24,8,48,17
186,0,27,68,5,0,68,5
187,0,27,73,0,6,67,0
188,0,27,10,63,17,10,46
189,0,27,22,51,12,22,39
190,0,27,38,35,10,38,25
191,0,27,30,43,8,30,35
192,0,27,50,23,11,50,12
193,1,27,6,67,4,6,63
194,0,27,60,13,4,59,10
195,0,27,21,52,15,21,37
196,0,27,30,43,10,30,33
197,0,27,27,46,14,26,33
198,0,27,40,33,3,40,30
199,0,27,50,23,4,50,19
200,0,27,61,12,3,61,9
201,0,27,9,64,15,8,50
202,0,27,73,0,3,70,0
203,0,27,18,55,10,18,45
204,1,28,25,47,4,25,43
205,0,27,44,29,7,44,22
206,0,27,29,44,9,29,35
207,0,27,73,0,3,70,0
208,0,27,10,63,8,10,55
209,0,27,3,70,5,3,65
210,1,28,9,63,11,8,53
211,1,28,60,12,25,36,11
212,0,27,65,8,7,64,2
213,0,27,32,41,5,32,36
214,0,27,73,0,9,64,0
215,1,28,22,50,16,19,37
216,0,27,20,53,14,20,39
217,0,27,43,30,9,42,22
218,0,27,52,21,8,52,13
219,0,27,54,19,13,50,10
220,1,28,26,46,12,15,45
221,0,27,48,25,5,47,21
222,0,27,73,0,8,65,0
223,0,27,23,50,9,23,41
224,1,28,39,33,8,37,27
225,0,27,12,61,17,12,44
226,0,27,10,63,17,9,47
227,0,27,37,36,14,32,27
228,1,28,33,39,12,28,32
229,0,27,28,45,20,28,25
230,0,27,4,69,17,4,52
231,0,27,0,73,3,0,70
232,0,27,24,49,9,24,40
233,0,27,11,62,18,11,44
234,0,27,48,25,7,48,18
235,0,27,28,45,8,28,37
236,0,27,22,51,7,22,44
237,0,27,17,56,6,17,50
