timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8069377
2,0,18000,17998,2,11998,2,0,0,0.809159
3,0,18000,17997,3,11997,3,0,0,0.8107035
4,0,18000,17995,5,11995,4,1,0,0.8125429
5,0,18000,17994,6,11994,5,1,0,0.8104746
6,0,18000,17993,7,11993,6,1,0,0.814408
7,0,18000,17992,8,11992,7,1,0,0.8171337
8,0,18000,17991,9,11991,8,1,0,0.8177091
9,0,18000,17990,10,11990,9,1,0,0.8178261
10,0,18000,17988,12,11988,11,1,0,0.8145962
11,0,18000,17987,13,11987,12,1,0,0.812985
12,0,18000,17986,14,11986,13,1,0,0.8116432
13,0,18000,17985,15,11985,13,2,0,0.811744
14,0,18000,17983,17,11983,15,2,0,0.8121463
15,0,18000,17981,19,11981,16,3,0,0.8126504
16,0,18000,17977,23,11977,20,3,0,0.8110414
17,0,18000,17976,24,11976,21,3,0,0.8136335
18,0,18000,17974,26,11974,21,5,0,0.812705
19,0,18000,17969,31,11969,25,6,0,0.8171877
20,0,18000,17968,32,11968,26,6,0,0.8198533
