task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,49,82,-1,1179,0,33,53,33,16,2,49,82,-1,0.301887
1,0,68,-1,-1,6909,1,40,147,17,0,15,68,-1,-1,0.000000
2,0,68,-1,-1,6776,0,47,107,30,0,2,68,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,59,96,-1,3930,0,35,87,35,2,4,59,96,-1,0.022989
5,0,73,-1,-1,9056,2,27,219,10,0,17,73,-1,-1,0.000000
6,0,73,-1,-1,9027,1,19,165,12,0,15,73,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,45,-1,-1,247,1,64,13,55,0,0,45,-1,-1,0.000000
10,0,75,-1,-1,9907,0,30,202,12,0,13,75,-1,-1,0.000000
11,0,58,-1,-1,3565,1,66,87,25,0,17,58,-1,-1,0.000000
12,0,52,-1,-1,1910,0,57,61,46,0,2,52,-1,-1,0.000000
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,73,-1,-1,8968,0,13,65,11,0,16,73,-1,-1,0.000000
15,0,65,-1,-1,2645,1,47,132,34,0,1,65,-1,-1,0.000000
16,0,64,-1,-1,5323,1,51,133,33,0,3,64,-1,-1,0.000000
17,0,69,-1,-1,7318,1,52,165,25,0,6,69,-1,-1,0.000000
18,0,63,73,-1,4949,0,10,107,10,25,2,63,73,-1,0.233645
19,0,75,-1,-1,10184,0,39,211,0,0,25,75,-1,-1,0.000000
20,0,74,-1,-1,7969,0,34,199,22,0,4,74,-1,-1,0.000000
21,0,66,84,-1,6089,0,14,107,18,13,3,66,84,-1,0.121495
22,0,48,-1,-1,940,1,68,19,52,0,0,48,-1,-1,0.000000
23,0,58,72,-1,25,0,12,91,14,27,1,58,72,-1,0.296703
