timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8162108
2,0,18000,17998,2,11998,2,0,0,0.8148853
3,0,18000,17997,3,11997,3,0,0,0.8133397
4,0,18000,17996,4,11996,4,0,0,0.8111182
5,0,18000,17995,5,11995,4,1,0,0.813457
6,0,18000,17994,6,11994,5,1,0,0.8136453
7,0,18000,17993,7,11993,6,1,0,0.8146277
8,0,18000,17992,8,11992,7,1,0,0.8140341
9,0,18000,17991,9,11991,8,1,0,0.8145176
10,0,18000,17990,10,11990,9,1,0,0.8163804
11,0,18000,17989,11,11989,10,1,0,0.8115905
12,0,18000,17988,12,11988,11,1,0,0.8109522
13,0,18000,17987,13,11987,12,1,0,0.8106724
14,0,18000,17986,14,11986,13,1,0,0.814115
15,0,18000,17985,15,11985,14,1,0,0.815569
16,0,18000,17984,16,11984,15,1,0,0.8144941
17,0,18000,17983,17,11983,16,1,0,0.8114353
18,0,18000,17982,18,11982,15,3,0,0.8118989
19,0,18000,17981,19,11981,16,3,0,0.8189237
20,0,18000,17980,20,11980,16,4,0,0.8157041
21,0,18000,17979,21,11979,17,4,0,0.8125499
22,0,18000,17978,22,11978,18,4,0,0.8116439
23,0,18000,17977,23,11977,17,6,0,0.8128536
24,0,18000,17976,24,11976,17,7,0,0.812091
25,0,18000,17975,25,11975,18,7,0,0.8145332
26,0,18000,17974,26,11974,19,7,0,0.8148289
27,0,18000,17973,27,11973,19,8,0,0.8120123
28,0,18000,17972,28,11972,19,9,0,0.8133934
29,0,18000,17971,29,11971,19,10,0,0.8127826
30,0,18000,17970,30,11970,20,10,0,0.8157514
31,0,18000,17969,31,11969,20,11,0,0.8175629
32,0,18000,17968,32,11968,21,11,0,0.8151586
33,0,18000,17967,33,11967,21,12,0,0.8129037
34,0,18000,17966,34,11966,21,13,0,0.8146064
35,0,18000,17965,35,11965,22,13,0,0.8124533
36,0,18000,17964,36,11964,20,16,0,0.8108848
37,0,18000,17963,37,11963,20,17,0,0.8137444
38,2,18000,17964,36,11964,21,15,0,0.8145791
39,4,18000,17965,35,11965,22,13,0,0.8186692
40,5,18000,17965,35,11965,22,13,0,0.8120623
41,5,18000,17964,36,11964,23,13,1,0.815495
42,5,18000,17963,37,11963,21,16,1,0.8126701
43,5,18000,17962,38,11962,21,17,1,0.8148987
44,5,18000,17849,151,11849,130,21,1,0.8115506
45,5,18000,17592,408,11592,379,29,2,0.8128736
46,5,18000,17410,590,11410,549,41,7,0.813458
47,5,18000,17144,856,11144,793,63,9,0.8166491
48,5,18000,16944,1056,10944,967,89,13,0.8168721
49,6,18000,16671,1329,10671,1211,118,21,0.8178412
50,6,18000,16436,1564,10436,1420,144,29,0.8217503
51,6,18000,16240,1760,10240,1578,182,44,0.8206139
52,6,18000,15956,2044,9956,1817,227,59,0.8219297
53,7,18000,15727,2273,9727,2011,262,75,0.8201961
54,7,18000,15403,2597,9403,2274,323,95,0.8262019
55,9,18000,15109,2891,9109,2512,379,130,0.8178493
56,11,18000,14871,3129,8871,2703,426,160,0.8221064
57,15,18000,14574,3426,8574,2939,487,198,0.8164908
58,16,18000,14218,3782,8218,3231,551,256,0.8220398
59,20,18000,13919,4081,7919,3455,626,338,0.8151419
60,25,18000,13635,4365,7635,3677,688,397,0.8236519
61,31,18000,13394,4606,7394,3835,771,489,0.8223236
62,33,18000,13083,4917,7083,4077,840,585,0.8163687
63,36,18000,12749,5251,6749,4314,937,665,0.8148612
64,42,18000,12370,5630,6370,4607,1023,773,0.8174064
65,50,18000,12046,5954,6046,4836,1118,916,0.8182729
66,56,18000,11659,6341,5659,5129,1212,1058,0.8176078
67,62,18000,11298,6702,5298,5395,1307,1341,0.8190268
68,71,18000,10905,7095,4905,5691,1404,1767,0.8138854
69,84,18000,10607,7393,4607,5881,1512,2385,0.8176949
70,92,18000,10195,7805,4195,6209,1596,3124,0.8158376
71,102,18000,9758,8242,3758,6553,1689,4069,0.8156769
72,111,18000,9320,8680,3320,6872,1808,5208,0.8160541
73,122,18000,8892,9108,2892,7184,1924,6528,0.8160605
74,136,18000,8389,9611,2389,7590,2021,8024,0.8202704
75,144,18000,7811,10189,1811,8068,2121,9828,0.8146385
76,150,18000,7218,10782,1218,8546,2236,11941,0.8164669
77,159,18000,6635,11365,635,9015,2350,14416,0.823682
78,166,18000,6142,11858,142,9408,2450,17246,0.8197133
79,174,18000,6008,11992,8,9447,2545,20344,0.8163859
80,186,18000,6012,11988,12,9337,2651,23518,0.8192164
81,195,18000,6009,11991,9,9233,2758,26708,0.8157509
82,206,18000,6011,11989,11,9125,2864,29850,0.8146772
83,216,18000,6010,11990,10,9024,2966,32972,0.8126595
84,235,18000,6019,11981,19,8910,3071,36134,0.8161782
85,245,18000,6010,11990,10,8830,3160,39264,0.8146797
86,261,18000,6016,11984,16,8723,3261,42360,0.8154054
87,275,18000,6014,11986,14,8622,3364,45454,0.8162044
88,283,18000,6008,11992,8,8518,3474,48642,0.820146
89,303,18000,6020,11980,20,8425,3555,51832,0.8218252
90,320,18000,6017,11983,17,8331,3652,55000,0.8152273
