timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8137333
2,0,18000,17998,2,11998,2,0,0,0.8092111
3,0,18000,17997,3,11997,3,0,0,0.810433
4,0,18000,17996,4,11996,3,1,0,0.8093547
5,0,18000,17995,5,11995,4,1,0,0.8104505
6,0,18000,17994,6,11994,5,1,0,0.8143569
7,0,18000,17993,7,11993,6,1,0,0.8191037
8,0,18000,17992,8,11992,7,1,0,0.8164205
9,0,18000,17991,9,11991,8,1,0,0.8147699
10,0,18000,17990,10,11990,9,1,0,0.8123197
11,0,18000,17989,11,11989,10,1,0,0.816043
12,0,18000,17988,12,11988,11,1,0,0.8110044
13,0,18000,17987,13,11987,12,1,0,0.8125618
14,0,18000,17986,14,11986,13,1,0,0.814194
15,0,18000,17985,15,11985,14,1,0,0.8178252
16,0,18000,17984,16,11984,15,1,0,0.8154798
17,0,18000,17983,17,11983,16,1,0,0.8155562
18,0,18000,17982,18,11982,15,3,0,0.8116606
19,0,18000,17981,19,11981,16,3,0,0.8115242
20,0,18000,17980,20,11980,16,4,0,0.8133887
21,0,18000,17979,21,11979,17,4,0,0.8125451
22,0,18000,17978,22,11978,18,4,0,0.8120275
23,0,18000,17977,23,11977,17,6,0,0.8226527
24,0,18000,17976,24,11976,17,7,0,0.8135886
25,0,18000,17975,25,11975,17,8,0,0.8133779
26,0,18000,17974,26,11974,18,8,0,0.8123659
27,0,18000,17934,66,11934,55,11,0,0.8162526
28,0,18000,17643,357,11643,336,21,0,0.8139846
29,0,18000,17318,682,11318,650,32,4,0.8148747
30,0,18000,17019,981,11019,923,58,9,0.8170909
31,0,18000,16645,1355,10645,1268,87,11,0.8142731
32,0,18000,16283,1717,10283,1594,123,19,0.8191006
33,0,18000,16066,1934,10066,1765,169,31,0.8240127
34,1,18000,15693,2307,9693,2099,208,49,0.8274307
35,1,18000,15290,2710,9290,2449,261,69,0.8179458
36,1,18000,14891,3109,8891,2775,334,100,0.8180302
37,1,18000,14479,3521,8479,3119,402,152,0.8189014
38,3,18000,14141,3859,8141,3395,464,195,0.8171891
39,5,18000,13730,4270,7730,3726,544,254,0.8259896
40,7,18000,13408,4592,7408,3970,622,337,0.816169
41,9,18000,12988,5012,6988,4296,716,420,0.8168553
42,9,18000,12456,5544,6456,4711,833,522,0.8160972
43,11,18000,12003,5997,6003,5071,926,642,0.8219759
44,17,18000,11514,6486,5514,5464,1022,892,0.8148803
45,24,18000,11015,6985,5015,5873,1112,1317,0.8142591
46,27,18000,10408,7592,4408,6365,1227,1939,0.8148876
47,31,18000,9710,8290,3710,6959,1331,2824,0.8151649
48,38,18000,9015,8985,3015,7557,1428,4061,0.8184821
49,46,18000,8123,9877,2123,8354,1523,5622,0.8187387
50,56,18000,7359,10641,1359,9000,1641,7623,0.8155356
51,62,18000,6458,11542,458,9787,1755,10039,0.8195166
52,67,18000,6005,11995,5,10091,1904,13000,0.8167171
53,73,18000,6006,11994,6,9988,2006,16252,0.8145208
54,80,18000,6007,11993,7,9869,2124,19528,0.8166702
55,89,18000,6009,11991,9,9780,2211,22806,0.8133667
56,97,18000,6008,11992,8,9681,2311,26085,0.8139992
57,104,18000,6007,11993,7,9568,2425,29409,0.8169016
58,112,18000,6008,11992,8,9478,2514,32701,0.8204332
59,120,18000,6008,11992,8,9384,2608,35949,0.8211641
