task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,32,68,-1,1179,0,34,53,36,28,4,32,68,-1,0.528302
1,0,47,-1,-1,6890,0,51,147,47,0,6,47,-1,-1,0.000000
2,0,47,-1,-1,6931,1,66,107,47,0,6,47,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,41,70,-1,4388,0,25,87,27,26,6,41,70,-1,0.298851
5,0,50,-1,-1,8451,1,57,219,25,0,25,50,-1,-1,0.000000
6,0,51,-1,-1,9027,1,18,165,45,0,4,51,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,29,93,-1,247,0,64,13,64,7,0,29,93,-1,0.538462
10,0,52,-1,-1,9907,1,30,202,17,0,31,52,-1,-1,0.000000
11,0,39,-1,-1,3565,1,66,87,61,0,0,39,-1,-1,0.000000
12,0,37,38,-1,2745,0,1,61,1,62,0,37,38,-1,1.016393
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,41,41,-1,4407,0,0,65,0,59,0,41,41,-1,0.907692
15,0,45,-1,-1,5614,3,31,132,39,0,16,45,-1,-1,0.000000
16,0,44,64,-1,5489,0,19,133,19,32,5,44,64,-1,0.240602
17,0,48,58,-1,4527,0,10,165,10,38,4,48,58,-1,0.230303
18,0,43,54,-1,4949,0,10,107,10,42,5,43,54,-1,0.392523
19,0,52,-1,-1,9995,0,45,211,2,0,46,52,-1,-1,0.000000
20,0,52,-1,-1,9701,1,9,199,30,0,18,52,-1,-1,0.000000
21,0,44,54,-1,5252,0,6,107,8,40,8,44,54,-1,0.373832
22,0,31,99,-1,739,0,68,19,68,1,0,31,99,-1,0.052632
23,0,38,81,-1,2909,0,37,91,41,16,5,38,81,-1,0.175824
24,0,48,-1,-1,7133,2,40,169,49,0,3,48,-1,-1,0.000000
25,0,94,-1,-1,1732,0,11,134,6,0,0,94,-1,-1,0.000000
26,0,49,83,-1,7940,1,31,149,29,14,8,49,83,-1,0.093960
27,0,-1,-1,-1,-1,0,-1,257,0,0,0,-1,-1,-1,0.000000
28,0,36,-1,-1,2130,2,24,79,63,0,1,36,-1,-1,0.000000
29,0,-1,-1,-1,-1,0,-1,241,0,0,0,-1,-1,-1,0.000000
30,0,-1,-1,-1,-1,0,-1,287,0,0,0,-1,-1,-1,0.000000
31,0,41,64,-1,4184,0,22,85,22,32,5,41,64,-1,0.376471
32,0,-1,-1,-1,-1,0,-1,497,0,0,0,-1,-1,-1,0.000000
33,0,32,47,80,1102,0,13,25,15,31,2,32,47,80,1.240000
34,0,29,91,-1,91,1,18,31,62,6,3,29,91,-1,0.193548
35,0,31,67,-1,764,1,62,45,34,28,7,31,67,-1,0.622222
36,0,49,-1,-1,8067,3,19,151,36,0,15,49,-1,-1,0.000000
37,0,40,59,-1,3902,2,60,103,19,38,3,40,59,-1,0.368932
38,0,30,66,-1,407,0,36,43,36,28,6,30,66,-1,0.651163
39,0,50,-1,-1,8120,0,63,205,19,0,31,50,-1,-1,0.000000
40,0,-1,-1,-1,-1,0,-1,277,0,0,0,-1,-1,-1,0.000000
41,0,-1,-1,-1,-1,0,-1,467,0,0,0,-1,-1,-1,0.000000
42,0,-1,-1,-1,-1,0,-1,344,0,0,0,-1,-1,-1,0.000000
