timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.812843
2,0,18000,17998,2,11998,2,0,0,0.8077285
3,0,18000,17997,3,11997,3,0,0,0.8108775
4,0,18000,17996,4,11996,3,1,0,0.8137784
5,0,18000,17995,5,11995,4,1,0,0.8105842
6,0,18000,17994,6,11994,5,1,0,0.8135111
7,0,18000,17993,7,11993,6,1,0,0.810788
8,0,18000,17992,8,11992,7,1,0,0.8229113
9,0,18000,17991,9,11991,8,1,0,0.8152064
10,0,18000,17990,10,11990,9,1,0,0.8146196
11,0,18000,17989,11,11989,10,1,0,0.8168654
12,0,18000,17988,12,11988,11,1,0,0.8128857
13,0,18000,17987,13,11987,12,1,0,0.8153266
14,0,18000,17986,14,11986,13,1,0,0.813658
15,0,18000,17985,15,11985,14,1,0,0.8129366
16,0,18000,17984,16,11984,15,1,0,0.8164769
17,0,18000,17983,17,11983,16,1,0,0.8167641
18,0,18000,17982,18,11982,15,3,0,0.8143661
19,0,18000,17981,19,11981,16,3,0,0.8136566
20,0,18000,17980,20,11980,16,4,0,0.8185718
21,0,18000,17979,21,11979,17,4,0,0.8158246
22,0,18000,17978,22,11978,18,4,0,0.8175151
23,0,18000,17977,23,11977,17,6,0,0.8212148
24,0,18000,17976,24,11976,17,7,0,0.8156229
25,0,18000,17975,25,11975,17,8,0,0.8199235
26,0,18000,17974,26,11974,18,8,0,0.8144496
27,0,18000,17973,27,11973,18,9,0,0.8120727
28,0,18000,17936,64,11936,52,12,0,0.8125601
29,0,18000,17633,367,11633,346,21,0,0.812371
30,0,18000,17300,700,11300,668,32,2,0.8194653
31,0,18000,17025,975,11025,916,59,9,0.8187821
32,0,18000,16800,1200,10800,1119,81,11,0.8163182
33,0,18000,16519,1481,10519,1367,114,18,0.8192709
34,1,18000,16203,1797,10203,1649,148,26,0.8216187
35,1,18000,15876,2124,9876,1930,194,43,0.8191159
36,1,18000,15576,2424,9576,2180,244,59,0.8275098
37,1,18000,15171,2829,9171,2527,302,79,0.8172277
38,2,18000,14829,3171,8829,2804,367,130,0.8222497
39,4,18000,14433,3567,8433,3136,431,164,0.8253487
40,6,18000,13998,4002,7998,3495,507,219,0.8229041
41,7,18000,13590,4410,7590,3821,589,279,0.8159793
42,10,18000,13248,4752,7248,4089,663,360,0.8176419
43,11,18000,12840,5160,6840,4404,756,443,0.8170882
44,14,18000,12449,5551,6449,4693,858,548,0.825077
45,19,18000,11957,6043,5957,5081,962,684,0.8177409
46,23,18000,11463,6537,5463,5470,1067,914,0.8175257
47,26,18000,10905,7095,4905,5928,1167,1290,0.8202397
48,29,18000,10421,7579,4421,6309,1270,1947,0.8172897
49,38,18000,9929,8071,3929,6695,1376,2828,0.8192823
50,42,18000,9289,8711,3289,7234,1477,3934,0.8189914
51,49,18000,8611,9389,2611,7805,1584,5364,0.8206884
52,57,18000,7863,10137,1863,8455,1682,7205,0.8175811
53,64,18000,7335,10665,1335,8877,1788,9427,0.8173323
54,74,18000,6764,11236,764,9331,1905,11913,0.8151931
55,80,18000,6006,11994,6,9979,2015,14704,0.8183512
56,92,18000,6012,11988,12,9894,2094,18017,0.8185167
57,98,18000,6006,11994,6,9800,2194,21299,0.8200354
58,108,18000,6010,11990,10,9691,2299,24642,0.8177125
59,123,18000,6015,11985,15,9585,2400,27961,0.8210637
60,129,18000,6006,11994,6,9485,2509,31284,0.817334
61,139,18000,6010,11990,10,9402,2588,34627,0.8217588
62,148,18000,6009,11991,9,9294,2697,37932,0.8205825
63,160,18000,6012,11988,12,9195,2793,41291,0.8167632
64,168,18000,6008,11992,8,9085,2907,44539,0.8223542
65,175,18000,6007,11993,7,8999,2994,47792,0.8176458
66,193,18000,6018,11982,18,8890,3092,51043,0.8158148
67,199,18000,6006,11994,6,8795,3199,54414,0.8164219
68,214,18000,6015,11985,15,8695,3290,57719,0.8144174
69,224,18000,6010,11990,10,8605,3385,61094,0.8213761
70,239,18000,6015,11985,15,8488,3497,64445,0.8195596
71,252,18000,6013,11987,13,8404,3583,67856,0.8162359
72,262,18000,6010,11990,10,8304,3686,71304,0.8224948
73,275,18000,6013,11987,13,8210,3777,74706,0.8181572
74,289,18000,6014,11986,14,8113,3873,78156,0.8243314
75,305,18000,6016,11984,16,8020,3964,81662,0.8194557
76,319,18000,6014,11986,14,7935,4051,85233,0.82307
77,327,18000,6008,11992,8,7857,4135,88730,0.8185075
78,345,18000,6018,11982,18,7768,4214,92219,0.8196513
79,360,18000,6015,11985,15,7693,4292,95801,0.8170646
80,379,18000,6019,11981,19,7612,4369,99353,0.8182954
81,402,18000,6023,11977,23,7530,4447,102837,0.8174792
82,425,18000,6023,11977,23,7467,4510,106265,0.8165332
83,438,18000,6013,11987,13,7390,4597,109732,0.8174254
84,450,18000,6012,11988,12,7303,4685,113192,0.8238469
85,471,18000,6021,11979,21,7234,4745,116668,0.8271449
86,493,18000,6022,11978,22,7165,4813,120182,0.8173488
87,520,18000,6027,11973,27,7094,4879,123777,0.8194738
88,534,18000,6014,11986,14,7019,4967,127345,0.8196285
89,553,18000,6019,11981,19,6940,5041,130893,0.8162184
90,577,18000,6024,11976,24,6858,5118,134405,0.8153077
91,592,18000,6015,11985,15,6794,5191,138037,0.8175149
92,612,18000,6020,11980,20,6715,5265,141586,0.8249334
93,632,18000,6020,11980,20,6630,5350,145101,0.8158476
94,650,18000,6018,11982,18,6559,5423,148698,0.8152627
95,668,18000,6018,11982,18,6495,5487,152265,0.8178816
96,686,18000,6018,11982,18,6429,5553,155834,0.8203746
97,708,18000,6022,11978,22,6362,5616,159411,0.8221464
98,738,18000,6030,11970,30,6282,5688,163016,0.8213835
99,764,18000,6026,11974,26,6230,5744,166610,0.8158398
100,783,18000,6019,11981,19,6172,5809,170225,0.8169903
