task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,48,85,-1,1179,0,35,53,37,15,0,48,85,-1,0.283019
1,0,72,-1,-1,6997,0,27,147,27,0,1,72,-1,-1,0.000000
2,0,72,-1,-1,6931,0,66,107,28,0,0,72,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,62,97,-1,4388,0,26,87,34,3,1,62,97,-1,0.034483
5,0,76,-1,-1,7982,0,72,219,20,0,4,76,-1,-1,0.000000
6,0,78,-1,-1,8716,0,17,165,15,0,7,78,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,43,-1,-1,247,0,64,13,57,0,0,43,-1,-1,0.000000
10,0,81,-1,-1,9990,0,20,202,2,0,17,81,-1,-1,0.000000
11,0,58,-1,-1,3565,0,66,87,42,0,0,58,-1,-1,0.000000
12,0,54,92,-1,2550,0,34,61,38,5,3,54,92,-1,0.081967
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,73,81,-1,7444,0,5,65,5,19,3,73,81,-1,0.292308
15,0,68,-1,-1,5614,0,31,132,31,0,1,68,-1,-1,0.000000
16,0,67,-1,-1,5323,0,53,133,33,0,0,67,-1,-1,0.000000
17,0,73,-1,-1,7318,0,52,165,26,0,1,73,-1,-1,0.000000
18,0,65,77,-1,4949,0,12,107,12,23,0,65,77,-1,0.214953
19,0,81,-1,-1,10231,1,18,211,15,0,4,81,-1,-1,0.000000
20,0,78,-1,-1,8756,0,35,199,12,0,10,78,-1,-1,0.000000
21,0,67,93,-1,5507,0,22,107,24,5,4,67,93,-1,0.046729
22,0,46,-1,-1,940,0,68,19,54,0,0,46,-1,-1,0.000000
23,0,56,62,-1,3062,0,6,91,6,36,2,56,62,-1,0.395604
24,0,73,-1,-1,7158,0,55,169,26,0,1,73,-1,-1,0.000000
25,0,-1,-1,-1,-1,0,-1,134,0,0,0,-1,-1,-1,0.000000
26,0,76,-1,-1,8016,0,17,149,19,0,5,76,-1,-1,0.000000
27,0,-1,-1,-1,-1,0,-1,257,0,0,0,-1,-1,-1,0.000000
28,0,52,75,-1,2130,0,22,79,22,21,5,52,75,-1,0.265823
29,0,-1,-1,-1,-1,0,-1,241,0,0,0,-1,-1,-1,0.000000
30,0,-1,-1,-1,-1,0,-1,287,0,0,0,-1,-1,-1,0.000000
31,0,58,-1,-1,3511,0,58,85,42,0,0,58,-1,-1,0.000000
32,0,-1,-1,-1,-1,0,-1,497,0,0,0,-1,-1,-1,0.000000
33,0,42,42,67,48,0,0,25,0,25,0,42,42,67,1.000000
34,0,42,60,96,91,0,18,31,18,35,1,42,60,96,1.129032
35,0,46,-1,-1,764,0,62,45,54,0,0,46,-1,-1,0.000000
36,0,70,-1,-1,6280,0,64,151,30,0,0,70,-1,-1,0.000000
37,0,62,-1,-1,4256,0,57,103,36,0,2,62,-1,-1,0.000000
38,0,45,71,-1,623,0,24,43,26,25,4,45,71,-1,0.581395
39,0,76,93,-1,8302,0,10,205,16,5,3,76,93,-1,0.024390
40,0,-1,-1,-1,-1,0,-1,277,0,0,0,-1,-1,-1,0.000000
41,0,-1,-1,-1,-1,0,-1,467,0,0,0,-1,-1,-1,0.000000
42,0,-1,-1,-1,-1,0,-1,344,0,0,0,-1,-1,-1,0.000000
43,0,-1,-1,-1,-1,0,-1,279,0,0,0,-1,-1,-1,0.000000
44,0,-1,-1,-1,-1,0,-1,453,0,0,0,-1,-1,-1,0.000000
