timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8103238
2,0,18000,17998,2,11998,2,0,0,0.8122799
3,0,18000,17997,3,11997,3,0,0,0.8130028
4,0,18000,17996,4,11996,4,0,0,0.8163573
5,0,18000,17995,5,11995,5,0,0,0.8181141
6,0,18000,17994,6,11994,6,0,0,0.8137648
7,0,18000,17993,7,11993,6,1,0,0.8156794
8,0,18000,17992,8,11992,7,1,0,0.8171515
9,0,18000,17991,9,11991,8,1,0,0.8164922
10,0,18000,17990,10,11990,9,1,0,0.8135048
11,0,18000,17989,11,11989,10,1,0,0.8206936
12,0,18000,17988,12,11988,11,1,0,0.8157504
13,0,18000,17987,13,11987,12,1,0,0.8155943
14,0,18000,17986,14,11986,13,1,0,0.8122914
15,0,18000,17985,15,11985,14,1,0,0.8134057
16,0,18000,17984,16,11984,15,1,0,0.8166033
17,0,18000,17983,17,11983,16,1,0,0.8122544
18,0,18000,17982,18,11982,15,3,0,0.8166757
19,0,18000,17981,19,11981,16,3,0,0.8277862
20,0,18000,17980,20,11980,16,4,0,0.8449357
21,0,18000,17979,21,11979,17,4,0,0.8229366
22,0,18000,17978,22,11978,18,4,0,0.816512
23,0,18000,17977,23,11977,17,6,0,0.8211481
24,0,18000,17976,24,11976,17,7,0,0.8152415
25,0,18000,17975,25,11975,18,7,0,0.8130403
26,0,18000,17974,26,11974,19,7,0,0.8127556
27,0,18000,17973,27,11973,19,8,0,0.8125779
28,0,18000,17972,28,11972,19,9,0,0.8128225
29,0,18000,17971,29,11971,19,10,0,0.8156895
30,0,18000,17970,30,11970,20,10,0,0.8130606
31,0,18000,17969,31,11969,20,11,0,0.8135758
32,0,18000,17968,32,11968,21,11,0,0.8126923
33,0,18000,17967,33,11967,21,12,0,0.8181004
34,0,18000,17966,34,11966,21,13,0,0.8187482
35,0,18000,17965,35,11965,22,13,0,0.813397
36,0,18000,17964,36,11964,19,17,0,0.8114866
