task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,33,79,-1,215,0,46,53,46,15,6,33,79,-1,0.283019
1,0,36,-1,-1,8818,0,37,147,32,0,32,36,-1,-1,0.000000
2,0,36,-1,-1,9797,0,12,107,37,0,27,36,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,35,74,-1,5086,0,31,87,37,21,7,35,74,-1,0.241379
5,0,37,-1,-1,11044,0,7,219,39,0,24,37,-1,-1,0.000000
6,0,37,-1,-1,11622,0,20,165,35,0,28,37,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,33,47,89,951,0,14,13,14,31,11,33,47,89,2.384615
10,0,38,-1,-1,14925,0,3,202,25,0,37,38,-1,-1,0.000000
11,0,34,85,-1,3454,1,29,87,40,11,15,34,85,-1,0.126437
12,0,34,75,-1,3283,1,46,61,40,24,2,34,75,-1,0.393443
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,36,52,-1,7588,0,6,65,14,46,4,36,52,-1,0.707692
15,0,36,64,-1,7967,0,7,132,23,31,10,36,64,-1,0.234848
16,0,36,65,-1,7425,0,13,133,27,26,11,36,65,-1,0.195489
17,0,37,-1,-1,12909,0,5,165,36,0,27,37,-1,-1,0.000000
18,0,36,-1,-1,10058,1,14,107,32,0,32,36,-1,-1,0.000000
19,0,37,-1,-1,11790,0,49,211,0,0,63,37,-1,-1,0.000000
20,0,37,-1,-1,10687,0,52,199,5,0,58,37,-1,-1,0.000000
21,0,35,44,-1,5621,0,6,107,8,50,7,35,44,-1,0.467290
22,0,33,46,72,1200,0,11,19,13,25,1,33,46,72,1.315789
23,0,35,67,-1,6951,0,13,91,23,24,18,35,67,-1,0.263736
