timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,24000,23999,1,15999,1,0,0,0.7758397
2,0,24000,23998,2,15998,2,0,0,0.7820821
3,0,24000,23997,3,15997,3,0,0,0.7719739
4,0,24000,23996,4,15996,4,0,0,0.7707655
5,0,24000,23995,5,15995,5,0,0,0.7712321
6,0,24000,23994,6,15994,6,0,0,0.7706602
7,0,24000,23993,7,15993,7,0,0,0.7760973
8,0,24000,23992,8,15992,8,0,0,0.7766559
9,0,24000,23991,9,15991,9,0,0,0.7789645
10,0,24000,23990,10,15990,10,0,0,0.8513215
11,0,24000,23989,11,15989,11,0,0,0.7880845
12,0,24000,23988,12,15988,12,0,0,0.7780306
13,0,24000,23987,13,15987,13,0,0,0.7787691
14,0,24000,23986,14,15986,14,0,0,0.782825
15,0,24000,23985,15,15985,15,0,0,0.7919862
16,0,24000,23984,16,15984,16,0,0,0.8010818
17,0,24000,23983,17,15983,17,0,0,0.8057999
18,0,24000,23982,18,15982,18,0,0,0.7886213
19,0,24000,23981,19,15981,17,2,0,0.7770815
20,0,24000,23980,20,15980,18,2,0,0.7806822
21,0,24000,23979,21,15979,18,3,0,0.778182
22,0,24000,23978,22,15978,19,3,1,0.7741113
23,0,24000,23977,23,15977,20,3,1,0.7771969
24,0,24000,23976,24,15976,21,3,1,0.7769786
25,0,24000,23975,25,15975,22,3,1,0.7737989
26,0,24000,23974,26,15974,19,7,1,0.7780282
27,0,24000,23973,27,15973,19,8,2,0.7771329
28,0,24000,23972,28,15972,19,9,3,0.7824535
29,0,24000,23971,29,15971,20,9,3,0.7784301
30,0,24000,23970,30,15970,20,10,3,0.7773763
31,0,24000,23969,31,15969,21,10,3,0.7747256
32,0,24000,23968,32,15968,22,10,3,0.7760984
33,1,24000,23968,32,15968,23,9,3,0.781675
34,2,24000,23968,32,15968,24,8,3,0.7765331
35,2,24000,23967,33,15967,25,8,3,0.780429
36,2,24000,23966,34,15966,26,8,3,0.7795956
37,2,24000,23965,35,15965,27,8,3,0.7739162
38,2,24000,23964,36,15964,28,8,3,0.7835732
39,2,24000,23963,37,15963,29,8,3,0.7816252
40,2,24000,23962,38,15962,29,9,3,0.7789119
41,2,24000,23961,39,15961,29,10,3,0.7827685
42,3,24000,23961,39,15961,30,9,3,0.7802244
43,4,24000,23961,39,15961,29,10,3,0.7806959
44,4,24000,23960,40,15960,26,14,3,0.7791896
45,5,24000,23960,40,15960,27,13,3,0.7881185
46,5,24000,23959,41,15959,27,14,3,0.7761019
47,5,24000,23958,42,15958,27,15,3,0.7878637
48,6,24000,23958,42,15958,28,14,3,0.7759037
49,6,24000,23957,43,15957,28,15,3,0.7730274
50,6,24000,23956,44,15956,29,15,3,0.7759124
51,8,24000,23957,43,15957,30,13,3,0.7732184
52,8,24000,23956,44,15956,30,14,3,0.7810069
53,8,24000,23955,45,15955,30,15,4,0.7741756
54,9,24000,23955,45,15955,30,15,4,0.7744244
