task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,50,-1,-1,3737,1,21,53,12,0,38,50,-1,-1,0.000000
1,0,53,-1,-1,10402,1,63,147,18,0,29,53,-1,-1,0.000000
2,0,53,-1,-1,9691,0,36,107,24,0,23,53,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,52,81,-1,7965,0,3,87,19,13,16,52,81,-1,0.149425
5,0,54,-1,-1,12828,0,18,219,22,0,24,54,-1,-1,0.000000
6,0,54,-1,-1,13848,0,66,165,0,0,46,54,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,35,63,-1,63,0,28,13,28,26,11,35,63,-1,2.000000
10,0,55,82,-1,15765,1,23,202,16,15,14,55,82,-1,0.074257
11,0,52,82,-1,7121,0,7,87,27,17,4,52,82,-1,0.195402
12,0,50,87,-1,3552,0,33,61,37,11,2,50,87,-1,0.180328
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,54,-1,-1,12619,0,8,65,25,0,21,54,-1,-1,0.000000
15,0,52,-1,-1,8582,0,43,132,15,0,33,52,-1,-1,0.000000
16,0,53,55,-1,10964,0,1,133,1,33,13,53,55,-1,0.248120
17,0,54,-1,-1,11647,0,3,165,26,0,20,54,-1,-1,0.000000
18,0,52,89,-1,7836,0,14,107,20,9,19,52,89,-1,0.084112
19,0,55,-1,-1,17003,0,52,211,13,0,32,55,-1,-1,0.000000
20,0,56,99,-1,17930,1,33,199,33,1,10,56,99,-1,0.005025
21,0,52,-1,-1,8748,0,19,107,8,0,40,52,-1,-1,0.000000
22,0,45,-1,-1,130,0,64,19,55,0,0,45,-1,-1,0.000000
23,0,52,77,-1,7651,0,9,91,19,21,8,52,77,-1,0.230769
24,0,55,-1,-1,16806,0,8,169,36,0,9,55,-1,-1,0.000000
25,0,79,-1,-1,3199,0,15,134,20,0,1,79,-1,-1,0.000000
26,0,54,-1,-1,13495,0,35,149,10,0,36,54,-1,-1,0.000000
27,0,-1,-1,-1,-1,0,-1,257,0,0,0,-1,-1,-1,0.000000
28,0,51,55,-1,4508,0,2,79,2,41,6,51,55,-1,0.518987
29,0,-1,-1,-1,-1,0,-1,241,0,0,0,-1,-1,-1,0.000000
30,0,-1,-1,-1,-1,0,-1,287,0,0,0,-1,-1,-1,0.000000
31,0,51,-1,-1,6549,0,28,85,34,0,15,51,-1,-1,0.000000
32,0,-1,-1,-1,-1,0,-1,497,0,0,0,-1,-1,-1,0.000000
33,0,13,35,60,17,0,22,25,22,25,0,13,35,60,1.000000
34,0,49,49,85,1212,0,0,31,0,35,1,49,49,85,1.129032
35,0,49,-1,-1,1524,1,51,45,51,0,0,49,-1,-1,0.000000
36,0,55,-1,-1,16422,1,7,151,20,0,25,55,-1,-1,0.000000
37,0,52,-1,-1,7775,1,29,103,19,0,29,52,-1,-1,0.000000
38,0,50,-1,-1,3425,2,31,43,40,0,10,50,-1,-1,0.000000
39,0,54,-1,-1,14453,0,51,205,19,0,27,54,-1,-1,0.000000
40,0,-1,-1,-1,-1,0,-1,277,0,0,0,-1,-1,-1,0.000000
41,0,-1,-1,-1,-1,0,-1,467,0,0,0,-1,-1,-1,0.000000
42,0,-1,-1,-1,-1,0,-1,344,0,0,0,-1,-1,-1,0.000000
43,0,-1,-1,-1,-1,0,-1,279,0,0,0,-1,-1,-1,0.000000
44,0,-1,-1,-1,-1,0,-1,453,0,0,0,-1,-1,-1,0.000000
