timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,30000,29999,1,19999,1,0,0,0.733582
2,0,30000,29998,2,19998,2,0,0,0.7346292
3,0,30000,29997,3,19997,3,0,0,0.7323318
4,0,30000,29996,4,19996,2,2,0,0.7345922
5,0,30000,29995,5,19995,3,2,0,0.7349443
6,0,30000,29994,6,19994,4,2,0,0.7349031
7,0,30000,29993,7,19993,5,2,0,0.7387174
8,0,30000,29992,8,19992,6,2,0,0.7372243
9,0,30000,29990,10,19990,7,3,0,0.7372361
10,0,30000,29988,12,19988,9,3,1,0.7373176
11,0,30000,29986,14,19986,11,3,1,0.7391061
12,0,30000,29984,16,19984,12,4,1,0.7444679
13,1,30000,29983,17,19983,13,4,1,0.7506625
14,1,30000,29980,20,19980,15,5,1,0.7459972
15,1,30000,29979,21,19979,16,5,2,0.74926
16,1,30000,29975,25,19975,20,5,2,0.7461244
17,1,30000,29971,29,19971,22,7,2,0.7393616
18,1,30000,29970,30,19970,22,8,3,0.7524753
19,1,30000,29969,31,19969,20,11,3,0.743335
20,1,30000,29968,32,19968,21,11,4,0.7978585
21,1,30000,29967,33,19967,22,11,4,0.7545706
22,2,30000,29967,33,19967,22,11,4,0.7562886
23,3,30000,29967,33,19967,23,10,4,0.7736612
24,3,30000,29965,35,19965,24,11,4,0.7603119
25,3,30000,29963,37,19963,26,11,5,0.7586699
26,4,30000,29963,37,19963,27,10,5,0.739727
27,4,30000,29959,41,19959,31,10,5,0.8081666
28,5,30000,29958,42,19958,32,10,5,0.7485593
29,5,30000,29956,44,19956,33,11,5,0.7478507
30,5,30000,29953,47,19953,36,11,5,0.7407832
31,5,30000,29948,52,19948,39,13,5,0.7444352
32,6,30000,29947,53,19947,41,12,5,0.7462873
33,8,30000,29943,57,19943,45,12,5,0.7481706
34,8,30000,29939,61,19939,49,12,6,0.7517466
35,9,30000,29934,66,19934,51,15,6,0.7479706
36,9,30000,29933,67,19933,51,16,7,0.7498013
37,10,30000,29933,67,19933,52,15,7,0.7499967
38,10,30000,29927,73,19927,53,20,7,0.7479031
39,10,30000,29921,79,19921,59,20,8,0.7494223
40,10,30000,29914,86,19914,62,24,9,0.745461
41,10,30000,29898,102,19898,75,27,9,0.7476582
42,10,30000,29893,107,19893,79,28,10,0.7436632
43,11,30000,29890,110,19890,81,29,11,0.7455124
44,11,30000,29883,117,19883,86,31,11,0.7450468
45,12,30000,29820,180,19820,146,34,11,0.7411699
46,13,30000,29804,196,19804,153,43,11,0.7439582
47,13,30000,29781,219,19781,175,44,12,0.7422454
48,14,30000,29535,465,19535,407,58,12,0.7472444
49,14,30000,27795,2205,17795,2076,129,14,0.7640702
50,16,30000,25572,4428,15572,4214,214,57,0.7596216
51,16,30000,23374,6626,13374,6306,320,874,0.7552974
52,17,30000,21119,8881,11119,8460,421,2976,0.7612375
53,20,30000,18419,11581,8419,11059,522,6474,0.7584967
54,22,30000,15445,14555,5445,13906,649,11569,0.7528648
55,27,30000,12588,17412,2588,16628,784,18363,0.7499042
56,30,30000,10003,19997,3,19110,887,26667,0.7441171
57,35,30000,10005,19995,5,18997,998,36501,0.7459779
58,38,30000,10003,19997,3,18893,1104,46005,0.7530817
59,41,30000,10003,19997,3,18783,1214,55321,0.7593661
60,46,30000,10005,19995,5,18685,1310,64329,0.7483595
61,50,30000,10004,19996,4,18584,1412,73110,0.7467633
62,53,30000,10003,19997,3,18495,1502,81650,0.7508982
63,62,30000,10009,19991,9,18381,1610,90050,0.7453764
64,66,30000,10004,19996,4,18285,1711,98347,0.7446052
65,81,30000,10015,19985,15,18165,1820,106518,0.7527644
66,85,30000,10004,19996,4,18084,1912,114547,0.7500621
67,95,30000,10010,19990,10,17965,2025,122499,0.7460018
68,101,30000,10006,19994,6,17864,2130,130294,0.7483927
69,110,30000,10009,19991,9,17772,2219,138089,0.7472722
70,116,30000,10006,19994,6,17674,2320,145870,0.7512911
71,122,30000,10006,19994,6,17551,2443,153594,0.7483224
72,133,30000,10011,19989,11,17436,2553,161329,0.7502011
73,142,30000,10009,19991,9,17327,2664,169060,0.7489662
74,154,30000,10012,19988,12,17219,2769,176741,0.7588433
75,171,30000,10017,19983,17,17121,2862,184401,0.7658096
76,184,30000,10013,19987,13,17035,2952,192080,0.747715
77,199,30000,10015,19985,15,16932,3053,199742,0.7536531
78,207,30000,10008,19992,8,16828,3164,207485,0.7666566
79,217,30000,10010,19990,10,16709,3281,215115,0.7564777
80,239,30000,10022,19978,22,16605,3373,222812,0.7481565
81,261,30000,10022,19978,22,16518,3460,230544,0.7611778
82,278,30000,10017,19983,17,16416,3567,238235,0.7502954
83,297,30000,10019,19981,19,16321,3660,245965,0.7459366
84,310,30000,10013,19987,13,16233,3754,253835,0.7478994
85,328,30000,10018,19982,18,16130,3852,261648,0.7449003
86,351,30000,10023,19977,23,16053,3924,269478,0.7519441
87,368,30000,10017,19983,17,15972,4011,277377,0.7461495
88,385,30000,10017,19983,17,15887,4096,285422,0.7471855
89,399,30000,10014,19986,14,15803,4183,293451,0.7456413
90,415,30000,10016,19984,16,15711,4273,301455,0.7513005
91,436,30000,10021,19979,21,15628,4351,309535,0.7505532
92,447,30000,10011,19989,11,15548,4441,317576,0.7541768
93,465,30000,10018,19982,18,15448,4534,325683,0.7496444
94,490,30000,10025,19975,25,15364,4611,333767,0.7462769
95,513,30000,10023,19977,23,15285,4692,341976,0.7488714
96,535,30000,10022,19978,22,15206,4772,350268,0.7497155
97,562,30000,10027,19973,27,15116,4857,358545,0.7451283
98,586,30000,10024,19976,24,15036,4940,366819,0.7474699
99,609,30000,10023,19977,23,14959,5018,375174,0.746321
100,630,30000,10021,19979,21,14886,5093,383604,0.7529245
