timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,12000,11989,11,7989,11,0,0,0.8547091
2,0,12000,11991,9,7991,9,0,0,0.8461436
3,0,12000,11975,25,7975,25,0,1,0.8481327
4,0,12000,11972,28,7972,28,0,2,0.8510055
5,0,12000,11960,40,7960,40,0,3,0.8533277
6,0,12000,11969,31,7969,31,0,3,0.8519417
7,0,12000,11941,59,7941,59,0,3,0.8505182
8,0,12000,11927,73,7927,73,0,3,0.8497321
9,0,12000,11858,142,7858,142,0,5,0.8521898
10,0,12000,11710,290,7710,290,0,5,0.8517424
11,0,12000,11472,528,7472,528,0,7,0.8500135
12,0,12000,11180,820,7180,820,0,15,0.8516869
13,0,12000,10838,1162,6838,1162,0,24,0.8521767
14,0,12000,10559,1441,6559,1441,0,50,0.8538284
15,0,12000,10349,1651,6349,1651,0,75,0.8560607
16,0,12000,10241,1759,6241,1759,0,109,0.8538745
17,0,12000,9986,2014,5986,2014,0,144,0.8544262
18,0,12000,9975,2025,5975,2025,0,195,0.854541
19,0,12000,9950,2050,5950,2050,0,234,0.8521228
20,0,12000,9984,2016,5984,2016,0,278,0.8535577
21,0,12000,9807,2193,5807,2193,0,310,0.8561362
22,0,12000,9852,2148,5852,2148,0,365,0.8538128
23,0,12000,9776,2224,5776,2224,0,430,0.8565225
24,0,12000,9817,2183,5817,2183,0,516,0.8539987
25,0,12000,9765,2235,5765,2235,0,604,0.8521337
26,0,12000,9883,2117,5883,2117,0,727,0.8537761
27,0,12000,9617,2383,5617,2383,0,826,0.8539254
28,0,12000,9748,2252,5748,2252,0,992,0.8529151
29,0,12000,9848,2152,5848,2152,0,1158,0.8528273
30,0,12000,9739,2261,5739,2261,0,1318,0.853398
31,0,12000,9846,2154,5846,2154,0,1508,0.8586996
32,0,12000,9589,2411,5589,2411,0,1722,0.8554968
33,0,12000,9629,2371,5629,2371,0,1966,0.8537808
34,0,12000,9620,2380,5620,2380,0,2230,0.8514342
35,0,12000,9836,2164,5836,2164,0,2509,0.8537988
36,0,12000,9766,2234,5766,2234,0,2788,0.8543918
37,0,12000,9586,2414,5586,2414,0,3099,0.8553678
38,0,12000,9769,2231,5769,2231,0,3493,0.8559292
39,0,12000,9762,2238,5762,2238,0,3860,0.8564097
40,0,12000,9413,2587,5413,2587,0,4238,0.8513274
41,0,12000,9688,2312,5688,2312,0,4737,0.8554127
42,0,12000,9542,2458,5542,2458,0,5179,0.8547352
43,0,12000,9450,2550,5450,2550,0,5645,0.8575435
44,0,12000,9538,2462,5538,2462,0,6185,0.8535747
45,0,12000,9362,2638,5362,2638,0,6694,0.8552438
46,0,12000,9586,2414,5586,2414,0,7278,0.8536085
47,0,12000,9495,2505,5495,2505,0,7825,0.8531162
48,0,12000,9627,2373,5627,2373,0,8363,0.8548298
49,0,12000,9689,2311,5689,2311,0,8901,0.8539949
50,0,12000,9595,2405,5595,2405,0,9453,0.8568183
51,0,12000,9365,2635,5365,2635,0,10032,0.8565846
52,0,12000,9423,2577,5423,2577,0,10665,0.8534888
53,0,12000,10008,1992,6008,1992,0,11330,0.8625876
54,0,12000,9579,2421,5579,2421,0,11822,0.8611976
55,0,12000,9661,2339,5661,2339,0,12442,0.8548215
56,0,12000,9520,2480,5520,2480,0,13030,0.8596011
57,0,12000,9535,2465,5535,2465,0,13670,0.8538694
58,0,12000,9471,2529,5471,2529,0,14321,0.8551925
59,0,12000,9437,2563,5437,2563,0,14983,0.8516675
60,0,12000,9457,2543,5457,2543,0,15656,0.8550012
61,0,12000,9581,2419,5581,2419,0,16293,0.8586168
62,0,12000,9795,2205,5795,2205,0,16936,0.8549394
63,0,12000,9705,2295,5705,2295,0,17522,0.8574272
64,0,12000,9570,2430,5570,2430,0,18162,0.8542492
65,0,12000,9589,2411,5589,2411,0,18815,0.854636
66,0,12000,9671,2329,5671,2329,0,19526,0.8584344
67,0,12000,9611,2389,5611,2389,0,20199,0.8642262
68,0,12000,9644,2356,5644,2356,0,20829,0.8545578
69,0,12000,9461,2539,5461,2539,0,21462,0.8594964
70,0,12000,9540,2460,5540,2460,0,22147,0.8551782
71,0,12000,9501,2499,5501,2499,0,22788,0.8535773
72,0,12000,9700,2300,5700,2300,0,23457,0.8545267
73,0,12000,9592,2408,5592,2408,0,24057,0.8548683
74,0,12000,9600,2400,5600,2400,0,24738,0.8592278
75,0,12000,9360,2640,5360,2640,0,25447,0.8613994
76,0,12000,9585,2415,5585,2415,0,26256,0.8581754
77,0,12000,9460,2540,5460,2540,0,27015,0.8602533
78,0,12000,9679,2321,5679,2321,0,27787,0.8606599
79,0,12000,9292,2708,5292,2708,0,28473,0.8582773
80,0,12000,9619,2381,5619,2381,0,29239,0.8624703
81,0,12000,9360,2640,5360,2640,0,29910,0.8561975
82,0,12000,9378,2622,5378,2622,0,30643,0.8564969
83,0,12000,9381,2619,5381,2619,0,31430,0.8582271
84,0,12000,9266,2734,5266,2734,0,32174,0.8557855
85,0,12000,9530,2470,5530,2470,0,32995,0.8555384
86,0,12000,9332,2668,5332,2668,0,33752,0.8588436
87,0,12000,9478,2522,5478,2522,0,34562,0.860671
88,0,12000,9244,2756,5244,2756,0,35323,0.8612567
89,0,12000,9565,2435,5565,2435,0,36113,0.8566519
90,0,12000,9531,2469,5531,2469,0,36841,0.8567215
91,0,12000,9737,2263,5737,2263,0,37540,0.8767111
92,0,12000,9182,2818,5182,2818,0,38200,0.8575823
93,0,12000,9365,2635,5365,2635,0,38996,0.8632066
94,0,12000,9454,2546,5454,2546,0,39761,0.8573393
95,0,12000,9689,2311,5689,2311,0,40491,0.8629166
96,0,12000,9585,2415,5585,2415,0,41159,0.8575584
97,0,12000,9632,2368,5632,2368,0,41859,0.8612086
98,0,12000,9504,2496,5504,2496,0,42555,0.8638932
99,0,12000,9751,2249,5751,2249,0,43308,0.8644684
100,0,12000,9602,2398,5602,2398,0,43995,0.8605223
101,0,12000,9818,2182,5818,2182,0,44769,0.8630255
102,0,12000,9441,2559,5441,2559,0,45459,0.8611325
103,0,12000,9380,2620,5380,2620,0,46237,0.8597516
104,0,12000,9170,2830,5170,2830,0,47059,0.8570157
105,0,12000,9218,2782,5218,2782,0,47886,0.8553419
106,0,12000,9688,2312,5688,2312,0,48658,0.8575531
107,0,12000,9494,2506,5494,2506,0,49330,0.8566195
108,0,12000,9404,2596,5404,2596,0,50027,0.8569785
109,0,12000,9370,2630,5370,2630,0,50806,0.8573747
110,0,12000,9442,2558,5442,2558,0,51573,0.8610781
111,0,12000,9273,2727,5273,2727,0,52374,0.8612743
112,0,12000,9418,2582,5418,2582,0,53231,0.8577331
113,0,12000,9359,2641,5359,2641,0,54060,0.8629462
114,0,12000,9474,2526,5474,2526,0,54919,0.8606009
115,0,12000,9461,2539,5461,2539,0,55735,0.8573671
116,0,12000,9425,2575,5425,2575,0,56527,0.8592895
117,0,12000,9192,2808,5192,2808,0,57327,0.8603811
118,0,12000,9460,2540,5460,2540,0,58181,0.8559516
119,0,12000,9199,2801,5199,2801,0,58949,0.8566845
120,0,12000,9410,2590,5410,2590,0,59788,0.8573246
121,0,12000,9319,2681,5319,2681,0,60520,0.8606162
122,0,12000,9467,2533,5467,2533,0,61308,0.8571807
