timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,18000,17999,1,11999,1,0,0,0.8076077
2,0,18000,17998,2,11998,2,0,0,0.8080611
3,0,18000,17997,3,11997,3,0,0,0.8084645
4,0,18000,17996,4,11996,4,0,0,0.8117334
5,0,18000,17995,5,11995,5,0,0,0.8112598
6,0,18000,17994,6,11994,6,0,0,0.8134925
7,0,18000,17993,7,11993,6,1,0,0.8144151
8,0,18000,17992,8,11992,7,1,0,0.8170517
9,0,18000,17991,9,11991,8,1,0,0.8178356
10,0,18000,17990,10,11990,9,1,0,0.8135933
11,0,18000,17989,11,11989,10,1,0,0.8134573
12,0,18000,17988,12,11988,11,1,0,0.8211699
13,0,18000,17987,13,11987,12,1,0,0.8132576
14,0,18000,17986,14,11986,13,1,0,0.8107746
15,0,18000,17985,15,11985,14,1,0,0.8150869
16,0,18000,17984,16,11984,15,1,0,0.8200329
17,0,18000,17983,17,11983,16,1,0,0.8153798
18,0,18000,17982,18,11982,15,3,0,0.8165892
19,0,18000,17981,19,11981,16,3,0,0.8157061
20,0,18000,17980,20,11980,16,4,0,0.8171915
21,0,18000,17979,21,11979,17,4,0,0.8134475
22,0,18000,17978,22,11978,18,4,0,0.8145133
23,0,18000,17977,23,11977,17,6,0,0.8133406
24,0,18000,17976,24,11976,17,7,0,0.8160145
25,0,18000,17975,25,11975,18,7,0,0.8101806
26,0,18000,17974,26,11974,19,7,0,0.8119388
27,0,18000,17973,27,11973,19,8,0,0.8135054
28,0,18000,17972,28,11972,19,9,0,0.8123751
29,0,18000,17971,29,11971,19,10,0,0.8104292
30,0,18000,17970,30,11970,20,10,0,0.8135482
31,0,18000,17969,31,11969,20,11,0,0.8111276
32,0,18000,17968,32,11968,21,11,0,0.8124003
33,0,18000,17967,33,11967,21,12,0,0.8134465
34,0,18000,17966,34,11966,20,14,0,0.8112563
35,0,18000,17965,35,11965,21,14,0,0.8134501
36,0,18000,17964,36,11964,20,16,0,0.8137339
37,0,18000,17963,37,11963,20,17,0,0.8146708
38,1,18000,17914,86,11914,67,19,0,0.8134065
39,3,18000,17685,315,11685,289,26,0,0.8114845
40,6,18000,17488,512,11488,481,31,3,0.8113638
41,6,18000,17188,812,11188,754,58,4,0.8125194
42,6,18000,16931,1069,10931,989,80,6,0.8133367
43,6,18000,16620,1380,10620,1274,106,7,0.8175458
44,6,18000,16341,1659,10341,1523,136,18,0.8159582
45,6,18000,16076,1924,10076,1744,180,28,0.8200602
46,6,18000,15836,2164,9836,1937,227,44,0.8149856
