agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,2,41,207,8,38,202
1,1,3,100,147,10,95,142
2,2,5,39,206,4,39,202
3,1,5,36,209,14,36,195
4,1,6,30,214,2,30,212
5,2,8,51,191,10,45,187
6,2,9,94,147,10,86,145
7,1,9,42,199,17,33,191
8,1,10,56,184,4,54,182
9,1,11,34,205,5,33,201
10,1,12,119,119,20,102,116
11,1,13,86,151,13,81,143
12,1,14,15,221,11,14,211
13,2,16,92,142,13,87,134
14,3,18,87,145,24,75,133
15,0,16,49,185,12,47,175
16,1,18,34,198,5,34,193
17,2,20,101,129,25,95,110
18,1,20,67,163,23,67,140
19,1,21,53,176,16,52,161
20,1,22,73,155,23,63,142
21,3,25,60,165,3,60,162
22,1,24,97,129,14,92,120
23,1,25,31,194,5,28,192
24,0,25,62,163,10,60,155
25,2,28,55,167,29,48,145
26,1,28,67,155,20,52,150
27,2,30,68,152,11,64,145
28,1,30,83,137,12,76,132
29,2,32,111,107,17,102,99
30,1,32,31,187,8,28,182
31,1,33,53,164,37,46,134
32,1,33,101,116,8,98,111
33,0,32,56,162,5,56,157
34,1,33,78,139,20,74,123
35,2,34,45,171,5,43,168
36,2,34,79,137,25,73,118
37,1,33,86,131,26,76,115
38,1,33,73,144,21,69,127
39,0,32,37,181,5,36,177
40,2,34,83,133,3,81,132
41,1,33,66,151,25,63,129
42,2,34,45,171,5,41,170
43,1,33,86,131,13,79,125
44,1,33,60,157,6,60,151
45,1,33,118,99,18,103,96
46,1,33,25,192,9,23,185
47,1,33,51,166,26,37,154
48,1,33,43,174,10,37,170
49,2,34,41,175,2,39,175
50,2,34,78,138,9,75,132
51,1,33,75,142,8,70,139
52,0,32,86,132,13,82,123
53,0,32,41,177,13,40,165
54,2,34,74,142,21,63,132
55,1,33,27,190,18,26,173
56,1,33,33,184,12,33,172
57,1,33,31,186,10,26,181
58,1,33,85,132,17,80,120
59,1,33,72,145,34,68,115
60,2,34,52,164,14,48,154
61,1,33,64,153,19,61,137
62,2,34,109,107,18,106,92
63,0,32,67,151,10,66,142
64,1,33,30,187,1,30,186
65,1,33,45,172,5,44,168
66,1,33,9,208,3,9,205
67,1,33,78,139,15,78,124
68,1,33,45,172,13,45,159
69,1,33,34,183,10,31,176
70,1,33,37,180,19,37,161
71,2,34,53,163,12,53,151
72,1,33,51,166,5,50,162
73,1,33,87,130,18,81,118
74,1,33,73,144,12,68,137
75,2,34,128,88,20,112,84
76,1,33,27,190,18,21,178
77,1,33,115,102,26,107,84
78,1,33,36,181,3,35,179
79,1,33,101,116,23,89,105
80,1,33,66,151,10,62,145
81,1,33,63,154,20,53,144
82,1,33,97,120,15,94,108
83,1,33,46,171,7,41,169
84,2,34,53,163,17,47,152
85,1,33,109,108,24,102,91
86,1,33,50,167,38,49,130
87,1,33,69,148,12,66,139
88,2,34,130,86,23,117,76
89,1,33,60,157,20,52,145
90,1,33,12,205,5,12,200
91,1,33,53,164,20,46,151
92,1,33,36,181,18,32,167
93,1,33,65,152,11,64,142
94,2,34,76,140,19,67,130
95,1,33,48,169,14,43,160
96,1,33,28,189,17,27,173
97,1,33,19,198,12,14,191
98,1,33,69,148,19,66,132
99,1,33,20,197,21,20,176
100,2,34,57,159,8,55,153
101,1,33,43,174,13,43,161
102,1,33,34,183,15,31,171
103,1,33,69,148,8,68,141
104,2,34,48,168,15,48,153
105,2,34,64,152,22,59,135
106,1,33,27,190,21,26,170
107,1,33,103,114,9,97,111
108,1,33,36,181,10,31,176
109,1,33,81,136,13,78,126
110,1,33,78,139,11,72,134
111,2,34,53,163,20,48,148
112,1,33,88,129,9,82,126
113,1,33,39,178,12,38,167
114,2,34,92,124,6,92,118
115,1,33,21,196,10,20,187
116,1,33,54,163,19,50,148
117,3,35,57,158,7,55,153
118,1,33,65,152,3,64,150
119,1,33,123,94,11,115,91
120,2,34,34,182,4,34,178
121,1,33,39,178,18,34,165
122,1,33,90,127,24,81,112
123,1,33,40,177,17,37,163
124,2,34,55,161,7,53,156
125,1,33,38,179,11,38,168
126,1,33,108,109,14,103,100
127,1,33,105,112,24,92,101
128,0,32,73,145,13,73,132
129,1,33,33,184,16,32,169
130,1,33,76,141,13,72,132
131,1,33,62,155,16,52,149
132,2,34,76,140,13,71,132
133,1,33,107,110,15,105,97
134,1,33,58,159,17,54,146
135,1,33,22,195,12,21,184
136,2,34,55,161,9,50,157
137,1,33,93,124,22,86,109
138,2,34,57,159,10,52,154
139,2,34,64,152,9,61,146
140,1,33,66,151,24,64,129
141,1,33,57,160,10,56,151
142,1,33,40,177,8,40,169
143,1,33,34,183,11,33,173
144,2,34,83,133,18,73,125
145,1,33,38,179,8,37,172
146,1,33,32,185,15,28,174
147,2,34,54,162,23,39,154
148,1,33,34,183,14,27,176
149,0,32,51,167,7,51,160
150,1,33,123,94,10,118,89
151,1,33,35,182,9,35,173
152,1,33,71,146,9,69,139
153,1,33,88,129,10,86,121
154,1,33,54,163,14,53,150
155,1,33,53,164,14,46,157
156,0,32,45,173,14,43,161
157,2,34,91,125,16,91,109
158,1,33,113,104,4,113,100
159,2,34,69,147,8,69,139
160,1,33,100,117,21,90,106
161,2,34,69,147,12,64,140
162,1,33,46,171,7,42,168
163,1,33,68,149,11,65,141
164,1,33,23,194,9,22,186
165,1,33,79,138,8,78,131
166,0,32,34,184,5,34,179
167,1,33,41,176,13,38,166
168,1,33,65,152,15,61,141
169,2,35,82,133,19,74,122
170,1,34,49,167,21,38,157
171,1,34,89,127,5,84,127
172,1,34,34,182,12,31,173
173,2,35,87,128,16,77,122
174,1,34,29,187,17,21,178
175,0,33,48,169,10,47,160
176,1,34,52,164,13,47,156
177,2,35,41,174,13,39,163
178,2,35,38,177,14,37,164
179,2,35,97,118,26,82,107
180,1,34,63,153,19,53,144
181,1,34,45,171,7,45,164
182,1,34,28,188,8,27,181
183,1,34,60,156,6,60,150
184,1,34,36,180,7,35,174
185,1,34,22,194,6,19,191
186,2,35,65,150,1,65,149
187,1,34,21,195,6,21,189
188,1,34,68,148,6,66,144
189,1,34,104,112,27,94,95
190,2,35,45,170,24,35,156
191,1,34,79,137,14,76,126
192,1,34,37,179,11,34,171
193,1,34,58,158,21,51,144
194,1,34,52,164,8,51,157
195,1,34,21,195,7,20,189
196,2,35,67,148,22,60,133
197,2,35,109,106,28,90,97
198,1,34,48,168,12,44,160
199,1,34,50,166,23,43,150
200,1,34,64,152,8,59,149
201,2,35,123,92,14,113,88
202,1,34,120,96,26,112,78
203,1,34,85,131,4,84,128
204,1,34,58,158,8,57,151
205,1,34,61,155,13,56,147
206,1,34,40,176,10,37,169
207,1,34,99,117,23,90,103
208,1,34,35,181,5,34,177
209,0,33,49,168,15,46,156
210,0,33,53,164,4,52,161
211,1,34,66,150,17,64,135
212,1,34,28,188,14,27,175
213,1,34,31,185,18,30,168
214,1,34,95,121,8,92,116
215,1,34,43,173,9,40,167
216,1,34,73,143,11,71,134
217,1,34,60,156,14,58,144
218,1,34,38,178,15,38,163
219,2,35,31,184,5,30,180
220,1,34,140,76,18,129,69
221,1,34,77,139,13,68,135
222,1,34,78,138,9,76,131
223,0,33,46,171,11,43,163
224,1,34,58,158,16,54,146
225,2,35,83,132,20,75,120
226,1,34,92,124,23,86,107
227,1,34,43,173,5,43,168
228,1,34,6,210,8,5,203
229,2,35,83,132,33,78,104
230,1,34,51,165,8,48,160
231,1,34,36,180,18,24,174
232,1,34,57,159,5,55,156
233,1,34,64,152,11,55,150
234,2,35,98,117,20,87,108
235,1,34,55,161,6,50,160
236,1,34,71,145,17,69,130
237,1,34,40,176,15,40,161
238,1,34,63,153,15,58,143
239,1,34,23,193,8,21,187
240,1,34,102,114,22,95,99
241,2,35,52,163,21,44,150
242,1,34,54,162,13,50,153
243,1,34,69,147,11,68,137
244,2,35,59,156,5,56,154
245,2,35,60,155,17,58,140
246,0,33,32,185,5,32,180
247,1,34,98,118,17,92,107
248,1,34,46,170,10,45,161
249,0,33,45,172,7,45,165
250,1,34,64,152,17,59,140
251,1,34,38,178,5,34,177
252,1,34,52,164,7,48,161
253,1,34,19,197,15,19,182
254,2,35,45,170,20,37,158
255,1,34,24,192,9,22,185
256,0,33,42,175,15,40,162
257,0,33,39,178,5,38,174
258,1,34,62,154,22,54,140
259,1,34,73,143,18,61,137
260,1,34,25,191,9,25,182
261,1,34,103,113,23,96,97
262,1,34,30,186,31,30,155
263,1,34,71,145,12,65,139
264,1,34,35,181,4,33,179
265,1,34,17,199,9,15,192
266,2,35,38,177,13,31,171
267,1,34,47,169,16,43,157
268,1,34,89,127,13,79,124
269,1,34,44,172,7,40,169
270,1,34,117,99,15,108,93
271,1,34,29,187,3,28,185
272,1,34,75,141,15,74,127
273,2,35,37,178,9,33,173
274,1,34,95,121,16,91,109
