timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,12000,11988,12,7988,12,0,0,0.8464903
2,0,12000,11979,21,7979,21,0,1,0.8450962
3,0,12000,11961,39,7961,39,0,4,0.8472789
4,0,12000,11945,55,7945,55,0,6,0.8490565
5,0,12000,11925,75,7925,75,0,6,0.8503878
6,0,12000,11887,113,7887,113,0,6,0.8462266
7,0,12000,11802,198,7802,198,0,6,0.8545679
8,0,12000,11518,482,7518,482,0,6,0.8503521
9,0,12000,10814,1186,6814,1186,0,7,0.8546463
10,0,12000,9984,2016,5984,2016,0,22,0.8517777
11,0,12000,9202,2798,5202,2798,0,47,0.8547381
12,0,12000,8497,3503,4497,3503,0,97,0.8524464
13,0,12000,7810,4190,3810,4190,0,157,0.8526661
14,0,12000,7145,4855,3145,4855,0,234,0.8502053
15,0,12000,6432,5568,2432,5568,0,320,0.8544484
16,0,12000,5797,6203,1797,6203,0,400,0.8499571
17,0,12000,4000,8000,0,7844,156,492,0.8521869
18,0,12000,4000,8000,0,7684,316,581,0.850278
19,0,12000,4000,8000,0,7528,472,690,0.858738
20,0,12000,4000,8000,0,7364,636,825,0.8557196
21,0,12000,4000,8000,0,7198,802,965,0.8514903
22,0,12000,4000,8000,0,7029,971,1109,0.852355
23,0,12000,4000,8000,0,6888,1112,1289,0.8586745
24,0,12000,4000,8000,0,6766,1234,1440,0.8554103
25,0,12000,4000,8000,0,6625,1375,1627,0.8640857
26,0,12000,4000,8000,0,6480,1520,1816,0.8510653
27,0,12000,4000,8000,0,6319,1681,2055,0.8532714
28,0,12000,4000,8000,0,6183,1817,2288,0.8577769
29,0,12000,4000,8000,0,6060,1940,2547,0.8573092
30,0,12000,4000,8000,0,5918,2082,2816,0.8529317
31,0,12000,4000,8000,0,5774,2226,3093,0.8530593
32,0,12000,4000,8000,0,5630,2370,3408,0.8615084
33,0,12000,4000,8000,0,5487,2513,3763,0.8517533
34,0,12000,4000,8000,0,5382,2618,4142,0.8497946
35,0,12000,4000,8000,0,5219,2781,4541,0.8542571
36,0,12000,4000,8000,0,5080,2920,4979,0.851106
37,0,12000,4000,8000,0,4933,3067,5466,0.8561894
38,1,12000,4001,7999,1,4800,3199,5951,0.8564967
39,2,12000,4001,7999,1,4688,3311,6500,0.8550754
40,2,12000,4000,8000,0,4560,3440,7060,0.8567206
41,3,12000,4001,7999,1,4433,3566,7648,0.8523105
42,3,12000,4000,8000,0,4311,3689,8268,0.8547538
43,4,12000,4001,7999,1,4186,3813,8901,0.8548815
44,5,12000,4001,7999,1,4081,3918,9593,0.8534407
45,6,12000,4001,7999,1,3944,4055,10302,0.8540024
46,7,12000,4001,7999,1,3837,4162,11021,0.8495654
47,8,12000,4001,7999,1,3728,4271,11810,0.8571429
48,8,12000,4000,8000,0,3597,4403,12609,0.8517098
49,9,12000,4001,7999,1,3485,4514,13431,0.8599512
50,10,12000,4001,7999,1,3382,4617,14280,0.8493782
51,12,12000,4002,7998,2,3268,4730,15172,0.8556383
52,13,12000,4001,7999,1,3162,4837,16129,0.8503482
53,15,12000,4002,7998,2,3059,4939,17137,0.8501479
54,15,12000,4000,8000,0,2975,5025,18186,0.8584561
55,15,12000,4000,8000,0,2867,5133,19197,0.8544866
56,16,12000,4001,7999,1,2778,5221,20247,0.8544578
57,19,12000,4003,7997,3,2665,5332,21353,0.851877
58,19,12000,4000,8000,0,2563,5437,22453,0.8525983
59,21,12000,4002,7998,2,2468,5530,23653,0.8554595
60,22,12000,4001,7999,1,2365,5634,24879,0.8530726
61,24,12000,4002,7998,2,2271,5727,26112,0.8571146
62,26,12000,4002,7998,2,2188,5810,27389,0.8559258
63,30,12000,4004,7996,4,2120,5876,28744,0.8527033
64,31,12000,4001,7999,1,2042,5957,30199,0.8575179
65,38,12000,4007,7993,7,1956,6037,31626,0.8550523
66,39,12000,4001,7999,1,1874,6125,33120,0.8508707
67,42,12000,4003,7997,3,1787,6210,34739,0.8502034
68,45,12000,4003,7997,3,1732,6265,36371,0.8635084
69,47,12000,4002,7998,2,1657,6341,38000,0.8541342
70,50,12000,4003,7997,3,1584,6413,39458,0.8496822
71,52,12000,4002,7998,2,1498,6500,40921,0.8559563
72,57,12000,4005,7995,5,1412,6583,42407,0.8581245
73,60,12000,4003,7997,3,1339,6658,43817,0.857235
74,64,12000,4004,7996,4,1238,6758,45098,0.8628442
75,71,12000,4007,7993,7,1146,6847,46395,0.8544287
76,78,12000,4007,7993,7,1064,6929,47645,0.8536524
77,83,12000,4005,7995,5,997,6998,48894,0.8571075
78,89,12000,4006,7994,6,914,7080,50093,0.8683906
79,92,12000,4003,7997,3,839,7158,51274,0.8519767
80,93,12000,4001,7999,1,783,7216,52431,0.8490131
81,100,12000,4007,7993,7,705,7288,53550,0.857534
82,105,12000,4005,7995,5,652,7343,54626,0.8517137
83,110,12000,4005,7995,5,595,7400,55625,0.8550883
84,121,12000,4011,7989,11,538,7451,56605,0.8492749
85,130,12000,4009,7991,9,495,7496,57631,0.854956
86,137,12000,4007,7993,7,452,7541,58571,0.8505923
87,147,12000,4010,7990,10,407,7583,59397,0.8491283
88,158,12000,4011,7989,11,370,7619,60251,0.8526301
89,169,12000,4011,7989,11,340,7649,61059,0.8525605
90,176,12000,4007,7993,7,308,7685,61852,0.8535125
91,188,12000,4012,7988,12,276,7712,62606,0.8514724
92,193,12000,4005,7995,5,251,7744,63314,0.8597612
93,212,12000,4019,7981,19,231,7750,63992,0.8534168
94,225,12000,4013,7987,13,224,7763,64739,0.8515107
95,243,12000,4018,7982,18,214,7768,65425,0.8541026
96,253,12000,4010,7990,10,209,7781,66115,0.8584985
97,264,12000,4011,7989,11,205,7784,66774,0.8582497
98,278,12000,4014,7986,14,208,7778,67452,0.8490943
99,292,12000,4014,7986,14,212,7774,68072,0.8520904
100,303,12000,4011,7989,11,218,7771,68678,0.8509038
101,323,12000,4020,7980,20,222,7758,69224,0.8523173
102,337,12000,4014,7986,14,230,7756,69769,0.8527766
103,349,12000,4012,7988,12,236,7752,70303,0.8555556
104,364,12000,4015,7985,15,241,7744,70858,0.8523191
105,382,12000,4018,7982,18,253,7729,71386,0.8632216
106,404,12000,4022,7978,22,268,7710,71921,0.8533068
107,431,12000,4027,7973,27,286,7687,72411,0.8535376
108,461,12000,4030,7970,30,308,7662,72931,0.8567913
109,486,12000,4025,7975,25,332,7643,73453,0.8501009
110,509,12000,4023,7977,23,348,7629,73935,0.853918
111,536,12000,4027,7973,27,361,7612,74406,0.8484686
112,554,12000,4018,7982,18,375,7607,74857,0.8502267
113,578,12000,4024,7976,24,381,7595,75317,0.8556157
114,596,12000,4018,7982,18,400,7582,75777,0.8519151
115,613,12000,4017,7983,17,412,7571,76223,0.8544577
116,636,12000,4023,7977,23,422,7555,76644,0.8544207
117,655,12000,4019,7981,19,435,7546,77076,0.8594712
118,673,12000,4018,7982,18,444,7538,77466,0.8532137
119,692,12000,4019,7981,19,454,7527,77861,0.8589739
120,727,12000,4035,7965,35,460,7505,78286,0.8513712
121,752,12000,4025,7975,25,476,7499,78650,0.8515719
122,778,12000,4026,7974,26,486,7488,79030,0.8533183
123,801,12000,4023,7977,23,504,7473,79380,0.8509886
124,833,12000,4032,7968,32,507,7461,79739,0.8502653
125,854,12000,4021,7979,21,529,7450,80125,0.8563979
126,895,12000,4041,7959,41,531,7428,80499,0.8534364
127,927,12000,4032,7968,32,559,7409,80852,0.8505392
128,950,12000,4023,7977,23,578,7399,81196,0.8492553
129,979,12000,4029,7971,29,587,7384,81518,0.8547854
130,1013,12000,4034,7966,34,603,7363,81836,0.853668
131,1040,12000,4027,7973,27,623,7350,82180,0.8492421
132,1065,12000,4025,7975,25,640,7335,82484,0.8584684
133,1094,12000,4029,7971,29,644,7327,82788,0.8525604
134,1129,12000,4035,7965,35,655,7310,83092,0.8511072
135,1154,12000,4025,7975,25,674,7301,83378,0.8534618
136,1182,12000,4028,7972,28,686,7286,83707,0.8594367
137,1220,12000,4038,7962,38,697,7265,84005,0.8515536
138,1257,12000,4037,7963,37,712,7251,84292,0.8586366
139,1288,12000,4031,7969,31,730,7239,84593,0.8514563
140,1326,12000,4038,7962,38,731,7231,84860,0.8536266
141,1356,12000,4030,7970,30,749,7221,85132,0.8600298
142,1399,12000,4043,7957,43,763,7194,85377,0.851442
143,1434,12000,4035,7965,35,783,7182,85678,0.8615876
144,1463,12000,4029,7971,29,800,7171,85928,0.8528249
145,1495,12000,4032,7968,32,804,7164,86242,0.8539559
146,1533,12000,4038,7962,38,821,7141,86511,0.8530062
147,1569,12000,4036,7964,36,838,7126,86787,0.8505494
148,1597,12000,4028,7972,28,842,7130,87065,0.8524644
149,1640,12000,4043,7957,43,847,7110,87343,0.8516591
150,1682,12000,4042,7958,42,861,7097,87643,0.848727
151,1731,12000,4049,7951,49,883,7068,87927,0.8501404
152,1763,12000,4032,7968,32,907,7061,88209,0.8516681
153,1806,12000,4043,7957,43,924,7033,88490,0.8573441
154,1845,12000,4039,7961,39,946,7015,88758,0.8492807
155,1883,12000,4038,7962,38,967,6995,89030,0.8491779
156,1923,12000,4040,7960,40,978,6982,89327,0.8539675
157,1966,12000,4043,7957,43,988,6969,89612,0.8528967
158,2005,12000,4039,7961,39,1010,6951,89873,0.8537274
159,2052,12000,4047,7953,47,1030,6923,90125,0.8564798
160,2101,12000,4049,7951,49,1048,6903,90402,0.8561368
161,2150,12000,4049,7951,49,1074,6877,90727,0.8559343
