task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,93,221,-1,3546,0,62,53,104,22,31,93,221,-1,0.415094
1,0,111,-1,-1,1681,0,27,147,81,0,58,111,-1,-1,0.000000
2,0,107,-1,-1,13258,0,38,107,92,0,51,107,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,217,0,0,0,-1,-1,-1,0.000000
4,0,108,-1,-1,5584,0,41,87,122,0,20,108,-1,-1,0.000000
5,0,112,216,-1,13783,0,18,219,78,28,32,112,216,-1,0.127854
6,0,112,130,-1,11451,0,18,165,18,77,43,112,130,-1,0.466667
7,0,-1,-1,-1,-1,0,-1,425,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,474,0,0,0,-1,-1,-1,0.000000
9,0,4,84,97,12265,0,71,13,71,13,9,4,84,97,1.000000
10,0,117,118,-1,10984,0,1,202,1,113,19,117,118,-1,0.559406
11,0,107,-1,-1,12534,0,39,87,90,0,53,107,-1,-1,0.000000
12,0,96,-1,-1,17392,0,57,61,95,0,59,96,-1,-1,0.000000
13,0,-1,-1,-1,-1,0,-1,340,0,0,0,-1,-1,-1,0.000000
14,0,117,174,-1,18264,0,7,65,39,65,29,117,174,-1,1.000000
15,0,111,175,-1,13759,0,28,132,50,63,26,111,175,-1,0.477273
16,0,108,-1,-1,17227,0,32,133,83,0,59,108,-1,-1,0.000000
17,0,111,203,-1,5262,0,24,165,62,29,48,111,203,-1,0.175758
18,0,106,205,-1,2293,0,41,107,71,34,39,106,205,-1,0.317757
19,0,116,133,-1,2676,0,7,211,15,90,29,116,133,-1,0.426540
20,0,117,119,-1,3758,0,2,199,2,79,52,117,119,-1,0.396985
21,0,101,-1,-1,5316,0,47,107,96,0,53,101,-1,-1,0.000000
22,0,82,175,-1,15329,0,66,19,82,43,43,82,175,-1,2.263158
23,0,102,-1,-1,1489,0,47,91,95,0,53,102,-1,-1,0.000000
24,0,113,-1,-1,18277,0,16,169,75,0,62,113,-1,-1,0.000000
25,0,198,226,-1,5642,0,7,134,23,23,6,198,226,-1,0.171642
26,0,112,144,-1,9100,0,21,149,27,66,45,112,144,-1,0.442953
27,0,-1,-1,-1,-1,0,-1,257,0,0,0,-1,-1,-1,0.000000
28,0,96,-1,-1,14532,0,55,79,110,0,44,96,-1,-1,0.000000
29,0,-1,-1,-1,-1,0,-1,241,0,0,0,-1,-1,-1,0.000000
30,0,-1,-1,-1,-1,0,-1,287,0,0,0,-1,-1,-1,0.000000
31,0,98,-1,-1,1064,0,51,85,110,0,42,98,-1,-1,0.000000
32,0,-1,-1,-1,-1,0,-1,497,0,0,0,-1,-1,-1,0.000000
33,0,77,168,-1,12157,0,68,25,88,53,32,77,168,-1,2.120000
34,0,80,180,-1,1971,0,67,31,85,41,44,80,180,-1,1.322581
35,0,92,-1,-1,3549,0,61,45,95,0,63,92,-1,-1,0.000000
36,0,113,-1,-1,19316,0,17,151,51,0,86,113,-1,-1,0.000000
37,0,103,-1,-1,4108,0,45,103,108,0,39,103,-1,-1,0.000000
38,0,94,-1,-1,11077,0,57,43,104,0,52,94,-1,-1,0.000000
39,0,110,162,-1,3562,0,27,205,43,65,32,110,162,-1,0.317073
40,0,-1,-1,-1,-1,0,-1,277,0,0,0,-1,-1,-1,0.000000
41,0,-1,-1,-1,-1,0,-1,467,0,0,0,-1,-1,-1,0.000000
42,0,-1,-1,-1,-1,0,-1,344,0,0,0,-1,-1,-1,0.000000
43,0,-1,-1,-1,-1,0,-1,279,0,0,0,-1,-1,-1,0.000000
44,0,-1,-1,-1,-1,0,-1,453,0,0,0,-1,-1,-1,0.000000
45,0,-1,-1,-1,-1,0,-1,415,0,0,0,-1,-1,-1,0.000000
46,0,117,117,-1,13521,0,0,172,0,108,25,117,117,-1,0.627907
47,0,108,174,-1,1976,0,33,133,55,56,31,108,174,-1,0.421053
48,0,-1,-1,-1,-1,0,-1,193,0,0,0,-1,-1,-1,0.000000
49,0,108,180,237,8568,0,34,43,64,49,16,108,180,237,1.139535
50,0,-1,-1,-1,-1,0,-1,310,0,0,0,-1,-1,-1,0.000000
51,0,-1,-1,-1,-1,0,-1,351,0,0,0,-1,-1,-1,0.000000
52,0,-1,-1,-1,-1,0,-1,302,0,0,0,-1,-1,-1,0.000000
53,0,101,-1,-1,6683,0,49,69,98,0,51,101,-1,-1,0.000000
54,0,107,-1,-1,9597,0,39,57,128,0,15,107,-1,-1,0.000000
55,0,95,-1,-1,14609,0,57,57,88,0,67,95,-1,-1,0.000000
56,0,113,195,-1,12906,0,19,60,67,51,19,113,195,-1,0.850000
57,0,-1,-1,-1,-1,0,-1,448,0,0,0,-1,-1,-1,0.000000
58,0,-1,-1,-1,-1,0,-1,356,0,0,0,-1,-1,-1,0.000000
59,0,-1,-1,-1,-1,0,-1,475,0,0,0,-1,-1,-1,0.000000
60,0,108,158,-1,8583,0,33,149,41,58,43,108,158,-1,0.389262
61,0,117,120,-1,19297,0,1,136,3,120,10,117,120,-1,0.882353
62,0,-1,-1,-1,-1,0,-1,222,0,0,0,-1,-1,-1,0.000000
63,0,106,-1,-1,268,0,41,144,104,0,40,106,-1,-1,0.000000
64,0,101,229,-1,13167,0,50,83,90,13,46,101,229,-1,0.156627
65,0,-1,-1,-1,-1,0,-1,335,0,0,0,-1,-1,-1,0.000000
66,0,-1,-1,-1,-1,0,-1,286,0,0,0,-1,-1,-1,0.000000
67,0,-1,-1,-1,-1,0,-1,339,0,0,0,-1,-1,-1,0.000000
68,0,240,-1,-1,2697,0,21,282,10,0,0,240,-1,-1,0.000000
69,0,112,157,-1,16332,0,20,94,36,82,20,112,157,-1,0.872340
70,0,101,-1,-1,1654,0,48,91,97,0,52,101,-1,-1,0.000000
71,0,117,122,-1,9204,0,5,264,5,99,29,117,122,-1,0.375000
72,0,-1,-1,-1,-1,0,-1,221,0,0,0,-1,-1,-1,0.000000
