agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,12,333,655,271,259,458
1,13,14,402,584,275,278,433
2,15,16,322,662,195,257,532
3,14,15,380,605,208,288,489
4,14,15,405,580,229,309,447
5,14,15,319,666,253,242,490
6,14,15,349,636,217,263,505
7,14,15,367,618,207,278,500
8,13,14,444,542,281,295,410
9,15,16,386,598,222,289,473
10,13,14,400,586,267,279,440
11,14,15,460,525,235,345,405
12,17,18,418,564,189,320,473
13,14,15,444,541,205,314,466
14,12,13,419,568,216,314,457
15,11,12,480,508,235,324,429
16,16,17,449,534,213,350,420
17,15,16,376,608,222,279,483
18,12,13,458,529,240,319,428
19,10,11,428,561,266,283,440
20,12,13,428,559,240,327,420
21,13,14,377,609,219,268,499
22,11,12,466,522,270,306,412
23,10,11,355,634,259,256,474
24,9,10,476,514,260,335,395
25,14,15,433,552,233,299,453
26,11,12,378,610,272,265,451
27,13,14,313,673,241,219,526
28,10,11,434,555,273,296,420
29,9,10,526,464,330,332,328
30,15,16,288,696,231,228,525
31,10,11,474,515,282,313,394
32,10,11,529,460,354,321,314
33,14,15,420,565,245,293,447
34,8,9,453,538,280,284,427
35,10,11,392,597,300,242,447
36,12,13,322,665,230,259,498
37,12,13,442,545,254,309,424
38,12,13,396,591,246,269,472
39,12,13,475,512,235,331,421
40,9,10,503,487,288,351,351
41,10,11,380,609,282,249,458
42,14,15,271,714,209,215,561
43,12,13,451,536,273,288,426
44,11,12,427,561,288,276,424
45,16,17,341,642,230,260,493
46,10,11,436,553,304,286,399
47,11,12,285,703,254,210,524
48,12,13,379,608,296,268,423
49,10,11,328,661,260,224,505
50,16,17,361,622,229,262,492
51,12,13,456,531,242,317,428
52,11,12,348,640,265,244,479
53,10,11,424,565,283,275,431
54,11,12,375,613,222,286,480
55,11,12,377,611,281,259,448
56,8,9,433,558,288,281,422
57,10,11,417,572,237,287,465
58,10,11,339,650,283,228,478
59,15,16,299,685,221,235,528
60,11,12,444,544,247,313,428
61,10,11,434,555,227,314,448
62,11,12,459,529,263,306,419
63,13,14,369,617,273,241,472
64,13,14,327,659,225,232,529
65,11,12,362,626,257,252,479
66,12,13,385,602,258,263,466
67,13,14,440,546,246,323,417
68,9,10,442,548,292,277,421
69,8,9,400,591,288,262,441
70,10,11,459,530,263,319,407
71,13,14,353,633,244,254,488
72,11,12,376,612,243,270,475
73,10,11,303,686,256,225,508
74,11,12,310,678,198,248,542
75,12,13,442,545,266,298,423
76,12,13,373,614,237,275,475
