task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,2,107,154,540,55,1,27,52,35,39,2,107,154,1.296296
1,0,16,624,705,316,78,4,43,64,61,58,16,624,705,1.418605
2,0,615,631,735,528,0,18,54,2,72,32,615,631,735,1.333333
3,0,1,1,39,465,0,0,33,0,35,3,1,1,39,1.060606
4,0,2,83,137,581,36,9,30,42,50,28,2,83,137,1.666667
5,0,1,1,36,149,0,0,19,0,25,10,1,1,36,1.315789
6,0,1,47,130,590,0,8,29,16,73,12,1,47,130,2.517241
7,0,1,6,39,125,0,5,15,5,21,12,1,6,39,1.400000
8,0,1,48,109,579,17,2,24,29,56,19,1,48,109,2.333333
9,0,46,143,229,577,46,21,35,43,75,33,46,143,229,2.142857
10,0,78,89,178,531,5,12,40,6,78,14,78,89,178,1.950000
11,0,40,87,174,243,34,20,47,35,79,16,40,87,174,1.680851
12,0,1,17,95,416,7,4,28,14,62,16,1,17,95,2.214286
13,0,1,21,121,225,10,3,29,12,81,27,1,21,121,2.793103
14,0,29,216,261,347,44,6,45,56,45,30,29,216,261,1.000000
15,0,1,6,19,16,1,16,10,5,12,1,1,6,19,1.200000
16,0,501,-1,-1,525,13,16,43,33,0,2,501,-1,-1,0.000000
17,0,1,2,56,423,0,1,27,1,53,1,1,2,56,1.962963
18,0,1,3,29,196,0,2,22,2,22,4,1,3,29,1.000000
19,0,1,9,57,396,7,6,24,6,44,6,1,9,57,1.833333
20,0,22,77,169,581,34,13,46,39,80,25,22,77,169,1.739130
21,0,1,1,28,363,0,0,25,0,27,0,1,1,28,1.080000
22,0,1,15,27,0,0,8,10,12,10,4,1,15,27,1.000000
23,0,1,8,33,342,3,4,17,7,23,2,1,8,33,1.352941
24,0,1,5,46,580,3,3,26,4,28,13,1,5,46,1.076923
25,0,1,23,54,111,12,14,14,19,18,16,1,23,54,1.285714
26,0,1,21,100,519,5,4,42,15,66,18,1,21,100,1.571429
27,0,1,15,91,497,4,9,35,5,59,19,1,15,91,1.685714
28,0,1,35,109,424,20,17,26,26,54,28,1,35,109,2.076923
29,0,1,3,38,406,0,2,29,2,31,4,1,3,38,1.068966
30,0,26,134,203,385,53,10,49,52,67,36,26,134,203,1.367347
31,0,1,1,15,27,0,0,10,0,10,4,1,1,15,1.000000
32,0,424,544,606,529,89,22,51,83,59,31,424,544,606,1.156863
33,0,215,285,365,20,37,15,48,36,72,20,215,285,365,1.500000
34,0,1,227,258,105,116,12,15,167,27,63,1,227,258,1.800000
35,0,1,9,66,393,1,2,30,4,46,11,1,9,66,1.533333
36,0,83,187,281,573,87,13,42,68,80,48,83,187,281,1.904762
37,0,1,17,50,356,8,3,15,13,23,13,1,17,50,1.533333
38,0,1,58,97,234,38,6,21,44,31,21,1,58,97,1.476190
39,0,1,7,35,421,5,11,24,5,26,3,1,7,35,1.083333
40,0,1,17,62,232,2,4,20,12,38,11,1,17,62,1.900000
41,0,1,5,52,403,3,13,25,3,35,13,1,5,52,1.400000
42,0,1,9,29,155,0,2,15,6,17,5,1,9,29,1.133333
43,0,37,58,114,369,9,17,38,16,48,13,37,58,114,1.263158
44,0,107,234,311,323,67,17,53,61,75,29,107,234,311,1.415094
45,0,4,19,79,515,0,3,32,0,42,19,4,19,79,1.312500
46,0,1,6,18,79,1,6,10,5,12,0,1,6,18,1.200000
47,0,41,56,138,468,8,10,36,9,66,21,41,56,138,1.833333
48,0,1,206,246,586,7,5,27,20,35,8,1,206,246,1.296296
49,0,1,5,56,565,1,4,36,2,46,5,1,5,56,1.277778
50,0,1,19,57,217,12,15,24,12,32,12,1,19,57,1.333333
