timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.920435444
2,0,6,2,4,46,4,0,0,0.92048578
3,0,8,2,6,44,6,0,0,0.920499922
4,0,10,2,8,42,7,1,0,0.920520215
5,0,12,2,10,40,8,2,0,0.920514122
6,0,14,2,12,38,9,3,0,0.920466838
7,0,16,2,14,36,7,7,0,0.920512589
8,1,17,2,15,35,8,7,1,0.920501463
9,1,19,2,17,33,9,8,1,0.920585871
10,1,21,2,19,31,9,10,1,0.920581064
11,1,23,2,21,29,10,11,1,0.920567501
12,1,25,2,23,27,12,11,1,0.920638859
13,2,26,2,24,26,12,12,1,0.920574751
14,2,28,2,26,24,13,13,1,0.920578071
15,2,30,2,28,22,10,18,1,0.920558698
16,5,29,2,27,23,10,17,1,0.920624454
17,5,31,2,29,21,12,17,1,0.920566165
18,5,33,2,31,19,14,17,1,0.92060753
19,5,35,2,33,17,12,21,1,0.920534945
20,6,36,2,34,16,11,23,2,0.920564584
21,7,37,2,35,15,9,26,2,0.920496696
22,8,38,2,36,14,10,26,3,0.920605405
23,9,39,2,37,13,12,25,3,0.920596692
24,11,39,2,37,13,10,27,4,0.92055788
25,12,40,2,38,12,11,27,4,0.920583209
26,12,42,2,40,10,13,27,6,0.920600113
27,13,43,2,41,9,13,28,7,0.920568409
28,13,45,2,43,7,13,30,9,0.920684845
29,14,46,2,44,6,15,29,11,0.920621157
30,16,46,2,44,6,16,28,11,0.920600489
31,17,47,2,45,5,17,28,12,0.920661262
32,20,46,2,44,6,18,26,13,0.920638881
33,23,45,2,43,7,18,25,15,0.920598186
34,23,47,2,45,5,18,27,15,0.920611401
35,23,49,2,47,3,20,27,17,0.920611498
36,24,50,2,48,2,22,26,17,0.920675619
37,26,50,2,48,2,19,29,17,0.920699893
38,26,52,2,50,0,17,33,19,0.920663215
39,30,50,4,46,4,15,31,19,0.92068585
40,32,50,2,48,2,17,31,19,0.920725673
41,35,49,2,47,3,17,30,20,0.920692364
42,35,51,2,49,1,18,31,20,0.920668263
43,40,48,3,45,5,17,28,23,0.920632341
44,40,50,2,48,2,17,31,25,0.920676295
45,40,52,2,50,0,19,31,26,0.920630864
46,42,52,4,48,2,14,34,26,0.920613417
47,42,54,4,50,0,14,36,27,0.920601591
48,45,53,6,47,3,10,37,27,0.920588654
49,48,52,5,47,3,12,35,27,0.920667026
50,49,53,4,49,1,14,35,27,0.92065227
51,51,53,5,48,2,13,35,27,0.920663211
52,51,55,5,50,0,14,36,30,0.920733826
53,54,54,7,47,3,11,36,31,0.920648789
54,57,53,6,47,3,13,34,34,0.920651295
55,60,52,5,47,3,14,33,34,0.920634052
56,60,54,4,50,0,17,33,35,0.920628227
57,60,56,6,50,0,17,33,35,0.920623325
58,61,57,8,49,1,15,34,36,0.920660179
59,65,55,9,46,4,14,32,36,0.92062175
60,69,53,7,46,4,17,29,36,0.920633627
61,70,54,5,49,1,20,29,36,0.920727751
62,72,54,6,48,2,20,28,38,0.920706478
63,73,55,6,49,1,20,29,40,0.920701882
64,74,56,7,49,1,14,35,42,0.920675843
65,74,58,8,50,0,14,36,44,0.920595575
66,74,60,10,50,0,10,40,44,0.920670067
67,76,60,12,48,2,9,39,45,0.920581305
68,77,61,12,49,1,10,39,46,0.920603445
69,78,62,13,49,1,8,41,46,0.920611152
70,78,64,14,50,0,9,41,46,0.92051209
71,80,64,16,48,2,6,42,46,0.920562519
72,81,65,16,49,1,6,43,47,0.920585462
73,84,64,17,47,3,4,43,47,0.920568672
74,87,63,16,47,3,4,43,47,0.920538399
75,87,65,15,50,0,4,46,48,0.920501319
76,89,65,17,48,2,4,44,48,0.920604736
77,91,65,17,48,2,3,45,50,0.920577051
78,92,66,17,49,1,5,44,52,0.920544778
79,92,68,18,50,0,4,46,53,0.92057044
80,93,69,20,49,1,3,46,53,0.920579009
