task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,38,38,0,0,37,0,37,0,1,1,38,1.000000
1,0,1,1,11,45,0,0,10,0,10,0,1,1,11,1.000000
2,1,2,18,32,0,1,11,12,16,14,0,1,17,31,1.166667
3,1,2,12,39,37,0,10,27,10,27,0,1,11,38,1.000000
4,2,3,12,37,3,0,9,25,9,25,0,1,10,35,1.000000
5,2,3,8,32,41,0,5,24,5,24,0,1,6,30,1.000000
6,3,4,4,16,32,0,0,11,0,11,1,1,1,13,1.000000
7,3,4,12,39,36,0,8,22,8,26,1,1,9,36,1.181818
8,4,5,11,32,0,0,6,19,6,21,0,1,7,28,1.105263
9,4,5,11,43,29,1,5,28,6,32,0,1,7,39,1.142857
10,5,6,11,29,14,0,5,18,5,18,0,1,6,24,1.000000
11,5,6,10,34,29,0,4,24,4,24,0,1,5,29,1.000000
12,6,7,8,40,18,0,1,32,1,32,0,1,2,34,1.000000
13,6,7,7,21,15,0,0,14,0,14,0,1,1,15,1.000000
14,7,8,42,56,31,15,15,10,34,14,0,1,35,49,1.400000
15,7,8,8,35,2,0,0,27,0,27,0,1,1,28,1.000000
16,8,9,15,40,48,1,11,25,6,25,0,1,7,32,1.000000
17,8,9,12,36,44,0,3,20,3,24,0,1,4,28,1.200000
18,9,10,25,57,31,6,13,24,13,32,2,1,16,48,1.333333
19,9,10,44,89,47,17,9,25,29,45,2,1,35,80,1.800000
20,10,11,14,31,10,0,3,16,3,16,1,1,4,21,1.000000
21,10,11,12,20,25,0,1,8,1,8,0,1,2,10,1.000000
22,11,12,13,32,46,1,6,17,1,19,0,1,2,21,1.117647
23,11,12,27,49,48,3,14,21,15,21,1,1,16,38,1.000000
24,12,13,14,26,11,0,1,12,1,12,0,1,2,14,1.000000
25,12,13,14,17,16,0,1,3,1,3,0,1,2,5,1.000000
26,13,14,15,31,34,1,2,12,1,16,0,1,2,18,1.333333
27,13,14,20,29,7,1,3,9,5,9,1,1,7,16,1.000000
28,14,15,24,42,22,0,9,18,9,18,0,1,10,28,1.000000
29,14,15,15,24,17,0,0,7,0,9,0,1,1,10,1.285714
30,15,16,16,26,7,0,0,10,0,10,0,1,1,11,1.000000
31,15,16,20,43,6,0,4,23,4,23,0,1,5,28,1.000000
32,16,17,18,35,20,0,1,17,1,17,0,1,2,19,1.000000
33,16,17,19,68,46,2,2,31,2,49,0,1,3,52,1.580645
34,17,18,26,71,49,4,6,37,8,45,0,1,9,54,1.216216
35,17,18,18,41,43,0,0,21,0,23,0,1,1,24,1.095238
36,18,19,22,47,16,0,3,22,3,24,1,1,4,29,1.090909
37,18,19,23,33,28,2,4,10,4,10,0,1,5,15,1.000000
38,19,20,21,30,21,0,1,9,1,9,0,1,2,11,1.000000
39,19,20,40,54,49,11,8,13,19,13,2,1,21,35,1.000000
40,20,21,54,79,49,17,11,23,32,25,1,1,34,59,1.086957
41,20,21,27,72,40,6,6,39,5,45,1,1,7,52,1.153846
42,21,22,22,47,25,0,0,23,0,25,0,1,1,26,1.086957
43,21,22,30,45,48,0,8,15,8,15,0,1,9,24,1.000000
44,22,23,24,31,24,0,1,7,1,7,0,1,2,9,1.000000
45,22,23,46,82,27,9,36,32,21,34,2,1,24,60,1.062500
46,23,24,33,67,5,2,8,20,9,34,0,1,10,44,1.700000
47,23,24,33,51,27,6,19,18,9,18,0,1,10,28,1.000000
48,24,25,27,62,33,1,3,33,2,35,0,1,3,38,1.060606
49,24,25,31,55,26,6,7,22,6,24,0,1,7,31,1.090909
50,25,26,34,42,32,7,15,8,8,8,0,1,9,17,1.000000
51,25,26,37,75,19,5,31,28,10,38,1,1,12,50,1.357143
52,26,27,42,50,26,7,11,5,15,7,1,1,16,24,1.400000
53,26,27,31,54,17,1,10,19,4,23,0,1,5,28,1.210526
54,27,28,62,86,19,4,34,22,17,24,0,1,35,59,1.090909
55,27,28,63,82,23,4,24,17,19,19,0,1,36,55,1.117647
56,28,29,29,61,4,0,0,30,0,32,0,1,1,33,1.066667
57,28,29,42,63,17,3,5,19,13,21,0,1,14,35,1.105263
58,29,30,34,67,17,0,4,25,4,31,2,1,5,38,1.240000
59,29,30,33,49,32,2,4,16,3,16,0,1,4,20,1.000000
60,30,31,38,51,21,2,8,10,7,12,1,1,8,21,1.200000
61,30,31,37,69,9,2,8,26,5,32,1,1,7,39,1.230769
62,31,32,35,57,21,0,3,13,3,21,1,1,4,26,1.615385
63,31,32,35,52,7,1,19,17,3,17,0,1,4,21,1.000000
64,32,33,33,65,8,0,0,30,0,32,0,1,1,33,1.066667
65,32,33,34,63,7,0,1,29,1,29,0,1,2,31,1.000000
66,33,34,42,59,9,1,4,17,8,17,0,1,9,26,1.000000
67,33,34,36,65,0,0,2,26,2,28,1,1,3,32,1.076923
68,34,35,40,53,12,2,32,12,5,12,1,1,6,19,1.000000
69,34,35,43,74,27,1,28,31,8,31,0,1,9,40,1.000000
70,35,36,36,56,42,0,0,20,0,20,0,1,1,21,1.000000
71,35,36,36,76,32,0,0,33,0,39,1,1,1,41,1.181818
72,36,37,44,74,13,1,6,29,7,29,1,1,8,38,1.000000
73,36,37,39,60,10,0,2,18,2,18,3,1,3,24,1.000000
74,37,38,40,79,24,0,2,36,2,38,1,1,3,42,1.055556
75,37,38,47,61,27,5,5,12,8,14,1,1,10,24,1.166667
76,38,39,40,53,19,0,1,13,1,13,0,1,2,15,1.000000
77,38,39,42,67,38,0,3,22,3,24,1,1,4,29,1.090909
78,39,40,79,93,41,3,9,14,14,14,0,1,40,54,1.000000
79,39,40,57,62,12,2,4,5,13,5,0,1,18,23,1.000000
80,40,90,109,127,27,0,5,18,4,18,0,50,69,87,1.000000
81,40,41,45,61,18,0,4,16,4,16,0,1,5,21,1.000000
82,41,51,53,79,26,0,2,23,2,25,1,10,12,38,1.086957
83,41,42,55,69,12,1,8,14,11,14,0,1,14,28,1.000000
84,42,43,64,72,13,0,5,8,7,8,0,1,22,30,1.000000
85,42,102,103,123,11,0,1,19,1,19,1,60,61,81,1.000000
86,43,44,63,82,41,0,6,17,1,19,0,1,20,39,1.117647
87,43,44,49,66,37,0,5,15,5,15,2,1,6,23,1.000000
88,44,45,48,71,12,0,3,19,3,23,0,1,4,27,1.210526
89,44,45,50,75,6,0,5,23,5,25,0,1,6,31,1.086957
90,45,48,48,61,16,0,0,13,0,13,0,3,3,16,1.000000
91,45,46,47,84,13,0,1,36,1,36,1,1,2,39,1.000000
92,46,47,50,89,27,0,3,30,3,38,1,1,4,43,1.266667
93,46,47,52,80,48,0,5,28,5,28,0,1,6,34,1.000000
94,47,48,49,80,41,0,1,29,1,31,0,1,2,33,1.068966
95,47,48,50,56,25,0,2,4,2,6,0,1,3,9,1.500000
96,48,58,64,71,25,0,6,7,6,7,0,10,16,23,1.000000
97,48,69,69,89,46,0,0,18,0,20,0,21,21,41,1.111111
98,49,50,56,82,15,2,5,26,6,26,0,1,7,33,1.000000
99,49,54,58,80,3,0,2,21,4,21,1,5,9,31,1.000000
100,50,51,51,59,31,0,0,6,0,8,0,1,1,9,1.333333
101,50,72,73,95,12,0,1,21,1,21,1,22,23,45,1.000000
102,51,52,55,63,15,0,3,7,3,7,1,1,4,12,1.000000
103,51,52,52,61,47,0,0,9,0,9,0,1,1,10,1.000000
104,52,62,72,83,18,0,10,11,10,11,0,10,20,31,1.000000
105,52,57,58,88,42,0,1,30,1,30,0,5,6,36,1.000000
106,53,62,69,87,29,0,12,18,4,18,0,9,16,34,1.000000
107,53,55,58,74,33,0,3,16,3,16,0,2,5,21,1.000000
108,54,83,101,114,30,0,7,13,8,13,2,29,47,60,1.000000
109,54,57,58,73,28,0,1,15,1,15,0,3,4,19,1.000000
110,55,60,63,73,21,0,3,10,3,10,0,5,8,18,1.000000
111,55,56,59,82,19,0,3,23,3,23,0,1,4,27,1.000000
112,56,57,67,74,9,1,4,7,4,7,0,1,11,18,1.000000
113,56,63,71,89,23,2,5,18,3,18,0,7,15,33,1.000000
114,57,58,60,77,21,1,1,11,1,17,1,1,3,20,1.545455
115,57,58,73,105,9,2,3,26,12,32,1,1,16,48,1.230769
116,58,60,65,74,29,1,9,8,4,8,2,2,7,16,1.000000
117,58,71,76,102,14,0,5,26,5,26,0,13,18,44,1.000000
118,59,60,62,76,34,0,2,8,2,12,2,1,3,17,1.500000
119,59,68,69,86,38,0,1,17,1,17,0,9,10,27,1.000000
120,60,62,65,93,4,0,3,26,3,28,0,2,5,33,1.076923
121,60,73,75,98,47,0,2,23,2,23,0,13,15,38,1.000000
122,61,77,78,89,7,0,1,11,1,11,0,16,17,28,1.000000
123,61,62,69,72,43,1,30,3,7,3,0,1,8,11,1.000000
124,62,77,79,114,32,0,2,35,2,35,0,15,17,52,1.000000
125,62,65,70,98,15,1,12,28,5,28,0,3,8,36,1.000000
126,63,64,69,70,7,0,31,1,4,1,0,1,6,7,1.000000
127,63,64,68,107,23,0,4,21,4,39,0,1,5,44,1.857143
128,64,65,67,74,7,0,2,7,2,7,0,1,3,10,1.000000
129,64,65,72,108,29,2,5,23,7,35,1,1,8,44,1.521739
130,65,72,81,93,25,3,5,11,9,11,1,7,16,28,1.000000
131,65,66,72,101,15,2,7,18,5,28,2,1,7,36,1.555556
132,66,67,76,110,15,0,10,31,3,33,1,1,10,44,1.064516
133,66,80,82,113,22,0,2,29,2,31,0,14,16,47,1.068966
134,67,68,70,71,29,0,2,1,2,1,0,1,3,4,1.000000
135,67,68,69,86,11,1,2,13,1,17,0,1,2,19,1.307692
136,68,76,76,112,44,0,0,32,0,36,0,8,8,44,1.125000
137,68,78,79,92,31,0,1,13,1,13,0,10,11,24,1.000000
138,69,70,76,84,43,1,8,5,6,7,1,1,7,15,1.400000
139,69,75,89,108,28,6,11,14,13,18,1,6,20,39,1.285714
140,70,71,74,88,15,0,3,14,3,14,0,1,4,18,1.000000
141,70,73,101,136,40,0,31,33,9,35,0,3,31,66,1.060606
142,71,72,76,102,49,0,4,26,4,26,0,1,5,31,1.000000
