agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,47,52,207,2,52,205
1,11,58,46,202,1,46,201
2,10,57,63,186,8,60,181
3,10,34,64,208,4,63,205
4,10,42,30,234,4,30,230
5,11,32,35,239,3,35,236
6,8,59,50,197,2,49,196
7,8,39,69,198,2,67,198
8,12,29,64,213,6,62,209
9,10,40,45,221,1,45,220
10,10,34,41,231,7,39,226
11,12,57,36,213,5,35,209
12,9,34,61,211,2,61,209
13,9,76,54,176,5,52,173
14,10,27,59,220,5,57,217
15,11,46,46,214,3,45,212
16,9,67,53,186,3,51,185
17,10,50,42,214,8,39,209
18,12,49,28,229,2,28,227
19,11,43,49,214,2,49,212
20,10,39,35,232,10,30,227
21,8,56,36,214,3,36,211
22,9,62,30,214,8,28,208
23,9,71,65,170,10,62,163
24,10,49,54,203,6,54,197
25,9,59,67,180,7,63,177
26,10,49,40,217,2,40,215
27,11,31,56,219,3,55,217
28,9,61,42,203,1,42,202
29,11,54,51,201,4,50,198
30,10,42,49,215,3,49,212
31,10,34,32,240,3,31,238
32,12,30,50,226,4,50,222
33,10,40,51,215,2,51,213
34,10,42,27,237,3,26,235
35,9,62,44,200,0,44,200
36,12,47,33,226,3,33,223
37,11,43,44,219,7,44,212
38,10,22,43,241,5,42,237
39,10,74,50,182,4,50,178
40,12,42,64,200,3,63,198
41,9,61,21,224,3,21,221
42,11,69,62,175,4,61,172
43,10,49,33,224,5,31,221
44,9,45,50,211,8,47,206
45,8,59,45,202,4,44,199
46,10,48,45,213,4,43,211
47,9,51,60,195,5,58,192
48,9,51,49,206,3,47,205
49,9,50,56,200,5,54,197
