timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.920139618
2,0,6,2,4,46,4,0,0,0.920194024
3,0,8,2,6,44,6,0,0,0.920207376
4,0,10,2,8,42,8,0,0,0.92018832
5,0,12,2,10,40,10,0,0,0.920218933
6,0,14,2,12,38,12,0,1,0.920177268
7,0,16,2,14,36,14,0,1,0.920157377
8,0,18,2,16,34,16,0,1,0.920224795
9,0,20,2,18,32,18,0,1,0.920216206
10,0,22,2,20,30,20,0,1,0.920207492
11,0,24,2,22,28,22,0,1,0.920214339
12,0,26,2,24,26,22,2,1,0.920241554
13,0,28,2,26,24,24,2,1,0.92017967
14,0,30,2,28,22,25,3,3,0.920240961
15,0,32,2,30,20,26,4,3,0.920218115
16,0,34,2,32,18,25,7,3,0.920184707
17,0,36,2,34,16,26,8,3,0.92019103
18,0,38,2,36,14,26,10,3,0.920198307
19,0,40,2,38,12,27,11,3,0.92022928
20,1,41,2,39,11,28,11,3,0.920219898
21,1,43,2,41,9,30,11,4,0.920213354
22,1,45,2,43,7,32,11,4,0.920235243
23,2,46,2,44,6,34,10,4,0.920218267
24,2,48,2,46,4,36,10,4,0.920168815
25,2,50,2,48,2,36,12,4,0.920179861
26,2,52,2,50,0,37,13,5,0.920239196
27,2,54,4,50,0,35,15,6,0.920222957
28,2,56,6,50,0,35,15,7,0.920209286
29,2,58,8,50,0,33,17,8,0.920220626
30,2,60,10,50,0,33,17,9,0.920171869
31,5,59,12,47,3,31,16,9,0.920208571
32,6,60,11,49,1,26,23,9,0.920222503
33,7,61,12,49,1,25,24,9,0.920198202
34,7,63,13,50,0,24,26,10,0.920202455
35,8,64,15,49,1,22,27,10,0.920233229
36,9,65,16,49,1,23,26,11,0.920258025
37,9,67,17,50,0,22,28,11,0.92019823
38,10,68,19,49,1,21,28,11,0.920185622
39,13,67,20,47,3,22,25,13,0.920265367
40,13,69,19,50,0,24,26,13,0.920244528
41,14,70,21,49,1,23,26,13,0.920177825
42,14,72,22,50,0,21,29,14,0.920192074
43,17,71,24,47,3,19,28,14,0.920192961
44,18,72,23,49,1,16,33,15,0.92021747
45,19,73,24,49,1,13,36,15,0.920245067
46,20,74,25,49,1,10,39,16,0.920221094
47,21,75,26,49,1,10,39,17,0.92019753
48,22,76,27,49,1,9,40,17,0.920225829
49,23,77,28,49,1,8,41,18,0.920252189
50,24,78,29,49,1,9,40,19,0.920206735
51,24,80,30,50,0,10,40,20,0.92021192
52,24,82,32,50,0,9,41,21,0.920218057
53,27,81,34,47,3,6,41,23,0.920229425
54,28,82,33,49,1,8,41,24,0.92021626
55,28,84,34,50,0,5,45,25,0.920198347
56,29,85,36,49,1,3,46,26,0.920174165
57,34,82,37,45,5,3,42,27,0.920206647
58,37,81,34,47,3,7,40,28,0.920211935
59,38,82,33,49,1,7,42,29,0.920197773
60,39,83,34,49,1,6,43,29,0.920197402
61,43,81,35,46,4,6,40,31,0.920233465
62,45,81,33,48,2,7,41,32,0.920250124
63,47,81,33,48,2,8,40,33,0.920291747
64,51,79,33,46,4,8,38,34,0.920245456
65,52,80,31,49,1,8,41,34,0.920152593
66,54,80,32,48,2,7,41,36,0.92022848
67,55,81,32,49,1,7,42,36,0.920197661
68,56,82,33,49,1,6,43,36,0.92019356
69,57,83,34,49,1,6,43,37,0.920196004
