task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,25,64,49,0,24,37,24,39,0,1,25,64,1.054054
1,0,1,26,41,48,0,25,15,25,15,0,1,26,41,1.000000
2,1,2,28,46,47,0,26,17,26,17,1,1,27,45,1.000000
3,1,2,33,48,46,0,31,14,31,14,1,1,32,47,1.000000
4,2,3,25,50,44,0,22,23,22,25,0,1,23,48,1.086957
5,2,3,12,28,45,0,9,16,9,16,0,1,10,26,1.000000
6,3,4,15,53,43,0,10,36,10,38,1,1,12,50,1.055556
7,3,4,20,40,42,0,16,18,16,20,0,1,17,37,1.111111
8,4,5,40,74,40,0,35,33,35,33,1,1,36,70,1.000000
9,4,5,5,39,41,0,0,34,0,34,0,1,1,35,1.000000
10,5,6,19,54,39,0,13,35,13,35,0,1,14,49,1.000000
11,5,6,24,46,38,0,18,19,18,21,1,1,19,41,1.105263
12,6,7,19,22,36,0,12,3,12,3,0,1,13,16,1.000000
13,6,7,33,58,37,0,26,23,26,25,0,1,27,52,1.086957
14,7,8,25,55,35,0,17,28,17,30,0,1,18,48,1.071429
15,7,8,33,63,34,0,23,22,25,30,0,1,26,56,1.363636
16,8,9,31,44,33,0,22,11,22,11,2,1,23,36,1.000000
17,8,9,37,67,32,0,22,28,26,30,2,1,29,59,1.071429
18,9,10,36,65,30,0,24,29,26,29,0,1,27,56,1.000000
19,9,10,15,44,31,0,5,29,5,29,0,1,6,35,1.000000
20,10,11,41,54,12,0,30,13,30,13,0,1,31,44,1.000000
21,10,11,26,45,29,0,15,19,15,19,0,1,16,35,1.000000
22,11,12,36,76,11,0,19,24,23,40,1,1,25,65,1.666667
23,11,12,27,32,10,0,15,2,15,2,3,1,16,21,1.000000
24,12,13,24,32,9,0,11,8,11,8,0,1,12,20,1.000000
25,12,13,41,74,8,0,28,31,28,33,0,1,29,62,1.064516
26,13,14,40,60,6,0,26,20,26,20,0,1,27,47,1.000000
27,13,14,17,53,7,0,3,34,3,34,2,1,4,40,1.000000
28,14,15,46,71,4,0,31,25,31,25,0,1,32,57,1.000000
29,14,15,22,42,5,0,6,17,6,19,2,1,8,28,1.117647
30,15,16,35,46,3,0,19,11,19,11,0,1,20,31,1.000000
31,15,16,44,68,2,0,26,22,28,24,0,1,29,53,1.090909
32,16,17,46,76,1,0,29,28,29,28,2,1,30,60,1.000000
33,16,17,31,34,0,0,13,3,13,3,1,1,15,18,1.000000
34,17,18,27,50,13,0,8,18,8,22,2,1,10,33,1.222222
35,17,18,28,40,14,0,8,12,10,12,0,1,11,23,1.000000
36,18,19,30,50,15,0,10,18,10,20,1,1,12,32,1.111111
37,18,19,43,65,16,0,24,20,24,22,0,1,25,47,1.100000
38,19,20,35,59,18,0,15,24,15,24,0,1,16,40,1.000000
39,19,20,34,75,17,0,13,27,13,41,1,1,15,56,1.518519
40,20,21,38,56,19,0,17,18,17,18,0,1,18,36,1.000000
41,20,21,28,60,20,0,7,32,7,32,0,1,8,40,1.000000
42,21,22,44,78,21,0,21,22,21,34,1,1,23,57,1.545455
43,21,22,42,67,22,0,17,25,19,25,1,1,21,46,1.000000
44,22,23,27,33,23,0,4,6,4,6,0,1,5,11,1.000000
