agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,10,64,66,196,4,65,193
1,8,60,39,227,4,38,224
2,10,82,57,187,8,55,181
3,12,47,59,220,6,56,217
4,9,76,46,204,6,44,200
5,8,75,39,212,2,39,210
6,7,45,78,203,4,76,201
7,8,74,39,213,3,38,211
8,9,68,62,196,4,61,193
9,8,20,83,223,4,82,220
10,12,79,80,167,1,80,166
11,10,63,44,219,1,44,218
12,11,63,36,227,5,36,222
13,10,79,43,204,6,43,198
14,9,84,78,164,3,76,163
15,12,67,46,213,3,46,210
16,10,60,76,190,8,73,185
17,15,60,79,187,3,78,185
18,8,75,40,211,8,37,206
19,8,86,83,157,7,81,152
20,8,35,84,207,3,83,205
21,10,82,56,188,5,55,184
22,6,86,87,153,5,85,150
23,11,71,73,182,6,70,179
24,9,61,56,209,6,53,206
25,10,68,89,169,2,88,168
26,11,81,36,209,2,35,208
27,10,87,56,183,7,54,178
28,8,54,54,218,5,53,214
29,11,58,44,224,7,41,220
30,12,37,69,220,10,64,215
31,9,42,51,233,7,50,227
32,9,75,58,193,1,57,193
33,11,44,77,205,5,75,202
34,12,55,64,207,4,63,204
35,9,73,74,179,7,73,173
36,11,35,62,229,10,61,220
37,11,47,57,222,2,55,222
38,10,27,60,239,2,58,239
39,12,66,41,219,9,40,211
40,10,56,49,221,2,48,220
41,11,74,54,198,5,52,195
42,10,65,60,201,12,56,193
43,12,39,69,218,2,68,217
44,11,52,66,208,4,64,206
45,11,39,62,225,3,60,224
46,9,64,70,192,3,70,189
47,11,46,57,223,2,56,222
48,9,37,78,211,6,77,206
49,12,39,55,232,2,55,230
