timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.920166189
2,0,6,2,4,46,4,0,0,0.920150037
3,0,8,2,6,44,4,2,0,0.920151874
4,0,10,2,8,42,6,2,0,0.920192127
5,0,12,2,10,40,6,4,0,0.920213268
6,0,14,2,12,38,7,5,0,0.920192817
7,0,16,2,14,36,7,7,0,0.920206148
8,0,18,2,16,34,9,7,0,0.9201962
9,0,20,2,18,32,11,7,0,0.920164829
10,0,22,2,20,30,9,11,0,0.920199412
11,0,24,2,22,28,9,13,0,0.920162706
12,0,26,2,24,26,10,14,0,0.920156262
13,0,28,2,26,24,12,14,0,0.920209026
14,0,30,2,28,22,11,17,0,0.920179732
15,1,31,2,29,21,10,19,0,0.920181311
16,1,33,2,31,19,10,21,0,0.920228486
17,2,34,2,32,18,11,21,0,0.920193583
18,4,34,2,32,18,12,20,0,0.920221854
19,5,35,2,33,17,11,22,1,0.920167414
20,5,37,2,35,15,10,25,1,0.920190891
21,5,39,2,37,13,11,26,2,0.920173931
22,6,40,2,38,12,12,26,2,0.92021301
23,7,41,2,39,11,10,29,3,0.92021097
24,7,43,2,41,9,11,30,4,0.920180894
25,8,44,2,42,8,12,30,4,0.920212205
26,9,45,2,43,7,13,30,5,0.920215085
27,11,45,2,43,7,15,28,6,0.920212922
28,13,45,2,43,7,15,28,6,0.920169222
29,15,45,2,43,7,15,28,6,0.920194939
30,17,45,2,43,7,17,26,6,0.920184046
31,18,46,2,44,6,18,26,7,0.920217737
32,20,46,2,44,6,17,27,7,0.920214243
33,22,46,2,44,6,15,29,7,0.920200724
34,23,47,2,45,5,16,29,8,0.92023512
35,24,48,2,46,4,14,32,8,0.920226855
36,29,45,2,43,7,15,28,9,0.92022741
37,29,47,2,45,5,14,31,9,0.920233024
38,32,46,2,44,6,15,29,10,0.920230964
39,35,45,2,43,7,15,28,10,0.920224869
40,38,44,2,42,8,14,28,10,0.920247394
41,40,44,2,42,8,15,27,10,0.920209599
42,40,46,2,44,6,15,29,11,0.920240681
43,40,48,2,46,4,16,30,12,0.920225932
44,43,47,2,45,5,15,30,13,0.920223614
45,45,47,2,45,5,15,30,13,0.920213994
46,46,48,2,46,4,15,31,14,0.920261228
47,48,48,2,46,4,15,31,14,0.920217677
48,49,49,2,47,3,17,30,15,0.920207703
49,49,51,2,49,1,15,34,17,0.920200644
50,51,51,3,48,2,13,35,17,0.920230932
51,52,52,3,49,1,14,35,17,0.92020072
52,53,53,4,49,1,14,35,20,0.920244792
53,53,55,5,50,0,11,39,20,0.920244953
54,54,56,7,49,1,9,40,22,0.920242771
55,55,57,8,49,1,8,41,23,0.920230848
56,55,59,9,50,0,9,41,23,0.920213387
57,57,59,11,48,2,8,40,25,0.920208396
58,58,60,11,49,1,10,39,26,0.920174004
59,61,59,12,47,3,9,38,26,0.920204223
60,64,58,11,47,3,11,36,27,0.920201332
61,65,59,10,49,1,14,35,28,0.920232129
